일반명코드,제형구분코드,제형,일반명,분류번호,투여,함량,단위
100101AGN,GN,"과립제,세립",상황균사체엑스,421,내복,1.1,g
100101ALQ,LQ,액제,상황균사체엑스,421,내복,1.1,g
100101APD,PD,산제,phellinus linteus mycelliun ext.,421,내복,1.1,g
100102ACH,CH,경질캡슐제,phellinus linteus mycelliun ext.,421,내복,0.55,g
100102ALQ,LQ,액제,phellinus linteus mycelliun ext.,421,내복,1.1,g(55mg/mL)
100130ALQ,LQ,액제,phellinus linteus mycelliun ext.,421,내복,1.1,g(36.667mg/mL)
100201BIJ,IJ,주사제,인과립구 대식세포 콜로니자극인자,339,주사,250,㎍
100202BIJ,IJ,주사제,인과립구 대식세포 콜로니자극인자,339,주사,400,㎍
100301ACH,CH,경질캡슐제,magnesium trihydrate salt of chenodesoxycholic acid and ursodesoxycholic acid,236,내복,0.25,g
100401BIJ,IJ,주사제,abciximab,219,주사,10,mg
100402BIJ,IJ,주사제,abciximab,219,주사,5,mg
100430BIJ,IJ,주사제,abciximab,219,주사,5,mg(2mg/mL)
100431BIJ,IJ,주사제,abciximab,219,주사,10,mg(2mg/mL)
100501ATB,TB,"정제,저작정",acamprosate,119,내복,333,mg
100501ATE,TE,장용정제,acamprosate,119,내복,0.333,g
100601ATB,TB,"정제,저작정",acarbose,396,내복,0.1,g
100602ATB,TB,"정제,저작정",acarbose,396,내복,50,mg
100701ACH,CH,경질캡슐제,acebrophylline,229,내복,0.1,g
100702ATR,TR,서방형정제,acebrophylline,229,내복,0.2,g
100801ACH,CH,경질캡슐제,acebutolol HCl,219,내복,222,mg
100802ATB,TB,"정제,저작정",acebutolol HCl,219,내복,443.4,mg
100901ACH,CH,경질캡슐제,aceclofenac,114,내복,0.1,g
100901ACS,CS,연질캡슐제,aceclofenac,114,내복,0.1,g
100901ATB,TB,"정제,저작정",aceclofenac,114,내복,0.1,g
100901ATR,TR,서방형정제,aceclofenac,114,내복,100,mg
100902ACH,CH,경질캡슐제,aceclofenac,114,내복,70,mg
100903ATR,TR,서방형정제,aceclofenac,114,내복,0.2,g
101001ACH,CH,경질캡슐제,acemetacin,114,내복,60,mg
101101AEL,EL,엘릭서제,acepifyline,229,내복,24.96,mg
101102ATB,TB,"정제,저작정",acepifylline,229,내복,0.25,g
101201COM,OM,연고제,acetamidocaproic acid,269,외용,50,mg
101301AEL,EL,엘릭서제,acetaminophen,114,내복,24,mg
101302CLQ,LQ,액제,acetaminophen,114,외용,125,mg
101302CSP,SP,좌제,acetaminophen,114,외용,0.125,g
101303ACH,CH,경질캡슐제,acetaminophen,114,내복,300,mg
101303ATB,TB,"정제,저작정",acetaminophen,114,내복,0.3,g
101304AEL,EL,엘릭서제,acetaminophen,114,내복,32,mg
101304ALQ,LQ,액제,acetaminophen,114,내복,32,mg
101304ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acetaminophen,114,내복,32,mg
101305ACH,CH,경질캡슐제,acetaminophen,114,내복,0.5,g
101305ACS,CS,연질캡슐제,acetaminophen,114,내복,0.5,g
101305ATB,TB,"정제,저작정",acetaminophen,114,내복,0.5,g
101306ATB,TB,"정제,저작정",acetaminophen,114,내복,325,mg
101307ATB,TB,"정제,저작정",acetaminophen,114,내복,80,mg
101308BIJ,IJ,주사제,acetaminophen,114,주사,1,g
101309APD,PD,산제,acetaminophen,114,내복,0.16,g
101309ATB,TB,"정제,저작정",acetaminophen,114,내복,0.16,g
101309BIJ,IJ,주사제,acetaminophen,114,주사,1,g
101310ASY,SY,"시럽제,건조시럽",acetaminophen,114,내복,400,mg
101311ACS,CS,연질캡슐제,acetaminophen,114,내복,0.325,g
101330ALQ,LQ,액제,acetaminophen,114,내복,16,g(32mg/mL)
101330ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acetaminophen,114,내복,16,g(32mg/mL)
101331ALQ,LQ,액제,acetaminophen,114,내복,32,g(32mg/mL)
101332ASY,SY,"시럽제,건조시럽",acetaminophen,114,내복,120,g(0.4g/g)
101333BIJ,IJ,주사제,acetaminophen,114,주사,1,g(10mg/mL)
