구분 ,국가명 ,진출지역,회사명(국문),회사명(영문),주소,홈페이지,진출년도,진출형태,투자형태,외국사 합작지분,업종1,업종2,취급분야,본사파견, 현지채용 ,내수/수출,모기업명,관할무역관
아시아 ,뉴질랜드,고어(Gore),동화뉴질랜드,Dongwha New Zealand Ltd.,"301 Pioneer Highway, 4RD Gore, New Zeland",www.dongwha.co.nz,2005,생산법인,M&A,-,제조업,목재·가구·펄프·종이,MDF 합판 제조,9, 100 ,수출 및 내수 병행,동화엠파크홀딩스㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),국민은행오클랜드지점,Kookmin Bank Auckland Branch,"Level 19 ASB Bank Centre, 135 Albert Street, Auckland, New Zealand",www.global.kbStar.com,1996,지점,단독,-,금융·보험업,-,"소매금융, 기업금융",3, 9 ,100% 주재국 내수시장 공급,KB국민은행㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),LG전자㈜뉴질랜드지사,LG Electronics New Zealand Branch,"LG House, Lvl 1, 60 Highbrook Drive, Highbrook Business Park, EaSt Tamaki, Auckland, New Zealand",www.lge.co.nz,2007,지점,단독,-,도매 및 소매업,-,전자제품 수입 도매 판촉,4, 50 ,100% 주재국 내수시장 공급,LG전자㈜㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),기아자동차뉴질랜드법인,Kia Motors New Zealand Ltd.,"6 Highbrook Drive, EaSt Tamaki 2013, Auckland, New Zealand",www.kia.co.nz,2004,판매법인,단독,-,도매 및 소매업,-,자동차 수입 및 도매,1, 20 ,100% 주재국 내수시장 공급,기아자동차㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),대한항공㈜오클랜드지점,Korean Air Auckland Office,"Level 16, DLA Phillips Fox Tower, 209 Queen Street, Auckland, New Zealand",www.koreanair.com,1993,지점,단독,-,운수업,-,항공서비스,3, 20 ,100% 주재국 내수시장 공급,대한항공㈜㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),동원수산,San Won Ltd.,"Private Bag 905, Hall Street North Mole, Timaru, New Zealand",-,1996,생산법인,합자,50%,농업·임업 및 어업,-,원양어업,-, - ,수출 및 내수 병행,동원수산㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),DK코리아,D.K. New Zealand ForeStry Ltd.,"Building B, 63 Apollo Drive, Albany, Auckland, New Zealand",-,1995,서비스법인,단독,-,농업·임업 및 어업,-,원목 수출 (한국),-, 3 ,100% 제3국 수출,디케이코리아㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),마그마뉴질랜드,Magma New Zealand Ltd.,"Unit C, 5 Beatrice Tinsley Crescent, Albany, Auckland, New Zealand",www.magmanz.com,2015,서비스법인,합자,50%,건설·공사업,-,광고 디스플레이 시공,-, 10 ,100% 주재국 내수시장 공급,마그마코리아㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),삼성전자㈜뉴질랜드법인,Samsung Electronics New Zealand Ltd.,"24 The Warehouse Way, Northcote, Auckland, New Zealand",www.samsung.com/nz/home,2006,판매법인,단독,-,도매 및 소매업,-,전자 제품 수입 도매 판촉,5, 200 ,100% 주재국 내수시장 공급,삼성전자㈜㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),성창기업,Sungchang Enterprise NZ Ltd.,"Level 1, 354 Lambton Quay, Wellington, 6011, New Zealand",-,2009,서비스법인,단독,-,농업·임업 및 어업,-,원목 수출 (한국),-, 1 ,100% 제3국 수출,성창기업㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),오뚜기뉴질랜드법인,Ottogi New Zealand Ltd.,"76 Rangi Rd., Takanini, Auckland, New Zealand",www.ottogi.co.nz,1996,생산법인,단독,-,제조업,식료품,"소고기 농축액, 소스, 마요네즈 제조 및 도매, 한국 가공식품 수입 및 도매",3, 20 ,수출 및 내수 병행,오뚜기㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),주암산업,Jaico Ltd.,"145 Dawson Street, Timaru Port, Timaru, 7910 , New Zealand",-,2004,생산법인,단독,-,농업·임업 및 어업,-,원양어업,-, - ,100% 제3국 수출,주암산업㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),지오엠,"KNW Co., Ltd.","26 Farrington Ave, Bishopdale, Christchurch, New Zealand",-,2009,생산법인,단독,-,농업·임업 및 어업,-,원양어업,-, - ,100% 제3국 수출,지오엠㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),예스샵,Yes Retail Ltd.,"71 Boston Road, Grafton, Auckland 1023, New Zealand",www.yesshop.co.nz,2013,판매법인,단독,-,서비스업,출판·영상·방송통신 및 정보,TV 홈쇼핑 채널 운영,1, 30 ,100% 주재국 내수시장 공급,케이디미디어㈜,오클랜드무역관
아시아 ,뉴질랜드,오클랜드(Auckland),한솔뉴질랜드,Hansol New Zealand Ltd.,"Level 2 Riveroaksmews, 74 Grey Street, Gisborne 4040, New Zealand",www.hansol.com,1996,서비스법인,단독,-,농업·임업 및 어업,-,"조림사업, 원목 수출 (한국)",1, - ,100% 제3국 수출,한솔홈데코㈜,오클랜드무역관
