발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2020,2020-01-01 05,야,수,1,0,0,0,0,서울,강남구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,959928,1943154,127.0467272,37.48676083
2020,2020-01-01 05,야,수,1,0,0,0,0,경기,화성시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,951237,1916995,126.9501465,37.25055993
2020,2020-01-01 07,주,수,1,0,0,0,0,충남,천안시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,967688,1869920,127.1376664,36.82693312
2020,2020-01-01 10,주,수,1,0,0,0,0,경남,거창군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,1038413,1748968,127.9247957,35.73629042
2020,2020-01-01 11,주,수,1,0,0,0,0,경기,이천시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,농기계,없음,1011197,1900537,127.6260137,37.10341463
2020,2020-01-01 19,야,수,1,0,0,0,0,경북,경주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,지하차도(도로)내,화물차,없음,1161327,1776469,129.2892528,35.97165083
2020,2020-01-01 20,야,수,1,0,0,0,0,경기,오산시,차대사람,횡단중,횡단중,과속,교차로,교차로횡단보도내,승용차,보행자,962154,1905890,127.0738067,37.15096851
2020,2020-01-01 21,야,수,1,0,0,0,0,부산,기장군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,없음,1159476,1707684,129.2551098,35.35205256
2020,2020-01-02 02,야,목,1,0,0,0,0,충남,천안시,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,교차로,교차로부근,화물차,없음,967543,1863997,127.136293,36.77353496
2020,2020-01-02 06,주,목,1,0,0,0,0,경기,수원시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,951872,1918202,126.9572285,37.26147242
2020,2020-01-02 07,주,목,1,0,0,0,0,경기,하남시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,974303,1949568,127.2091026,37.54508551
2020,2020-01-02 07,주,목,1,0,0,0,0,제주,제주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,908782.8,1502634,126.5178462,33.51170865
2020,2020-01-02 09,주,목,1,0,0,0,0,경남,거창군,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,이륜차,화물차,1038305,1742564,127.9232961,35.67855529
2020,2020-01-02 14,주,목,1,1,1,0,0,경북,예천군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1078284,1847344,128.3754932,36.62074953
2020,2020-01-02 15,주,목,1,5,4,1,0,제주,제주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,918127.6,1490924,126.6195208,33.40685718
2020,2020-01-02 16,주,목,1,0,0,0,0,경남,거창군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,이륜차,화물차,1034249,1734423,127.8781295,35.60530294
2020,2020-01-02 18,야,목,1,2,2,0,0,경남,산청군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,1030432,1698561,127.8346471,35.28207363
2020,2020-01-02 18,야,목,2,0,0,0,0,경기,가평군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),없음,997775,1978825,127.4747229,37.80914602
2020,2020-01-02 19,야,목,1,0,0,0,0,경기,광주시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,981033,1931716,127.2857473,37.38433681
2020,2020-01-02 22,야,목,1,0,0,0,0,충북,음성군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,농기계,없음,1009783,1877150,127.6097967,36.89261032
2020,2020-01-02 22,야,목,1,2,0,2,0,충북,단양군,차량단독,도로이탈,도로이탈 추락,과속,단일로,기타단일로,승용차,없음,1077944,1887791,128.3758334,36.98535364
2020,2020-01-03 02,야,금,1,0,0,0,0,울산,울주군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1146948,1729341,129.1211956,35.54917381
2020,2020-01-03 03,야,금,1,0,0,0,0,전남,영광군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,906584,1704682,126.4721138,35.33335946
2020,2020-01-03 05,야,금,1,1,0,1,0,충남,논산시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,특수차,화물차,979840,1804501,127.2756427,36.23751342
2020,2020-01-03 06,주,금,1,0,0,0,0,충북,괴산군,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1040642,1869960,127.9557426,36.82697236
2020,2020-01-03 08,주,금,1,0,0,0,0,전남,화순군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,농기계,965045,1670858,127.1167896,35.03212773
2020,2020-01-03 13,주,금,1,0,0,0,0,경기,안산시,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,승합차,자전거,940558,1923390,126.8292253,37.30758015
2020,2020-01-03 14,주,금,1,0,0,0,0,충남,보령시,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,이륜차,화물차,919305,1815328,126.6008864,36.3319527
2020,2020-01-03 15,주,금,1,0,0,0,0,전남,신안군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,875497,1638195,126.1400957,34.73059873
2020,2020-01-03 19,야,금,1,0,0,0,0,경기,이천시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,991481,1917371,127.4039332,37.25518692
2020,2020-01-03 23,야,금,1,0,0,0,0,경기,포천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,982385,1990263,127.2996066,37.91207013
2020,2020-01-04 00,야,토,1,0,0,0,0,제주,제주시,차대사람,횡단중,횡단중,과속,교차로,교차로횡단보도내,승용차,보행자,901067.7,1498253,126.4352719,33.47151396
