기간,구분,아동학대의심사례 응급아동학대의심사례,아동학대의심사례,일반상담,동일신고,해외발생사례,교직원,의료인,아동복지시설종사자,장애인복지시설종사자,보육교직원,유치원교직원_강사,학원강사,소방구급대원,성매매피해시설상담소종사자,한부모가족복지시설종사자,가족폭력상담소보호시설종사자,사회복지전담공무원,아이돌보미,취약계층아동통합서비스지원인력,아동보호전문기관상담원,가정위탁지원센터종사자,아동복지전담공무원,건강가정지원센터종사자,다문화가족지원센터종사자,사회복지시설종사자,성폭력피해자보호시설종사자,응급구조사,의료기사,청소년시설_단체종사자,청소년보호센터_재활센터종사자,정신보건센터종사자,아동본인,부모,형제_자매,친인척,이웃_친구,경찰,종교인,사회복지관련종사자,낯선사람,익명,아동보호전문기관장과 종사자,의료사회복지사,법원
2013,중앙,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,서울,186,1118,596,8,0,87,17,27,0,21,0,1,1,1,0,9,215,0,0,0,0,15,4,1,12,2,0,1,20,5,7,26,184,4,42,217,103,5,198,15,1,0,0,63
2013,부산,19,408,70,0,0,54,2,10,0,9,0,0,0,1,2,22,50,0,0,0,0,2,0,1,7,2,0,0,2,2,5,4,88,4,12,48,16,0,60,8,2,0,0,14
2013,대구,61,343,47,2,0,39,6,29,0,5,5,0,0,0,3,4,12,0,0,0,0,1,0,1,14,8,0,0,2,3,4,10,60,1,12,20,21,0,122,4,3,0,0,15
2013,인천,69,467,201,1,0,31,7,10,4,5,0,0,1,0,7,16,75,0,0,0,1,29,1,2,15,3,0,0,1,1,0,3,56,2,19,80,54,0,88,4,0,0,0,21
2013,광주,23,229,27,0,0,16,1,67,0,5,0,1,1,0,0,1,32,0,0,0,2,4,0,0,4,0,0,0,0,3,0,3,35,0,13,24,8,0,23,1,0,0,0,8
2013,대전,39,221,51,2,0,34,4,5,0,9,0,1,0,0,0,0,10,0,0,0,2,0,0,0,7,3,0,0,6,2,0,4,41,2,6,27,16,0,67,1,0,0,0,13
2013,울산,4,399,100,1,0,20,0,7,0,5,0,1,0,0,0,1,30,0,0,0,1,5,0,0,30,4,0,0,4,1,0,3,26,0,2,10,1,0,179,8,0,0,0,65
2013,경기,429,1939,350,11,0,166,23,42,1,50,5,1,3,3,1,27,154,0,0,0,1,78,7,3,92,15,0,0,41,7,12,40,366,9,84,233,236,4,576,17,2,0,0,69
2013,강원,65,263,58,6,0,42,6,6,3,9,0,0,3,0,0,10,23,0,0,0,1,5,0,0,17,6,0,0,2,2,0,7,40,1,29,38,13,0,33,1,0,0,0,31
2013,충북,80,498,134,0,0,36,4,26,1,7,2,0,0,0,0,11,65,0,0,0,2,6,0,10,14,2,0,1,12,3,10,4,55,1,12,43,34,0,194,1,0,0,0,22
2013,충남,104,426,56,0,0,19,4,10,0,7,0,0,0,1,0,9,126,0,0,0,0,20,1,0,25,1,0,3,12,1,3,5,87,2,28,51,20,0,66,5,0,0,0,24
2013,전북,111,771,82,1,0,54,9,84,0,22,4,0,0,0,0,6,67,0,0,0,0,30,2,2,31,3,0,0,4,0,2,12,78,5,31,111,51,1,166,20,2,0,0,85
2013,전남,78,474,89,0,0,29,1,31,2,6,0,0,1,0,0,8,54,0,0,0,1,4,1,5,3,5,0,1,12,4,0,11,88,5,36,26,44,12,126,4,1,0,0,31
2013,경북,141,543,170,8,0,47,8,26,0,19,2,0,0,2,0,24,50,0,0,0,3,7,1,1,27,9,0,0,8,0,1,17,95,7,31,59,36,4,162,9,0,0,0,29
2013,경남,239,842,37,0,0,32,1,11,0,16,1,2,0,0,0,36,85,0,0,0,0,27,0,1,35,8,0,0,31,2,2,20,89,2,35,55,43,1,488,5,3,0,0,50
2013,제주,37,230,106,1,0,10,0,12,0,28,1,0,1,0,0,7,6,0,0,0,3,1,0,0,3,4,0,0,3,1,0,2,38,0,5,23,28,1,84,0,0,0,0,6
2014,중앙,0,0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,서울,304,1333,686,13,0,221,26,29,0,21,7,2,0,0,2,9,54,0,6,0,0,6,0,1,21,1,1,0,14,1,15,120,231,13,51,186,229,3,287,28,24,0,0,28
2014,부산,43,657,97,3,0,124,10,10,1,20,1,3,0,0,0,1,40,0,2,0,4,6,0,0,8,0,0,0,7,2,3,15,78,8,16,66,92,0,155,14,1,0,0,13
