연도,변동사유발생연월일,판매업종류,구분,업체명,소재지
2015,2015-01-02,주유소,휴업,(주)유림에너지 대기주유소,대구광역시 북구 팔달로41 (노원동3가)
2015,2015-01-05,주유소,신규등록,광나는 주유소,경기도 동두천시 평화로3059
2015,2015-01-05,주유소,폐업,㈜소모석유 상무제일주유소,광주광역시 서구 상무시민로142 (치평동)
2015,2015-01-05,주유소,휴업,활주로주유소,전라남도 나주시 산남로141 (산포면)
2015,2015-01-06,주유소,신규등록,남상주농협주유소,경북 상주시 청리면 남상주로 1044
2015,2015-01-06,주유소,휴업,팔공산한마음주유소,대구광역시 동구 팔공산로283 (덕곡동)
2015,2015-01-06,주유소,휴업,태양주유소,부산광역시 부산진구 성지로60 (연지동)
2015,2015-01-06,주유소,휴업,몽촌주유소,서울특별시 송파구 백제고분로475 (방이동)
2015,2015-01-06,주유소,폐업,쇄노재주유소,전남 해남군 북평면 백도로 531
2015,2015-01-06,주유소,휴업,삽교호주유소,충청남도 당진시 삽교천길88
2015,2015-01-07,주유소,휴업,드림(하나)주유소,경기도 고양시 일산서구 덕이로36 (덕이동)
2015,2015-01-07,주유소,휴업,남광석유판매㈜ 직영 중동주유소,경상남도 창원시 의창구 의안로27번길 19 (중동)
2015,2015-01-07,주유소,휴업,광남주유소,부산광역시 수영구 광남로83 (광안동)
2015,2015-01-07,주유소,휴업,남부안농민회주유소,전북 부안군 보안면 청자로 1518
2015,2015-01-07,주유소,휴업,청산주유소,충청북도 옥천군 지전길8 (청산면)
2015,2015-01-08,주유소,휴업,종합주유소,울산광역시 중구 북부순환도로784 (남외동)
2015,2015-01-09,주유소,휴업,세화주유소,경상북도 경주시 금성로336 (서부동)
2015,2015-01-09,주유소,신규등록,능주농협주유소,전남 화순군 능주면 원지리 225-14외 2필지
2015,2015-01-12,주유소,휴업,SK네트웍스㈜ 옥천주유소,강원도 강릉시 율곡로2846 (옥천동)
2015,2015-01-12,주유소,폐업,세화주유소,경상북도 경주시 금성로336 (서부동)
2015,2015-01-12,주유소,폐업,해피데이주유소,광주광역시 서구 풍서우로94 (매월동)
2015,2015-01-12,주유소,휴업,우리동네주유소,전라남도 광양시 제철로137 (광양읍)
2015,2015-01-12,주유소,폐업,만남의주유소,전라북도 군산시 월명로59 (옥산면)
2015,2015-01-12,주유소,휴업,중앙주유소,충청북도 단양군 단양로 2727 (매포읍)
2015,2015-01-13,주유소,휴업,항만주유소,경기도 평택시 서동대로524 (포승읍
2015,2015-01-13,주유소,폐업,고려주유소,대전광역시 중구 문화로210 (문화동)
2015,2015-01-13,주유소,신규등록,현대석문공단주유소,충남 당진시 석문면 통정리 67-1
2015,2015-01-14,주유소,휴업,열가재제3주유소,전라남도 보성군 녹색로4754 (조성면)
2015,2015-01-14,주유소,휴업,공주대주유소,충청남도 공주시 무령로435 (신관동)
2015,2015-01-15,주유소,폐업,강변주유소,경상북도 경주시 알천북로281 (동천동)
2015,2015-01-15,주유소,휴업,오성주유소,경상북도 구미시 구미중앙로352-48 (신평동
2015,2015-01-16,주유소,휴업,만땅주유소,경기도 동두천시 강변로290 (지행동)
2015,2015-01-16,주유소,폐업,중앙주유소,경기도 수원시 권선구 권광로119 (권선동)
2015,2015-01-16,주유소,휴업,연세석유안성동아대셀프주유소,경기도 안성시 서동대로6351 (삼죽면)
2015,2015-01-16,주유소,휴업,효재주유소,경기도 안양시 동안구 관악대로305 (관양동)
2015,2015-01-16,주유소,폐업,광해주유소,인천광역시 남동구 인주대로523 (구월동)
2015,2015-01-19,주유소,휴업,동성종합상사도개주유소,경상북도 구미시 도안로430 (도개면)
2015,2015-01-19,주유소,휴업,태전착한주유소,대구광역시 북구 태전로14 (태전동)
2015,2015-01-19,주유소,폐업,우송주유소,대전광역시 서구 계룡로692 (용문동)
2015,2015-01-20,주유소,폐업,설매주유소,경남 진주시 대곡면 진의로 1380
2015,2015-01-20,주유소,폐업,만남주유소,경상남도 김해시 금관대로943 (풍유동)
2015,2015-01-20,주유소,신규등록,청남셀프주유소,경상남도 함안군 삼칠로306 (칠서면)
2015,2015-01-20,주유소,휴업,도리원주유소,경상북도 의성군 경북대로4552 (봉양면)
2015,2015-01-20,주유소,휴업,영일고속주유소,경상북도 포항시 북구 용흥로22 (용흥동)
2015,2015-01-20,주유소,폐업,좋은기름나라주유소,부산광역시 사하구 감천로199 (감천동)
2015,2015-01-20,주유소,휴업,씨앤에스에너지(주)온산공단주유소,울산광역시 울주군 산암로39 (온산읍)
2015,2015-01-20,주유소,폐업,㈜용현주유소,인천광역시 남구 독배로377 (용현동)
2015,2015-01-20,주유소,휴업,한송주유소,제주특별자치도 서귀포시 상모로309-1 (대정읍)
2015,2015-01-21,주유소,휴업,동양주유소,경상남도 거제시 거제대로2802 (일운면)
2015,2015-01-21,주유소,휴업,대경주유소,경상북도 영주시 선비로22 (휴천동)
2015,2015-01-21,주유소,신규등록,천봉주유소,충북 보은군 보은읍 학림리 334-10 외3필지
2015,2015-01-22,주유소,휴업,북방주유소,강원도 홍천군 영서로2903 (북방면
2015,2015-01-22,주유소,휴업,GS칼텍스㈜ 직영 대유점,경기도 시흥시 수인로2722 (금이동)
2015,2015-01-22,주유소,휴업,의성주유소,경북 의성군 단촌면 경북대로 6229
2015,2015-01-22,주유소,휴업,목화주유소,서울특별시 강서구 국회대로251 (화곡동)
2015,2015-01-22,주유소,폐업,소호주유소,울산광역시 울주군 삼동로64 (삼동면)
2015,2015-01-23,주유소,휴업,다압주유소,전남 광양시 다압면 섬진강매화로 1905
2015,2015-01-23,주유소,신규등록,능주농협주유소,전라남도 화순군 능주면 화보로 3545
2015,2015-01-23,주유소,휴업,일월주유소,충청남도 공주시 차령로3953 (정안면)
2015,2015-01-23,주유소,휴업,강변주유소,충청남도 공주시 창벽로450-3 (상왕동)
2015,2015-01-24,주유소,휴업,삼정주유소,충북 충주시 소태면 구룡로 795
2015,2015-01-28,주유소,폐업,영목주유소,강원도 영월군 영월로2070 (영월읍)
2015,2015-01-28,주유소,휴업,대웅에너지주유소,대전광역시 중구 대종로555 (선화동)
2015,2015-01-28,주유소,폐업,호남제2주유소,전라북도 전주시 덕진구 온고을로479 (여의동)
2015,2015-01-28,주유소,신규등록,전주나들목주유소,전북 전주시 덕진구 온고을로 757(반월동)
2015,2015-01-29,주유소,신규등록,안덕하나주유소,제주 서귀포시 안덕면 상창리 1316-9번지
2015,2015-01-30,주유소,휴업,곰돌이주유소,경기도 평택시 서동대로1941 (안중읍)
2015,2015-01-30,주유소,폐업,흥구석유㈜ 흥구중산주유소,경상북도 경산시 대학로9 (중산동)
2015,2015-01-30,주유소,휴업,푸른별주유소,경상북도 포항시 북구 해안로1496 (흥해읍)
2015,2015-01-30,주유소,휴업,비인주유소,충청남도 서천군 비인로214 (비인면)
2015,2015-01-30,주유소,신규등록,㈜좋은에너지,충청북도 충주시 충원대로 2508 (소태면)
2015,2015-02-02,주유소,휴업,터널주유소,경기도 남양주시 경춘로1757 (화도읍)
2015,2015-02-02,주유소,신규등록,KH에너지㈜직영 양주주유소(일산방향),경기도 양주시 장흥면 서울외곽순환고속도로58(장흥면)
2015,2015-02-02,주유소,휴업,꿈동산주유소,서울특별시 강북구 월계로191 (번동)
2015,2015-02-02,주유소,신규등록,송도행복주유소,인천광역시 연수구 송도동 158-4
2015,2015-02-02,주유소,휴업,한동주유소,제주특별자치도 제주시 일주동로2763 (구좌읍)
2015,2015-02-02,주유소,휴업,㈜대천에너지,충청남도 보령시 왕대산길47 (남곡동)
2015,2015-02-03,주유소,휴업,상승주유소,경기도 이천시 경충대로758 (장호원읍)
2015,2015-02-03,주유소,폐업,선진주유소,경남 사천시 용현면 진삼로 976
2015,2015-02-03,주유소,폐업,은경주유소,경상남도 김해시 금관대로1279 (내동)
2015,2015-02-03,주유소,휴업,㈜원흥 광주지점,광주광역시 남구 독립로143 (월산동)
2015,2015-02-03,주유소,신규등록,㈜OS에너지부전주유소,부산광역시 부산진구 신천대로 132 (부전동)
2015,2015-02-03,주유소,폐업,둔촌주유소,서울특별시 강동구 양재대로1382 (둔촌동)
2015,2015-02-03,주유소,폐업,인보주유소,인천광역시 부평구 경인로890 (부평동)
2015,2015-02-03,주유소,휴업,현우주유소,전북 부안군 보안면 부안로 1458
2015,2015-02-03,주유소,휴업,공주대주유소,충청남도 공주시 무령로435 (신관동
2015,2015-02-04,주유소,휴업,제이앤비코리아㈜ 천지주유소,충청북도 청주시 흥덕구 직지대로677 (봉명동)
2015,2015-02-05,주유소,폐업,세영주유소,경기도 남양주시 수레로973 (화도읍
2015,2015-02-05,주유소,신규등록,금곡농협주유소,"경남 진주시 금곡면 월아산로113(두문리 609-2,610-3)"
2015,2015-02-05,주유소,폐업,태광주유소,경상남도 창녕군 남지중앙로93 (남지읍)
2015,2015-02-05,주유소,폐업,장산주유소,부산광역시 해운대구 재반로86 (재송동)
2015,2015-02-05,주유소,휴업,동구주유소,인천광역시 동구 송미로50 (송림동)
2015,2015-02-05,주유소,신규등록,하늘빛주유소,충남 서산시 온석동 344-1 (서령로 249)
2015,2015-02-06,주유소,신규등록,미래로self주유소,경기도 파주시 미래로292 (동패동)
2015,2015-02-06,주유소,폐업,유신주유소,경기도 포천시 금강로2634번길46 (내촌면)
2015,2015-02-06,주유소,휴업,미래주유소,경상남도 사천시 서삼로1199 (축동면)
2015,2015-02-09,주유소,휴업,돈방석주유소,경기도 부천시 오정구 역곡로449 (고강동)
