고유번호,구명,법정동명,산지여부,주지번,부지번,새주소명,생성일,위도,경도
92,송파구,마천동,2,1,10, ,,37.5014009,127.1586471
93,노원구,하계동,1,288,2, ,,37.6449368,127.0737283
94,노원구,하계동,1,255, , ,,37.6403353,127.0776372
96,강북구,수유동,1,252,19, ,,37.6457235,127.0204494
98,도봉구,방학동,1,270,1, ,,37.6597831,127.0311865
80,송파구,가락동,1,21, , ,,37.5023386,127.1230275
99,노원구,중계동,1,507,3, ,,37.6397013,127.0657916
100,노원구,월계동,1,1,7, ,,37.6232494,127.0689643
101,노원구,월계동,1,779, , ,,37.6307835,127.0486895
103,송파구,오금동,1,110, , ,,37.5030986,127.1424217
104,노원구,월계동,1,555, , ,,37.6295194,127.0515124
105,노원구,월계동,1,564, , ,,37.6280905,127.0532717
106,노원구,월계동,1,563, , ,,37.62722,127.0516875
107,송파구,마천동,1,125,13, ,,37.4975793,127.1512743
108,노원구,하계동,1,277, , ,,37.6348705,127.0712993
110,노원구,하계동,1,271,1, ,,37.6370714,127.0633298
111,노원구,중계동,1,501, , ,,37.6442022,127.0614697
113,노원구,상계동,1,737,1, ,,37.651721,127.0571617
114,노원구,상계동,1,737,3, ,,37.6519915,127.0592957
115,노원구,상계동,1,741,2, ,,37.6492494,127.0586622
117,노원구,상계동,1,752,1, ,,37.6504775,127.0633196
118,노원구,상계동,1,756, , ,,37.6512797,127.066805
119,노원구,상계동,1,625, , ,,37.6703363,127.0555516
120,노원구,상계동,1,623, , ,,37.6679446,127.053321
121,노원구,상계동,1,656,1, ,,37.6657426,127.0532382
122,노원구,상계동,1,652,3, ,,37.6660853,127.054735
124,노원구,상계동,1,665, , ,,37.6628704,127.0543004
125,노원구,상계동,1,667, , ,,37.6628526,127.0561867
126,노원구,상계동,1,627, , ,,37.6692745,127.0583338
128,노원구,상계동,1,636, , ,,37.6680075,127.0620318
129,노원구,상계동,1,670,1, ,,37.6632746,127.059867
131,노원구,상계동,1,695,1, ,,37.65905,127.0567235
132,노원구,상계동,1,692,1, ,,37.6599011,127.061065
134,노원구,상계동,1,1200,1, ,,37.6875646,127.053304
300,구로구,구로동,1,50, , ,,37.5010265,126.8904376
1,성북구,돈암동,1,51,5, ,,37.5977875,127.0211775
2,성북구,정릉동,2,1,214, ,,37.6106601,126.9935398
4,성북구,삼선동1가,1,303, , ,,37.582363,127.0090132
6,성북구,보문동3가,1,218,50, ,,37.5838929,127.0165128
7,성북구,하월곡동,2,2,11, ,,37.6108306,127.0386769
8,성북구,종암동,1,108,1, ,,37.6015468,127.0389498
9,성북구,장위동,1,156, , ,,37.6203285,127.0533143
10,강북구,번동,1,612,3, ,,37.62994,127.0429154
12,강북구,미아동,1,165,3, ,,37.6320995,127.0255859
13,강북구,미아동,1,162,1, ,,37.6335613,127.0252706
14,강북구,미아동,1,860,116, ,,37.6182163,127.0243007
15,강북구,미아동,1,329,11, ,,37.6181523,127.0270601
16,강북구,번동,1,447,1, ,,37.6357842,127.0249482
17,강북구,번동,1,472,39, ,,37.6393474,127.0329993
19,강북구,번동,1,235, , ,,37.6297165,127.0398433
21,강북구,번동,1,244, , ,,37.6237396,127.0464875
22,강북구,수유동,1,49,7, ,,37.6331769,127.0206696
23,강북구,수유동,1,172,209, ,,37.6424025,127.0268239
24,강북구,수유동,1,193,1, ,,37.6405571,127.0244424
25,강북구,미아동,2,25,1, ,,37.6201422,127.0350955
27,도봉구,창동,1,20, , ,,37.6539114,127.0508754
28,도봉구,방학동,1,679, , ,,37.6631998,127.0419887
29,도봉구,도봉동,1,282,26, ,,37.6876469,127.040677
31,도봉구,창동,1,367, , ,,37.646582,127.0450197
32,도봉구,창동,1,381, , ,,37.6430857,127.0486333
34,도봉구,창동,1,30,1, ,,37.6468398,127.0518019
35,도봉구,창동,1,33,4, ,,37.6503967,127.0529641
37,도봉구,창동,1,28, , ,,37.6475738,127.050902
38,노원구,상계동,2,62,6, ,,37.674712,127.0620735
40,노원구,상계동,1,620, , ,,37.6695451,127.0505111
41,노원구,상계동,1,753,2, ,,37.650782,127.0646754
42,노원구,중계동,1,360,18, ,,37.648671,127.0711077
43,노원구,중계동,1,362, , ,,37.6471886,127.0756055
135,노원구,상계동,1,772,2, ,,37.645291,127.0566435
136,노원구,중계동,1,17,8, ,,37.6439642,127.0881208
137,노원구,중계동,1,19,47, ,,37.6426723,127.0874134
138,노원구,중계동,1,17,6, ,,37.644169,127.0881482
139,영등포구,양평동,1,153,2, ,,37.5390641,126.898631
141,영등포구,대림동,1,657, , ,,37.5033253,126.8992024
142,영등포구,영등포동6가,1,53,1, ,,37.5214533,126.9037833
30,도봉구,창동,1,347,3, ,,37.6496495,127.0437917
44,노원구,중계동,1,515,4, ,,37.6486447,127.0664323
143,영등포구,대림동,1,742, , ,,37.4984624,126.8973129
144,영등포구,대림동,1,703,6, ,,37.492789,126.899438
145,영등포구,신길동,1,341,3, ,,37.5015457,126.9061645
148,구로구,신도림동,1,360,50, ,,37.5096947,126.8903898
149,구로구,개봉동,1,353,13, ,,37.4965469,126.8564394
150,영등포구,신길동,1,39,3, ,,37.5162236,126.9153946
151,동작구,대방동,1,407,47, ,,37.4980415,126.9219398
152,동작구,상도동,1,280, , ,,37.4924428,126.9369933
153,구로구,신도림동,1,271,5, ,,37.5139956,126.8828703
133,노원구,상계동,1,692,3, ,,37.6575682,127.0613426
155,동작구,본동,1,126,450, ,,37.5082997,126.9544141
156,동작구,동작동,1,326, , ,,37.503168,126.9780267
157,동작구,동작동,2,45,4, ,,37.504625,126.9752058
158,동작구,동작동,1,86,3, ,,37.499176,126.9844917
159,동작구,상도동,2,65,41, ,,37.4939764,126.9411029
162,동작구,대방동,1,23,176, ,,37.5102375,126.9285703
163,동작구,대방동,1,15,45, ,,37.5075563,126.9278282
164,동작구,상도동,1,362,46, ,,37.506801,126.9355832
165,동작구,노량진동,1,152,3, ,,37.5138449,126.9481992
166,동작구,사당동,2,24,17, ,,37.4858652,126.9745605
167,관악구,봉천동,1,1613,19, ,,37.4778253,126.9556392
169,관악구,신림동,1,1433,158, ,,37.484139,126.9263886
171,관악구,신림동,1,808,502, ,,37.4688286,126.9316063
172,관악구,신림동,1,1677,5, ,,37.4847939,126.9033032
173,관악구,신림동,2,69,18, ,,37.4614817,126.9329263
174,관악구,신림동,2,57,1, ,,37.4593349,126.9291917
176,관악구,신림동,2,32,5, ,,37.4670754,126.9472006
177,관악구,신림동,2,50,2, ,,37.458914,126.9461979
178,관악구,신림동,2,52, , ,,37.4550754,126.9471745
179,관악구,봉천동,1,228, , ,,37.4711668,126.9602006
182,서초구,원지동,1,1,362, ,,37.4454321,127.0570701
183,서초구,양재동,1,200, , ,,37.4682722,127.0311235
184,광진구,구의동,1,216,5, ,,37.5380333,127.0923891
185,광진구,자양동,1,686,52, ,,37.5320208,127.0878849
186,광진구,광장동,1,242,1, ,,37.5459266,127.103908
188,광진구,자양동,1,804,10, ,,37.535781,127.0777057
189,광진구,자양동,1,651,50, ,,37.5302033,127.0824409
190,광진구,화양동,1,8,36, ,,37.5415522,127.0696986
191,광진구,화양동,1,32,1, ,,37.5463893,127.0679173
192,광진구,화양동,1,45,3, ,,37.5427206,127.0669007
193,광진구,중곡동,1,143,130, ,,37.5628462,127.0961772
170,관악구,신림동,1,808,142, ,,37.4700452,126.9325326
195,광진구,구의동,1,546,2, ,,37.5369695,127.0946358
197,광진구,광장동,1,387,1, ,,37.5480701,127.1006935
198,광진구,광장동,1,554,15, ,,37.5403016,127.1016403
199,광진구,자양동,1,651,20, ,,37.5307597,127.0813548
200,광진구,화양동,1,8,36, ,,37.5415522,127.0696986
202,광진구,중곡동,1,68,20, ,,37.5589084,127.0910671
203,동대문구,전농동,1,604,4, ,,37.5828774,127.050621
204,동대문구,회기동,1,81, , ,,37.5901291,127.055376
205,성동구,하왕십리동,1,890,243, ,,37.5616111,127.0270029
206,광진구,능동,1,18,11, ,,37.5468061,127.0778508
207,중랑구,신내동,1,351,2, ,,37.6145493,127.1009212
209,중랑구,면목동,1,110,1, ,,37.5856761,127.0913319
210,중랑구,망우동,1,492,6, ,,37.597671,127.0966698
211,중랑구,상봉동,1,122,31, ,,37.5931827,127.0823863
213,중랑구,중화동,1,302,57, ,,37.5981593,127.0774472
214,중랑구,면목동,1,656, , ,,37.5731232,127.0833126
216,중랑구,면목동,1,351, , ,,37.5768823,127.084358
217,중랑구,중화동,1,280,16, ,,37.604121,127.0805124
218,중랑구,면목동,2,46,3, ,,37.5808711,127.0965242
219,중랑구,신내동,1,652, , ,,37.6137871,127.0891913
