작품명,설치연도,기관1,기관2,기관3,작품주소,상세주소,작품상세,공개여부,작품유형,관리코드
접어 만든 사자와 아이,2022,서울시,서울대공원,전략기획실,경기도 과천시 대공원광장로 102,만남의다리,사자와 아이가 한 곳을 바라보는 형태로 ‘동행’가치 전달,Y,동상,S
나들이,2022,서울시,서울대공원,전략기획실,경기도 과천시 대공원광장로 102,만남의다리,"발걸음 가볍게, 대공원으로 소풍 가는 설렘 표현",Y,동상,S
어느청년노동자상,2020,서울시,노동공정상생정책관,노동정책담당관,종로구 관수동 152-1,전태일기념관 전면 외벽,"-전면 파사드와 조화를 이루면서 기념관의 새로운 상징물로 자리매김.  기념관 벽 속에서 미래로 걸어 나오는 형태의 환조(고부조)이며 과거의    전태일을 넘어 미래를 지향한다는 개념.   -한 손은 근로기준법을 들고, 다른 손은 “풀빵신화”에서 유추한 “따뜻한 손”  (온열기능을 삽입한)으로 제작하여 따뜻한 전태일의 정신을 느끼게 함.   -<어느 청년노동자 상>은 근로기준법해설서를 들고 분신하신 1970년 11  월 13일로부터 21년이 지난 1991년에 비로소 ‘전태일’의 이름을 찾을 수  있었던  사실에서 기인한다. 이 땅의 모든 노동자들이 전태일이고 전태일이   곧 모든 젊은 청년노동자들의 삶과 함께하고자 하는 마음으로 자리매김하고  자 한다.",Y,동상,S
윤관동상,2019,자치구,중구,공원녹지과,서울시 중구 을지로 227,훈련원근린공원 내,문숙공 윤관 대원수는 문무겸전의 척지진국공신으로 여진족의 침략을 맞아 국권을 지키고 국토를 넓힌 공신임. 문숙공의 호국정신과 애국충정을 국민들에게 널리 알리고자 건립함.,Y,동상,S
서울 일본군 '위안부' 피해자 기림비,2019,서울시,여성가족정책실,양성평등담당관,서울특별시 중구 소파로 46,,,Y,동상,S
은평 평화의 소녀상,2018,자치구,은평구,여성정책과,서울시 은평구 녹번동 153-1번지,은평 평화공원 내 경관광장,"일본군 위안부 피해자의 명예와 인권을 회복하고, 인권의식과 생명가치 존중으로 평화로운 지역사회 건설과 평화의식 고취로 한반도 평화정착를 기원하는 상징물",Y,동상,S
전봉준 장군의 시선,2018,자치구,종로구,문화과,서울시 종로구 서린동 26-1,"영풍문고 앞 종각역 5,6번 출구 사이",,Y,동상,S
인어공주동상,2016,서울시,한강사업본부,문화홍보과,서울시 영등포구 여의도동 84-9,여의도한강공원내 물빛광장,,Y,동상,S
구로 평화의 소녀상,2016,자치구,구로구,여성정책과,서울시 구로구 경인로 572,구로역 북측광장,,Y,동상,S
동작 평화의 소녀상,2016,자치구,동작구,보육여성과,서울시 동작구 흑석동 4,흑석역 3번출구 부근,,Y,동상,S
기마화랑상,2016,자치구,노원구,힐링도시국 여가도시과,서울시 노원구 공릉동 39-16,육사삼거리 육사제1정문 방향 도로중앙,,Y,동상,S
손기정동상,2016,자치구,중구,문화관광과,서울시 중구 손기정로 101,손기정체육공원 내 손기정기념관 옆,,Y,동상,S
노원 평화의 소녀상,2015,자치구,노원구,교육지원과,서울시 노원구 덕릉로 450(상계동),마들근린공원 마들스타디움 산책로,산책로를 따로 조성된 역사의 길 조형물 중 일제 강점기를 표현하는 조형물의 하나,Y,동상,S
"한글역사인물(주시경,헐버트선생)상징 조형물",2013,서울시,도시재생본부,광화문광장사업과,서울시 종로구 당주동108,공원,,Y,동상,S
안중근 의사상,2010,서울시,중부공원여가센터,공원운영과,서울시 용산구 후암동 30-80,남산공원(안중근의사 기념관 주차장 근처),,Y,동상,S
세종대왕동상,2009,서울시,도시재생본부,광화문광장사업과,서울시 종로구 세종대로 175(서울시 종로구 세종로 1-68),광화문광장,,Y,동상,S
유석 조병옥 선생상,2003,서울시,서울대공원,조경과,서울시 과천시 막계동 대공원광장로 102,서울대공원테마가든(장미원) 앞(서울동물원 정문 건너편 리프트 아래) (서울대공원 장미원 근처 스카이리프트 중간도착지 건너편),,Y,동상,S
