시설번호,년도,지역코드,시설유형,쉼터명칭,도로명주소,지번상세주소,면적,이용가능인원,선풍기보유대수,에어컨보유대수,야간개방,휴일개방,숙박가능여부,입력시간,수정시간,사용여부,비고,운영시작일,운영종료일,경도,위도,X좌표,Y좌표
1162000280,2023,1162071500,1,휴먼시아(아)4경로당,서울특별시 관악구 난곡로 55,서울특별시 관악구 신림동 1735,73,9,4,1,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.919034,37.459103,192836.642,539968.1807
1162000281,2023,1162071500,1,국회단지경로당,서울특별시 관악구 난향9길 59-1 ,서울특별시 관악구 신림동 675-330,206,26,4,2,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.91497,37.460303,192477.2052,540101.681
1162000282,2023,1162071500,1,신림SH빌(아)경로당,서울특별시 관악구 난곡로 80,서울특별시 관악구 신림동 1736-1,64,8,2,2,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.919834,37.46242,192907.7342,540336.2618
1162000283,2023,1162071500,1,휴먼시아(아)5경로당,서울특별시 관악구 난곡로 55,서울특별시 관악구 신림동 1735,70,9,3,1,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.91863,37.458191,192800.8112,539866.992
1162000284,2023,1162071500,1,휴먼시아(아)3경로당,서울특별시 관악구 난곡로 55,서울특별시 관악구 신림동 1735,68,9,2,1,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.921091,37.458456,193018.5722,539896.2181
1162000285,2023,1162071500,1,대우신림2차푸르지오(아)경로당,서울특별시 관악구 난곡로 66,서울특별시 관악구 신림동 1736,117,15,3,2,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.919748,37.461311,192900.0209,540213.1844
11620174,2023,1162071000,5,난향동주민센터,서울특별시 관악구 난곡로 67,서울특별시 관악구 신림동 1735-5,698,56,2,3,Y,Y,Y,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.918834,37.46152,192819.1872,540236.4609
11620085,2023,1162071000,2,신림종합사회복지관,서울특별시 관악구  난곡로  110   (신림동),서울특별시 관악구 신림동 664,400,50,6,6,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.919862,37.464836,192910.4041,540604.4028
1162000286,2023,1162072000,1,구립강남경로당,서울특별시 관악구 조원로4길 24,서울특별시 관악구 신림동 1657-3,192,24,5,3,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.904702,37.482337,191571.2288,542548.0057
1162000288,2023,1162072500,1,조원경로당,서울특별시 관악구 조원로 48,서울특별시 관악구 신림동 560-6,93,12,0,3,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.907749,37.483492,191840.868,542675.9492
1162000289,2023,1162072500,1,신도브레뉴(아)경로당,서울특별시 관악구 조원로16길 12,서울특별시 관악구 신림동 1723,112,14,3,2,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.910657,37.483339,192098.0497,542658.7202
11620175,2023,1162072000,5,조원동주민센터,서울특별시 관악구 조원로12길 25,서울특별시 관악구 신림동 568-27,2669,29,4,4,Y,Y,Y,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.907808,37.482588,191845.9703,542575.6564
1162000290,2023,1162073000,1,구립대학경로당,서울특별시 관악구 대학12길 16,서울특별시 관악구 신림동 253-13,96,12,4,5,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.936988,37.466638,194425.6399,540803.249
1162000291,2023,1162073500,1,건영3차(아)경로당,서울특별시 관악구 신림로3길 40,서울특별시 관악구 신림동 1703-1,225,28,1,3,Y,Y,N,2023.7.31 13:59,2023.7.31 13:59,Y,,20230520,20230930,126.942728,37.46697,194933.4679,540839.7723
