번호,주제분류,문화시설명,주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스,,,,,,,
1,기타,경희대학교,서울특별시 동대문구 경희대로 26,37.59394914,127.054891,02) 961-0114,,https://www.khu.ac.kr/kor/main/index.do,,,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=de5fcf4addd140eeb59f259219fc117b&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>경희는 서울, 국제, 광릉의 3개 캠퍼스로 구성돼 있다. 24개 단과대학, 5개 학부에 82개 학과, 13개 전공이 있으며,&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>1개 일반대학원, 4개 전문대학원, 9개 특수대학원을 두고 있다. 부설연구원(소)은 49개, 부속기관은 37개다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>교직원 수는 1,900여 명, 재학생 수는 33,500여 명이다.</span></div>",무료,,,,,,,,,,,,,,
2,기타,DDP(동대문디자인플라자),서울특별시 중구 을지로 281,37.56681313,127.0096257,02-2153-0000,02-2153-0010,http://www.ddp.or.kr/main,,,살림터 : 매월 세 번째 주 월요일 / 배움터 : 매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=04ae3506f18f4fb39a8553095364f973&thumb=Y,,"<h5 class='tit_chapter' style='padding: 0px; margin: 0px 0px 20px;' arial,='' vernade,='' 돋움,='' dotum,='' noto='' kr?,='' sans-serif;?='' sans=''><font color='#231f20'><span style='font-size: 18px; font-weight: 300; color: rgb(0, 0, 0);'>DDP는 대한민국 서울특별시 동대문에 위치한 복합 문화공간입니다.&nbsp;</span></font></h5><h5 class='tit_chapter' style='padding: 0px; margin: 0px 0px 20px;' arial,='' vernade,='' 돋움,='' dotum,='' noto='' kr?,='' sans-serif;?='' sans=''><font color='#231f20'><span style='font-size: 18px; font-weight: 300; color: rgb(0, 0, 0);'>2014년 3월 21일 개관한 이래 DDP에서는 각종 전시, 패션쇼, 신제품 발표회, 포럼, 콘퍼런스 등 다양한 문화 행사가 진행되고 있습니다.&nbsp;</span></font></h5><h5 class='tit_chapter' style='padding: 0px; margin: 0px 0px 20px;' arial,='' vernade,='' 돋움,='' dotum,='' noto='' kr?,='' sans-serif;?='' sans=''><font color='#231f20'><span style='font-size: 18px; font-weight: 300; color: rgb(0, 0, 0);'>DDP는 디자인 트렌드가 시작되고 문화가 교류하는 장소입니다.&nbsp;</span></font></h5><h5 class='tit_chapter' style='padding: 0px; margin: 0px 0px 20px;' arial,='' vernade,='' 돋움,='' dotum,='' noto='' kr?,='' sans-serif;?='' sans=''><font color='#231f20'><span style='font-size: 18px; font-weight: 300; color: rgb(0, 0, 0);'>또한, 세계 최초로 선보이는 신제품과 패션 트렌드를 소개하고 글로벌 전시를 통해 지식을 공유하며, 다양한 디자인 체험이 가능합니다.</span></font></h5>",무료,,"동대문역사문화공원, 광희동, 을지로 6가 국립중앙의료원",,,"N13, 105,152,301,N13,N16,N30,105,144,261,301,407,420",,,,,,,,,
3,공연장,우란2경,서울특별시 성동구 연무장7길 11,37.54378977,127.0544169,070-4244-3812,,http://www.wooranfdn.org/main.jsp,,,공연에 따라 다름,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101414&thumb=Y,,"<h3 class='space-content-title'><span style='font-size: 18pt;'>비움으로 완성한 채움의 공간</span></h3><p class='space-content-text'><span style='font-size: 14pt;'>					볕 경, 그림자 영으로 불리는 한자어 ‘景’에는 사물을 조화롭게 비추는 ‘빛’과 그 빛이 만들어낸 ‘그림자’, 그리고 그들이 함께 어우러지는 ‘풍경’이라는 의미가 모두 담겨져 있습니다. 우란문화재단은 각 공간명에 공간의 특성을 지우고 ‘경景’이라는 명칭을 사용하여 선입견 없이 각 공간에서 자유롭게 펼쳐질 예술적 풍경에 대한 기대감을 담았습니다.</span><br>  <br><span style='font-size: 14pt;'>  1층에서 3층까지 각 층에 위치한 우란문화재단의 주요 공간은 각각 우란1경, 우란2경, 우란3경, 우란4경, 우란5경으로 불리게 됩니다. 객석과 무대의 경계를 허물고, 전시와 공연이라는 기능마저 최소화한 이 ‘무제의 공간’은 매번 새롭게 해석되며, 무한한 가능성의 공간으로 거듭납니다.</span> </p>",무료,,,,,,,,,,,,,,
4,도서관,구립은평뉴타운도서관,서울특별시 은평구 진관2로 111-51,37.6372304,126.9331183,(02) 6341-6400,,http://www.enlib.or.kr/,,,매주 금요일과 법정공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101433&thumb=Y,,"<p class='0' style='line-height:130%;mso-pagination:none;text-autospace:none;mso-padding-alt:0pt 0pt 0pt 0pt;font-size:14.0pt;'><span style='font-family:HY견고딕;mso-fareast-font-family:HY견고딕;font-size:14.0pt;'>은평뉴타운도서관</span></p><p class='0' style='line-height:130%;mso-pagination:none;text-autospace:none;mso-padding-alt:0pt 0pt 0pt 0pt;mso-ascii-font-family:나눔바른고딕 Light;mso-font-width:100%;letter-spacing:0pt;mso-text-raise:0pt;'><font face='돋움'>&nbsp;은평구 진관동에 위치한 은평뉴타운도서관은 정보의 원활한 접근과 맞춤서비스<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>평생교육<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>창의적 독서 환경 제공 등 지역 주민 누구나 소통하고 정보를 나눌 수 있는 공간이자 시대의 변화에 발맞추어 새롭게 등장하는 미디어 정보를 제공하고 주민들의 퍼블릭 액세스를 실현하기 위한 도서관과 미디어센터가 결합한 복합 문화공간 기능을 수행하고 있습니다<span lang='EN-US' style='letter-spacing: 0pt;'>.</span></font></p><p class='0' style='line-height:130%;mso-pagination:none;text-autospace:none;mso-padding-alt:0pt 0pt 0pt 0pt;mso-ascii-font-family:나눔바른고딕 Light;mso-font-width:100%;letter-spacing:0pt;mso-text-raise:0pt;'><font face='돋움'>&nbsp;개관연장사업을 통한 야간독서문화프로그램<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>학교 연계 독서진흥사업<span lang='EN-US' style='letter-spacing: 0pt;'>, 1</span>사서 <span lang='EN-US' style='letter-spacing: 0pt;'>1</span>동아리<span lang='EN-US' style='letter-spacing: 0pt;'>, ‘</span>미디어 리터러시 교육<span lang='EN-US' style='letter-spacing: 0pt;'>’, </span>지역주민들이 직접 만들어나가는 라디오 팟캐스트 은평<span lang='EN-US' style='letter-spacing: 0pt;'>FM, </span>새로운 형태의 북큐레이션 대책있는 사서들<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>시니어 대상 콘텐츠 제작 교육 지원<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>웹툰창작체험 교육<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>어린이 꾸러기 기자단 등 어린이<span lang='EN-US' style='letter-spacing: 0pt;'>/ </span>청소년들에게는 전문교육을 통한 인재양성과 성인<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>노인 및 정보소외계층에는 역량 강화를 통한 지역 커뮤니티 활성화를 위해 앞장서 나가고 있습니다<span lang='EN-US' style='letter-spacing: 0pt;'>. </span></font></p><p class='0'>  <!--[if !supportEmptyParas]--><font face='돋움'>&nbsp;</font><!--[endif]-->  <o:p></o:p></p>",무료,,,,"(지선) 7211, (지선) 7723",,,,,,,,,,
5,문화예술회관,노원문화예술회관,서울특별시 노원구 중계로 181,37.65023586,127.0802693,02-2289-3400,,https://www.nowonart.kr/,,,행사 일정에 따름,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101437&thumb=Y,,"<p><font face=&quot;돋움&quot; size=&quot;2&quot;>노원문화예술회관은 중계로 181 불암초등학교 맞은편에 위치하고 있으며 <font face=&quot;돋움&quot; size=&quot;2&quot;>지상 6층, 지하 3층, 연면적 13,167㎡(3,983평) 규모에 608석(일반 600석, 장애인석 8석)의 대공연장, <font face=&quot;돋움&quot; size=&quot;2&quot;>288석(일반석 284석, 장애인석 4석)의 소공연장, 스카이라운지, 전시실, 다목적실, 잔디광장의 야외무대, 기타 공연부대시설 등을 갖춘 서울 동북부 최고의 문화예술공간입니다.</font></font></font></p>",,"4호선 상계역 : 4번 출구 - 1143번, 1140번 버스(노원문화예술회관 하차) / 1142번, 1224번 버스(은행사거리 하차 후 도보)",,,,,,,,,,,,,
6,미술관,서울시립미술관 SeMA창고,서울특별시 은평구 통일로 684,37.60933472,126.9343404,02-2124-8868,,https://sema.seoul.go.kr,,,월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101447&thumb=Y,,"<div><span style='font-size: 14pt;'>SeMA 창고는 1960년대에 건립된 (구)질병관리본부, 식품의약품안전청의 시약창고로 사용되던 490㎡ 규모의 건물이다. 이 건물은 철거식 재개발이 아닌 역사와 흔적을 최대한 보존해 살리는 방식으로 전시공간으로 리모델링되어, 2016년부터 서울시립미술관에서 운영하고 있다.</span></div><div><span style='font-size: 13.3333px;'><br>  </span></div><div><span style='font-size: 14pt;'>시약창고 선반을 보존해서 남긴 두 개의 전시실이 특징적으로, 천장을 투명 카보나이트 판넬로 처리해 천장으로부터 햇살이 쏟아져 내린다.</span></div>",무료,,,,,,,,,,,,,,
7,공연장,동숭무대,서울특별시 종로구 혜화로 35,37.58868966,126.9991712,010-8923-1512,,http://cafe.naver.com/dsstage,,,-,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101449&thumb=Y,,<p>동숭무대 소극장</p>,무료,,,,,,,,,,,,,,
8,기타,금천예술공장,서울시 금천구 범안로15길 57,37.46891512,126.891913,02-807-4800,,http://www.sfac.or.kr/,,,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=92236b8c63104b78b94c36c1352df569&thumb=Y,,"<p style='line-height: 1.8;'><span style='font-size: 12pt; font-family: 나눔고딕, NanumGothic, ng, 돋움, dotum, Helvetica, sans-serif; white-space: normal; word-spacing: 0px; text-transform: none; float: none; font-weight: normal; color: rgb(0, 0, 0); font-style: normal; text-align: justify; orphans: 2; widows: 2; letter-spacing: 0px; background-color: rgb(255, 255, 255); text-indent: 0px; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important;'>금천예술공장은 2009년 인쇄공장을 리모델링하여 조성된 시각예술 전문 국제 레지던시 공간으로, 실험적인 예술을 장려하며 예술의 다양한 가치를 존중합니다. 매해 입주작가 공모를 통해 실험적이고 새로운 작업을 실현하는 시각예술가를 선발하여 레지던시 프로그램을 운영, 지원하고 있습니다. 또한 입주작가 기획전시, 오픈스튜디오, 워크숍 등의 프로그램을 진행하며 예술가, 미술 관계자, 시민이 함께 입주작가들의 작품과 작업 공간을 접할 수 있는 문화의 장을 만들고자 합니다.&nbsp;</span></p>",무료,,,,,,,,,,,,,,
9,도서관,송파도서관,서울특별시 송파구 동남로 263,37.49999535,127.1348515,02-3434-3333,02-448-8790,http://splib.sen.go.kr/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=34bc95782a7b4ac5ad8cea174bb09b99&thumb=Y,,"",,,,,,,,,,,,,,,
-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: transparent; WIDTH: 176pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl68' rowspan='2' width='234'><font color='#808080' face='돋움'><span style='font-family: &quot;맑은 고딕&quot;;'>08:00~23:00</span></font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: transparent; WIDTH: 61pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl65' rowspan='2' width='81'><font color='#808080' face='돋움'><span style='font-family: &quot;맑은 고딕&quot;;'>평일과 동일</span></font></td></tr> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: transparent; WIDTH: 192pt; HEIGHT: 16.5pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl68' height='22' width='256'><font color='#808080' face='돋움'><span style='font-family: &quot;맑은 고딕&quot;;'>(탐구실,자기계발실,학습기기실)</span></font></td></tr></tbody></table><span style='font-family: &quot;맑은 고딕&quot;;'>탐구 2,3,4,5실은 22:00시 까지 이용가능</span><br>  <br>   <table style='WIDTH: 485pt; BORDER-COLLAPSE: collapse' border='0' cellspacing='0' cellpadding='0' width='646'> <colgroup> <col style='WIDTH: 192pt; mso-width-source: userset; mso-width-alt: 8192' width='256'> <col style='WIDTH: 117pt; mso-width-source: userset; mso-width-alt: 4992' width='156'> <col style='WIDTH: 176pt; mso-width-source: userset; mso-width-alt: 7488' width='234'> </colgroup><tbody> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: #f0f0f0; BORDER-LEFT: #f0f0f0; BACKGROUND-COLOR: transparent; WIDTH: 192pt; HEIGHT: 16.5pt; BORDER-TOP: #f0f0f0; BORDER-RIGHT: #f0f0f0' class='xl65' height='22' width='256'><font face='돋움'><span style='font-family: &quot;맑은 고딕&quot;;'>휴관일</span></font></td> <td style='BORDER-BOTTOM: #f0f0f0; BORDER-LEFT: #f0f0f0; BACKGROUND-COLOR: transparent; WIDTH: 117pt; BORDER-TOP: #f0f0f0; BORDER-RIGHT: #f0f0f0' width='156'><font face='돋움'></font></td> <td style='BORDER-BOTTOM: #f0f0f0; BORDER-LEFT: #f0f0f0; BACKGROUND-COLOR: transparent; WIDTH: 176pt; BORDER-TOP: #f0f0f0; BORDER-RIGHT: #f0f0f0' width='234'><font face='돋움'></font></td></tr> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: transparent; WIDTH: 192pt; HEIGHT: 16.5pt; BORDER-TOP: windowtext 0.5pt solid; BORDER-RIGHT: windowtext 0.5pt solid' class='xl66' height='22' width='256'><b><font color='#808080' face='돋움'><span style='font-family: &quot;맑은 고딕&quot;;'>법정 공휴일 및 임시 공휴일</span></font></b></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: transparent; WIDTH: 117pt; BORDER-TOP: windowtext 0.5pt solid; BORDER-RIGHT: windowtext 0.5pt solid' class='xl66' width='156'><b><font color='#808080' face='돋움'><span style='font-family: &quot;맑은 고딕&quot;;'>정기휴관일</span></font></b></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: transparent; WIDTH: 176pt; BORDER-TOP: windowtext 0.5pt solid; BORDER-RIGHT: windowtext 0.5pt solid' class='xl66' width='234'><b><font color='#808080' face='돋움'><span style='font-family: &quot;맑은 고딕&quot;;'>임시휴관일</span></font></b></td></tr> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: transparent; WIDTH: 192pt; HEIGHT: 16.5pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl66' height='22' width='256'><b><font color='#808080' face='돋움'><span style='font-family: &quot;맑은 고딕&quot;;'>(일요일 제외)</span></font></b></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: transparent; WIDTH: 117pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl66' width='156'><b><font color='#808080' face='돋움'><span style='font-family: &quot;맑은 고딕&quot;;'>매월 둘째," 넷째 화요일</span></font></b></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: transparent; WIDTH: 176pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl66' width='234'><b><font color='#808080' face='돋움'><span style='font-family: &quot;맑은 고딕&quot;;'>기타 도서관 필요에 의해 정하는 날</span></font></b></td></tr></tbody></table><br>""",유료,,,,,,,,,,,,,,,,,,,,,,,,
