분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,경도(X좌표),위도(Y좌표),유무료,문화포털상세URL
축제-기타,마포구,[M클래식 축제] 마포공연예술관광페스티벌 [타케자와 유토 피아노 리사이틀],2023-12-07~2023-12-07,마포아트센터 아트홀 맥,마포문화재단,8세 이상,"R석 50,000원 / S석 30,000 / A석 20,000원",타케자와 유토 ,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2219&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4e759ec91d6043e68bd3dfef68ce0bae&thumb=Y,2023.7.6,기관,2023.12.7 0:00,2023.12.7 0:00,기타,37.54990609,126.9455338,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142296&menuNo=200010
축제-기타,마포구,[M클래식 축제] 마포공연예술관광페스티벌 킷 암스트롱 피아노 리사이틀,2023-12-06~2023-12-06,마포아트센터 아트홀맥,마포문화재단,8세 이상,"R석 50,000원 / S석 30,000 / A석 20,000원",킷 암스트롱,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2218&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=272efa7041df4658a364daa9fdb0fd3c&thumb=Y,2023.7.6,기관,2023.12.6 0:00,2023.12.6 0:00,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142295&menuNo=200010
클래식,마포구, M 아티스트 2023 김도현 피아노 리사이틀 II,2023-12-05~2023-12-05,마포아트센터 아트홀맥,마포문화재단, 8세이상관람가[미취학아동입장불가]," VIP석 55,000원, R석 44,000원, S석 33,000원",피아니스트 김도현,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2176&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a59720cd9c34bbfa056eb6b5031f809&thumb=Y,2023.3.15,기관,2023.12.5 0:00,2023.12.5 0:00,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141022&menuNo=200008
클래식,구로구,브런치콘서트 [이달의 공연] 11월 클래식과 재즈의 더 배틀,2023-11-28~2023-11-28,구로아트밸리 예술극장,구로문화재단,7세 이상 관람가,"전석 10,000원 / 단체10인 이상 할인 20% (전화예매필수)",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3673&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=78c250f20537440cbbdf2f085f20a1c7&thumb=Y,2023.7.28,기관,2023.11.28 0:00,2023.11.28 0:00,기타,37.4966724,126.888881,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142575&menuNo=200008
콘서트,강동구,"[2023 카즈미 타테이시 트리오 내한공연] 지브리, 재즈를 만나다(서울 강동)",2023-11-11~2023-11-11,강동아트센터 대극장 한강,기타,만 7세 이상,"VIP석 77,000원 / R석 66,000원 / S석 55,000원",Piano 카즈미 타테이시 Contrabass 시노부 사토 Drums 마오 스즈키,"하울의 움직이는 성, 센과 치히로의 행방불명 등 지브리 애니메이션 주제곡",,https://tickets.interpark.com/goods/23010469,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e96a8ee94fab47d59a00d84cfb25c25d&thumb=Y,2023.7.28,시민,2023.11.11 0:00,2023.11.11 0:00,기타,37.551449,127.157598,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142578&menuNo=200008
클래식,마포구,M 한국가곡 시리즈 [모던가곡] #6. 첫사랑,2023-11-07~2023-11-07,마포아트센터 플레이 맥,마포문화재단,8세 이상 관람가,"전석 20,000원","소프라노 박혜진, 테너 김성진, 바리톤 양준모, 해금 천지윤, 피아노 권한숙",프로그램 추후 공개 예정 ,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2233&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f94b53c1467444368f03a65bb6c986ce&thumb=Y,2023.7.13,기관,2023.11.7 0:00,2023.11.7 0:00,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142401&menuNo=200008
콘서트,강남구,"[2023 카즈미 타테이시 트리오 내한공연] 지브리, 재즈를 만나다(서울 강남)",2023-11-06~2023-11-06,광림아트센터 장천홀,기타,만 7세 이상,"VIP석 77,000원 R석 66,000원 S석 55,000원",Piano 카즈미 타테이시 Contrabass 시노부 사토 Drums 마오 스즈키,"하울의 움직이는 성, 센과 치히로의 행방불명 등 지브리 애니메이션 주제곡",,https://tickets.interpark.com/goods/23009987,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e2c9ff153d4e4db5b9d6fa34198a863d&thumb=Y,2023.7.25,시민,2023.11.6 0:00,2023.11.6 0:00,기타,37.52424476,127.0267842,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142527&menuNo=200008
클래식,구로구,브런치콘서트 [이달의 공연] 10월 웃음 가득 뮤지컬 갈라,2023-10-31~2023-10-31,구로아트밸리 예술극장,구로문화재단,7세 이상 관람가,"전석 10,000원 / 단체10인 이상 할인 20% (전화예매필수)",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3672&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=44c90392a4ae434885a563f190ac09c4&thumb=Y,2023.7.28,기관,2023.10.31 0:00,2023.10.31 0:00,기타,37.4966724,126.888881,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142574&menuNo=200008
국악,중구,남산골가무악국악한마당,2023-10-30~2023-10-30,충무아트센터 대극장 ,기타,누구나,무료,"판소리 왕기철,박춘맹,김학용,김명남,주소연, 가야금병창 정경옥 대통령상수상및 판소리이수자  명무,장임순 사물놀이강의정외 민요,각설이 다수출연 ","사물놀이,창극,판소리,민요,장단",30년이상의 국악인들이 공연을 준비함 ,http://namsangolgukak.or.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a4995269e514a6e992ca87ab12bb6d5&thumb=Y,2023.8.10,기관,2023.10.30 0:00,2023.10.30 0:00,기타,37.56594097,127.0147909,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142756&menuNo=200008
뮤지컬/오페라,종로구,푸치니 [투란도트],2023-10-26~2023-10-29,세종대극장,세종문화회관,만 7세 이상,"VIP석 150,000원 R석 120,000원 S석 100,000원 A석 80,000원 B석 50,000원",,<html><head></head><body spellcheck=,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33853&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bc2be4d262b2474f92fa1a343be472aa&thumb=Y,2023.8.9,기관,2023.10.26 0:00,2023.10.29 0:00,,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142732&menuNo=200008
