시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,정원(수용인원),현인원,전화번호,우편번호
서울꽃동네신내노인요양원,A0001,(노인) 노인요양시설,노인의료복지시설,자치구,최은숙,1126000000,중랑구,서울특별시 중랑구 신내로 194 ,234,234,02-490-2609,2052
청운양로원,A0002,(노인) 양로시설,노인주거복지시설,자치구,이종명,1111000000,종로구,서울특별시 종로구 비봉길 76 (구기동),57,50,02-379-9232,3001
청운노인요양원,A0003,(노인) 노인요양시설,노인의료복지시설,자치구,이종후,1111000000,종로구,서울특별시 종로구 비봉길 76 (구기동),45,45,02-3217-0057,3001
홍파양로원,A0004,(노인) 양로시설,노인주거복지시설,자치구,김우리,1135000000,노원구,서울특별시 노원구 동일로248길 30 (상계동),44,32,02-939-0735,1623
천사노인요양원,A0007,(노인) 노인요양시설,노인의료복지시설,자치구,김샛별,1150000000,강서구,서울특별시 강서구 강서로45다길 30-22,161,151,02-2602-2443,7704
서울특별시립 남부노인전문요양원,A0016,(노인) 노인요양시설,노인의료복지시설,자치구,한철수,1156000000,영등포구,경기도 군포시 고산로 589,190,188,031-390-1003,15820
혜명양로원,A0019,(노인) 양로시설,노인주거복지시설,자치구,채명석,1154500000,금천구,서울특별시 금천구 금하로29길 36(시흥동),64,55,02-802-6765,8656
시립고덕양로원,A0098,(노인) 양로시설,노인주거복지시설,자치구,박기아,1174000000,강동구,서울특별시 강동구 고덕로 199(고덕동),124,87,02-441-8886,5235
노인요양센터 인영실버,A0099,(노인) 노인요양시설,노인의료복지시설,자치구,이희법,1154500000,금천구,서울특별시 금천구 금하로 596-0 ,96,84,02-804-6141,8632
동명노인복지센타,A0100,(노인) 노인요양시설,노인의료복지시설,자치구,김병한,1162000000,관악구,서울특별시 관악구 봉천로23라길 15(봉천동),90,90,02-875-2770,151829
영기노인요양원,A0131,(노인) 노인요양시설,노인의료복지시설,자치구,김원제,1135000000,노원구,서울특별시 노원구 동일로248길 30 (상계동),83,83,02-939-8111,1623
참사랑데이케어센터,A0166,(노인) 재가노인복지시설,재가노인복지시설,자치구,최신영,1171000000,송파구,서울특별시 송파구 마천로 89,17,16,02-3401-5558,5655
은천노인요양센터,A0343,(노인) 노인요양시설,노인의료복지시설,자치구,박애자,1123000000,동대문구,서울특별시 동대문구 장한로27가길 66 (장안동),28,29,02-2249-9980,2527
동작실버센터,A0347,(노인) 노인요양시설,노인의료복지시설,자치구,이재희,1159000000,동작구,서울특별시 동작구 노량진로32길 53 (본동),68,68,02-821-8600,6908
구립서초노인요양센터,A0368,(노인) 노인요양시설,노인의료복지시설,자치구,나종선,1165000000,서초구,서울특별시 서초구 남부순환로340길 21 (서초동 380-4),200,200,02-597-5008,6756
구립서초노인요양센터,A0386,(노인) 노인요양시설,노인의료복지시설,자치구,이민정,1165000000,서초구,서울특별시 서초구 남부순환로340길21,200,184,02-597-5008,6756
광림노인전문요양원,A0400,(노인) 노인요양시설,노인의료복지시설,자치구,홍종환,1168000000,강남구,강원 춘천시 서면 경춘로 771-79(서면),100,89,033-263-3995,24463
성북구립 상월곡실버복지센터,A0495,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김경회,1129000000,성북구,서울특별시 성북구 화랑로18길 6 (상월곡동),,200,02-963-1082,2793
사랑의집,A0519,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,김원태,1117000000,용산구,서울특별시 용산구 효창원로15길 24(산천동),9,8,02-715-9020,4357
서울특별시남부노인보호전문기관,A0533,(노인) 노인보호전문기관,노인보호전문기관,자치구,나경희,1165000000,서초구,서울특별시 서초구 남부순환로 2124까리따스종합복지관 (방배동)(방배동),13,,02-3472-1389,6760
우리사랑재가노인지원센터,A0564,(노인) 재가노인복지시설,재가노인복지시설,자치구,정춘선,1123000000,동대문구,서울특별시 동대문구 휘경로12길 83(휘경동),40,30,02-2215-8027,130876
청운노인복지센터,A0607,(노인) 노인요양시설,노인의료복지시설,자치구,손창숙,1159000000,동작구,서울특별시 동작구 국사봉1길 145(상도동),100,100,02-823-3833,156844
동대문실버데이케어센터,A0638,(노인) 재가노인복지시설,재가노인복지시설,자치구,이동수,1100000000,서울특별시,서울특별시 동대문구 약령시로5길 223층 동대문실버데이케어센터,23,23,02-920-4547,2476
한국씨니어노인복지센터,A0681,(노인) 재가노인복지시설,재가노인복지시설,자치구,반명규,1159000000,동작구,서울특별시 동작구 상도로30길 82층,0,0,02-815-1922,6964
목동종합사회복지관병설목동노인복지센터,A0707,(노인) 재가노인복지시설,재가노인복지시설,자치구,유영덕,1147000000,양천구,서울특별시 양천구 목동중앙북로8길 104목동종합사회복지관 2층,24,24,02-2651-0809,7949
서초구립양재노인종합복지관,A0724,(노인) 노인복지관,노인여가복지시설,자치구,전경아 ,1165000000,서초구,서울특별시 서초구 강남대로30길 73-7양재노인종합복지관 (양재동),,1220,02-578-1515,6741
효림재가노인지원센터,A0738,(노인) 재가노인복지시설,재가노인복지시설,자치구,김동숙,1141000000,서대문구,서울특별시 서대문구 경기대로9길 62-01-38,,671,02-313-5124,3746
