부문,수집연도,작품명(국문),작품명(영문),작품규격,제작년도,재료/기법,작품해설,작가명,메인이미지,썸네일이미지
뉴미디어,2022,하나코와 김치오빠 외 연속재생,Hanaco and Mr. Kimchi etc. playback,29분34초,2017,"3채널 영상, 컬러, 사운드",,최윤,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=40994,http://collections.eseoul.go.kr/data/art/thumb/40994.jpg
회화,2022,세화-기해(己亥),세화-기해(己亥),19×27.5cm,2019,캔버스에 유채,,민정기,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47185,http://collections.eseoul.go.kr/data/art/thumb/47185.jpg
회화,2022,어미 새,Mother Bird,98×86cm,2004,장지에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47187,http://collections.eseoul.go.kr/data/art/thumb/47187.jpg
회화,2022,검은 꽃-1,검은 꽃-1,149×104cm,2004,장지에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47189,http://collections.eseoul.go.kr/data/art/thumb/47189.jpg
회화,2022,어미새,어미새,65.5×53cm,2011,장지에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47191,http://collections.eseoul.go.kr/data/art/thumb/47191.jpg
회화,2022,어미새,어미새,83×75cm,2011,장지에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47193,http://collections.eseoul.go.kr/data/art/thumb/47193.jpg
회화,2022,어미새,어미새,83×72.5cm,2011,장지에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47195,http://collections.eseoul.go.kr/data/art/thumb/47195.jpg
회화,2022,어미새,어미새,85.5×74cm,2011,장지에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47197,http://collections.eseoul.go.kr/data/art/thumb/47197.jpg
회화,2022,어미새,어미새,100×75cm,2011,나무 패널에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47199,http://collections.eseoul.go.kr/data/art/thumb/47199.jpg
회화,2022,어미새,어미새,101×73cm,2011,나무 패널에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47201,http://collections.eseoul.go.kr/data/art/thumb/47201.jpg
회화,2022,어미새,어미새,149×106cm,2011,장지에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47204,http://collections.eseoul.go.kr/data/art/thumb/47204.jpg
회화,2022,검은 꽃,Black Flower,72.7×60.5cm,2011,캔버스에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47207,http://collections.eseoul.go.kr/data/art/thumb/47207.jpg
회화,2022,어미새,어미새,132.5×100cm,2011,장지에 아크릴릭,,김선심,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47210,http://collections.eseoul.go.kr/data/art/thumb/47210.jpg
드로잉&판화,2022,성마르코에서,성마르코에서,21×30cm,1994,종이에 연필,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47212,http://collections.eseoul.go.kr/data/art/thumb/47212.jpg
드로잉&판화,2022,튀니지 미국대사관,튀니지 미국대사관,21×30cm,1981,종이에 연필,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47214,http://collections.eseoul.go.kr/data/art/thumb/47214.jpg
회화,2022,자연의 소리 2021-10-A,자연의 소리 2021-10-A,120.5×111cm,2021,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47216,http://collections.eseoul.go.kr/data/art/thumb/47216.jpg
회화,2022,포풀러 마을,포풀러 마을,43.5×63.5cm,2021,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47219,http://collections.eseoul.go.kr/data/art/thumb/47219.jpg
회화,2022,자연의 소리 2021-10-B,자연의 소리 2021-10-B,120.5×110.5cm,2021,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47222,http://collections.eseoul.go.kr/data/art/thumb/47222.jpg
회화,2022,자연의 소리 2021-10-A,자연의 소리 2021-10-A,120.5×110.5cm,2021,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47224,http://collections.eseoul.go.kr/data/art/thumb/47224.jpg
회화,2022,녹색마을,녹색마을,40×40cm,2020,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47226,http://collections.eseoul.go.kr/data/art/thumb/47226.jpg
회화,2022,억새가족1,억새가족1,120×110cm,2019,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47229,http://collections.eseoul.go.kr/data/art/thumb/47229.jpg
회화,2022,억새는 지다 1,억새는 지다 1,120.5×110.5cm,2017,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47231,http://collections.eseoul.go.kr/data/art/thumb/47231.jpg
회화,2022,제주의 억새소리 6,제주의 억새소리 6,79.5×120.5cm,2016,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47233,http://collections.eseoul.go.kr/data/art/thumb/47233.jpg
회화,2022,자연의 소리 2017-02-A,자연의 소리 2017-02-A,120.5×110.5 cm,2017,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47235,http://collections.eseoul.go.kr/data/art/thumb/47235.jpg
회화,2022,자연의 소리 2015-10-B,자연의 소리 2015-10-B,120.5×111cm,2015,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47237,http://collections.eseoul.go.kr/data/art/thumb/47237.jpg
회화,2022,자연의 소리 2015-10-A,자연의 소리 2015-10-A,121×111cm,2015,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47240,http://collections.eseoul.go.kr/data/art/thumb/47240.jpg
회화,2022,자연의 소리 2015-11,자연의 소리 2015-11,79.5×120.5cm,2015,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47242,http://collections.eseoul.go.kr/data/art/thumb/47242.jpg
회화,2022,자연의 소리 2014-4-2,자연의 소리 2014-4-2,121×110cm,2014,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47245,http://collections.eseoul.go.kr/data/art/thumb/47245.jpg
회화,2022,자연의 소리 2014-4-A,자연의 소리 2014-4-A,85×85cm,2014,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47249,http://collections.eseoul.go.kr/data/art/thumb/47249.jpg
회화,2022,노랑마을,노랑마을,63×73cm,2013,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47252,http://collections.eseoul.go.kr/data/art/thumb/47252.jpg
회화,2022,녹색선,녹색선,85×85cm(×2개),2012,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47254,http://collections.eseoul.go.kr/data/art/thumb/47254.jpg
회화,2022,바람,바람,110×120cm,2012,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47260,http://collections.eseoul.go.kr/data/art/thumb/47260.jpg
회화,2022,자연의 소리 2011-3,자연의 소리 2011-3,63×73cm(×2개),2011,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47262,http://collections.eseoul.go.kr/data/art/thumb/47262.jpg
회화,2022,유채그림,유채그림,66×66cm,2011,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47315,http://collections.eseoul.go.kr/data/art/thumb/47315.jpg
