개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
3010000,CDFF4220002005000002,2005.3.22,,1,영업/정상,13,영업중,,,,,2118-5443,,,서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",4533,롯데시네마 에비뉴엘 <2관>,2023.3.24 10:13,U,2022.12.2 22:06,,198333.4709,451313.4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002005000003,2005.3.22,,1,영업/정상,13,영업중,,,,,2118-5443,,,서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",4533,롯데시네마 에비뉴엘 <3관>,2023.3.24 10:13,U,2022.12.2 22:06,,198333.4709,451313.4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002005000001,2005.3.22,,1,영업/정상,13,영업중,,,,,2118-5443,,,서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",4533,롯데시네마 에비뉴엘 샤롯데관,2023.3.24 10:12,U,2022.12.2 22:06,,198333.4709,451313.4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002005000005,2005.3.22,,1,영업/정상,13,영업중,,,,,2118-5443,,,서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",4533,롯데시네마 에비뉴엘 <1관>,2023.3.24 10:14,U,2022.12.2 22:06,,198333.4709,451313.4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002005000004,2005.3.22,,1,영업/정상,13,영업중,,,,,2118-5443,,,서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",4533,롯데시네마 에비뉴엘 <5관>,2023.3.24 10:13,U,2022.12.2 22:06,,198333.4709,451313.4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080000,CDFF4220002017000005,2017.4.27,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308 (번동),1062,(주)써니트 롯데시네마 수유,2023.5.25 10:36,U,2022.12.4 22:07,,202032.7576,459259.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130000,CDFF4220002022000001,2022.2.21,,1,영업/정상,13,영업중,,,,,02-738-0366,,,서울특별시 마포구 동교동 166-14 동교동 스타피카소,"서울특별시 마포구 양화로 176, 동교동 스타피카소 8층 (동교동)",4051,독립영화전용관 인디스페이스,2023.5.4 18:09,U,2022.12.5 0:07,,193282.1308,450549.2802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130000,CDFF4220002008000001,2008.1.2,,3,폐업,3,폐업,2022.8.3,,,,3143-7180,,,서울특별시 마포구 동교동 166-6,서울특별시 마포구 양화로 176 (동교동),4051,롯데시네마 홍대입구관 제1관,2023.5.4 18:04,U,2022.12.5 0:07,,193330.7141,450564.5132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090000,CDFF4220002022000005,20220420,,1,영업/정상,13,영업중,,,,,02-526-8859,,,서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 4~5층 (방학동)",1334,CGV 방학 4관,2022.4.20 15:57,I,2021.12.3 22:02,,203799.8653,462533.4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090000,CDFF4220002022000007,20220420,,1,영업/정상,13,영업중,,,,,02-526-8859,,,서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 4~5층 (방학동)",1334,CGV 방학 6관,2022.4.20 15:59,I,2021.12.3 22:02,,203799.8653,462533.4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3220000,CDFF4220001994000002,1994.9.5,,1,영업/정상,13,영업중,,,,,540-1637,,,서울특별시 강남구 역삼동 816,서울특별시 강남구 강남대로 422 (역삼동),6129,메가박스 씨티(강남대로)2관,2023.6.28 10:38,U,2022.12.5 21:00,,202310.3114,444240.7983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090000,CDFF4220002022000006,20220420,,1,영업/정상,13,영업중,,,,,02-526-8859,,,서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 4~5층 (방학동)",1334,CGV 방학 5관,2022.4.20 15:58,I,2021.12.3 22:02,,203799.8653,462533.4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090000,CDFF4220002022000001,20220420,,1,영업/정상,13,영업중,,,,,02-526-8859,,,서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 6~7층 (방학동)",1334,CGV 방학 4DX관,2022.4.20 15:53,I,2021.12.3 22:02,,203799.8653,462533.4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080000,CDFF4220002017000004,2017.4.27,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308 (번동),1062,(주)써니트 롯데시네마 수유,2023.5.25 10:35,U,2022.12.4 22:07,,202032.7576,459259.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080000,CDFF4220002017000006,2017.4.27,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308 (번동),1062,(주)쎄니트 수유지점 롯데시네마 수유 6관,2023.5.25 10:33,U,2022.12.4 22:07,,202032.7576,459259.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3220000,CDFF4220001994000001,1994.9.5,,1,영업/정상,13,영업중,,,,,540-1637,,,서울특별시 강남구 역삼동 816,서울특별시 강남구 강남대로 422 (역삼동),6129,메가박스 씨티(강남대로)1관,2023.6.28 10:27,U,2022.12.5 21:00,,202310.3114,444240.7983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000000,CDFF4220002003000022,2003.2.12,,1,영업/정상,13,영업중,,,,,070-8145-3128,,,서울특별시 종로구 신문로1가 226 흥국생명빌딩,"서울특별시 종로구 새문안로 68, 흥국생명빌딩 지하2층 (신문로1가)",3184,씨네큐브광화문 2관,2023.7.4 14:21,U,2022.12.7 0:06,,197482.2053,451938.3079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000000,CDFF4220002003000021,2003.2.12,,1,영업/정상,13,영업중,,,,,070-8145-3128,,,서울특별시 종로구 신문로1가 226 흥국생명빌딩,"서울특별시 종로구 새문안로 68, 흥국생명빌딩 지하2층 (신문로1가)",3184,씨네큐브광화문 1관,2023.7.4 14:21,U,2022.12.7 0:06,,197482.2053,451938.3079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230000,CDFF4220002016000005,2016.12.21,,1,영업/정상,13,영업중,,,,,070-8974-9454,,,서울특별시 송파구 문정동 618 204동 비162호,"서울특별시 송파구 송파대로 111, 204동 비162호 (문정동, 파크하비오)",5837,메가박스 송파파크하비오점(6관),2023.7.18 18:00,U,2022.12.6 22:00,,210868.3975,442053.2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
