"키값","기관코드","유형1","유형2","대표기관명","전체기관명","최하위기관명","대표전화번호","새우편번호","주소","도로명주소","행정시","행정구","행정동"
"BE_LiST27-0164","1710674","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울삼전동우체국","서울삼전동우체국","02-417-0800","05584","","서울특별시 송파구 백제고분로 256 (삼전동 72-4)","서울특별시","송파구","삼전동"
"BE_LiST27-0165","1710669","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울송파1동우체국","서울송파1동우체국","02-422-0205","05666","","서울특별시 송파구 백제고분로 42길 5 (송파1동 113-2 여성문화회관 1층)","서울특별시","송파구","송파1동"
"BE_LiST27-0166","1710679","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울오금동우체국","서울오금동우체국","02-443-0200","05739","","서울특별시 송파구 동남로 300 (오금동 129-3)","서울특별시","송파구","오금동"
"BE_LiST27-0167","1710675","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울오륜동우체국","서울오륜동우체국","02-404-0014","05649","","서울특별시 송파구 양재대로 1218 (오륜동 89-13)","서울특별시","송파구","오륜동"
"BE_LiST27-0168","1710681","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울잠실2동우체국","서울잠실2동우체국","02-423-2004","05501","","서울특별시 송파구 올림픽로 107 (잠실동 19-7)","서울특별시","송파구","잠실2동"
"BE_LiST27-0169","1710682","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울잠실3동우체국","서울잠실3동우체국","02-414-2200","05503","","서울특별시 송파구 잠실로 51-33 (잠실3동 27-12)","서울특별시","송파구","잠실3동"
"BE_LiST27-0170","1710671","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울잠실4동우체국","서울잠실4동우체국","02-422-0003","05507","","서울특별시 송파구 신천로 133-1 (신천동 20-5)","서울특별시","송파구","잠실6동"
"BE_LiST27-0171","1710667","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울잠실우체국","서울잠실우체국","02-417-2005","05552","","서울특별시 송파구 오금로 90 (신천동 29-1)","서울특별시","송파구","잠실6동"
"BE_LiST27-0172","1710677","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울풍납동우체국","서울풍납동우체국","02-471-0155","05520","","서울특별시 송파구 올림픽로 575 (풍납동 497)","서울특별시","송파구","풍납1동"
"BE_LiST27-0173","1710684","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울양천우체국","서울양천우체국","02-2646-0004","07988","","서울특별시 양천구 목동서로 117 (목동 905-16)","서울특별시","양천구","목5동"
"BE_LiST27-0174","1710698","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울양천우체국 서울남부지방법원우체국","서울남부지방법원우체국","02-2644-0551","08088","","서울특별시 양천구 신월로 386 서울남부지법청사내 (신정1동 313-1)","서울특별시","양천구","신정1동"
"BE_LiST27-0175","1710695","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울양천우체국 서울목3동우체국","서울목3동우체국","02-2642-0116","07957","","서울특별시 양천구 목동중앙남로3가길 127 상진지오벨리 1층 (목3동 713-5)","서울특별시","양천구","목3동"
"BE_LiST27-0176","1710693","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울양천우체국 서울신월2동우체국","서울신월2동우체국","02-2692-0318","08028","","서울특별시 양천구 중앙로 309 (신월동 500-24)","서울특별시","양천구","신월2동"
"BE_LiST27-0177","1710694","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울양천우체국 서울신월3동우체국","서울신월3동우체국","02-2695-3482","07910","","서울특별시 양천구 남부순환로 364 (신월동 166-7)","서울특별시","양천구","신월3동"
"BE_LiST27-0178","1710696","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울양천우체국 서울신정1동우체국","서울신정1동우체국","02-2654-2005","08087","","서울특별시 양천구 신월로 368 (신정동 1017-15)","서울특별시","양천구","신정1동"
"BE_LiST27-0179","1710697","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울양천우체국 서울신정3동우체국","서울신정3동우체국","02-2698-0204","08106","","서울특별시 양천구 신정로 306 (신정동 1272)","서울특별시","양천구","신정3동"
"BE_LiST27-0180","1710747","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국","서울용산우체국","02-797-0004","04386","","서울특별시 용산구 한강대로118 (한강로2가)","서울특별시","용산구","한강로동"
