"기관ID","주소","병원분류","병원분류명","응급의료기관코드","응급의료기관코드명","응급실운영여부","비고","기관설명상세","간이약도","기관명","대표전화1","응급실전화","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업시간"
"A1100008","서울특별시 성북구 고려대로 73 고려대병원 (안암동5가)","A","종합병원","G001","권역응급의료센터","1","토요일 25째 휴무","건강검진센터 내과진료만 가능","지하철 6호선 안암역 하차 후 1번출구 도보 500m","(학)고려대학교의과대학부속병원(안암병원)","1577-0083","02-920-5374","1730","1730","1730","1730","1730","1200","1230","1630","0900","0900","0900","0900","0900","0900","0900","0900","028","41","127.02647086385966","37.58715608002366","2022-07-07 14:55:07.0"
"A1100011","서울특별시 영등포구 63로 10 여의도성모병원 (여의도동)","A","종합병원","G006","지역응급의료센터","1","일요일은 교정진료만 운영","소아과 평일) 9-18시 토) 9-14시","샛강역 3번 출구","가톨릭대학교여의도성모병원","1661-7575","02-3779-1188","1700","1700","1700","1700","1700","1200","1600","2400","0900","0900","0900","0900","0900","0900","1000","0000","073","45","126.93673129599131","37.51827233800711","2022-07-07 14:55:08.0"
"A1121013","서울특별시 은평구 통일로 1021 (진관동)","A","종합병원","G006","지역응급의료센터","1","일요일은 교정진료만 운영","소아과 평일) 9-18시 토) 9-14시","샛강역 3번 출구","가톨릭대학교은평성모병원","02-1811-7755","1811-7755","1700","1700","1700","1700","1700","1200","1600","2400","0830","0830","0830","0830","0830","0830","1000","0000","033","12","126.91615048739686","37.633608409726854","2022-07-07 14:55:08.0"
"A1100047","서울특별시 관악구 관악로 242 (봉천동)","B","병원","G009","응급실운영신고기관","1","접수는 평일 16시 토요일은 12시전까지만 가능합니다.  공휴일은 요일에 맞춰 진료합니다.","점심시간 : 오후 1시-오후 2시 전화 예약 가능","서울대입구역 7번 출구 도보 5분","강남고려병원","1661-8267","02-874-7227","1800","1800","1800","1800","1800","1300","1600","1730","0900","0900","0900","0900","0900","0900","1000","0900","087","35","126.95678091199277","37.485618115306","2022-07-07 14:55:08.0"
"A1100076","서울특별시 관악구 남부순환로 1449 (신림동 서울본병원)","B","병원","G009","응급실운영신고기관","1","점심시간 12:30~13:30","관악구 봉천동 187병상 투석 가능한 요양병원입니다.","2호선 신대방역/난곡사거리 인근","강남힐병원","02-853-4600","02-853-9100","1800","1800","1800","1800","1800","1300","1700","1300","0900","0900","0900","0900","0900","0900","1000","0900","087","67","126.9117077397649","37.481585344616796","2022-07-07 14:55:08.0"
"A1100043","서울특별시 강동구 동남로 892 (상일동)","A","종합병원","G001","권역응급의료센터","1","점심시간 12:30~13:30","강동가톨릭정형외과의원은 강동구 천호동 구천면로 233 2층에 자리하고 있으며 천호역 5번 출구에서 도보 12분 거리에 있습니다. 천호동성당 맞은 편이고 유명한 천호동 냉면골목 부근입니다. 강동가톨릭정형외과의원은 서울성모병원 정형외과 외래교수 출신인 정형외과 전문의 민형기 대표원장이 성심껏 진료합니다.","고덕역 4번 출구","강동경희대학교의대병원","1577-5800","02-440-7000","1700","1700","1700","1700","1700","1200","1700","1300","0900","0900","0900","0900","0900","0900","1000","0900","052","78","127.15752179822283","37.553476404020664","2022-07-07 14:55:08.0"
"A1100006","서울특별시 종로구 새문안로 29 (평동)","A","종합병원","G006","지역응급의료센터","1","점심시간 12:30  4:00 매월 첫째주 토요일은 휴무 입니다.","빠르게 치료하기보다 바르게 치료하는 강북보아스이비인후과 입니다. 이비인후과전문의 대표원장님(유럽수면학회 수면전문가 인증의)과 이비인후과전문의 2인이 협력하여  진료하고 있습니다 .(귀 코 목 진료 /수면다원검사/양압기처방/보청기/장애진단/갑상선 초음파/CT 촬영/수액치료 )-방문접수/인터넷접수","서대문역 4번 출구","강북삼성병원","02-2001-2001","02-2001-1009","1700","1700","1700","1700","1700","1230","1600","1600","0830","0830","0830","0830","0830","0830","1000","1000","031","81","126.96793805451702","37.568497631233825","2022-07-07 14:55:08.0"
"A1121842","서울특별시 강북구 도봉로 187 지하1층 2층~5층 (미아동)","B","병원","G009","응급실운영신고기관","1","점심시간 오후1시~2시","24시간 진료 정형외과 수술가능(골절 수지접합등)","답십리사거리와 전농로타리 사이","강북으뜸병원","1522-1746","02-986-0334","2000","1800","1800","2000","1800","1300","1600","1500","0900","0900","0900","0900","0900","0900","1000","0900","011","70","127.026184524499","37.6254205559935","2022-07-07 14:55:08.0"
"A1100002","서울특별시 광진구 능동로 120-1 (화양동)","A","종합병원","G006","지역응급의료센터","1","점심시간 13:00~14:00","건강제일의료소비자생활협동조합","건대입구역 34번 출구","건국대학교병원","1588-1533","02-2030-5555","1730","1730","1730","1730","1730","1200","1600","1300","0900","0900","0900","0900","0900","0900","1000","0900","050","30","127.0721229093036","37.54084479467721","2022-07-07 14:55:09.0"
"A1100039","서울특별시 송파구 송이로 123 국립경찰병원 (가락동)","A","종합병원","G007","지역응급의료기관","1","응급의료센터 - 24시간 진료 안심외래(선별진료) - 09:00~16:00","보건복지부 지정 추나요법 시범사업기관입니다. 침 한약 추나 면역약침등의 한의학적 치료방법을 이용하여 환자의 질병상태들 진단하고 치료합니다.","경찰병원역 12번 출구","경찰병원","02-3400-1114","02-3400-1300","1700","1700","1700","1700","1700","1300","1500","1300","0900","0900","0900","0900","0900","0900","0900","0900","057","15","127.12348793503201","37.496413213560785","2022-07-07 14:55:09.0"
