순서,시설ID,컨텐츠 명,사용유무,테마 타입,x 좌표,y 좌표,좌표 배열,좌표타입,메인 이미지,새 주소,구 주소,우편번호,국가 지점 번호,테마 명,거리,업데이트 일,등록일,이미지 URL1,이미지 URL2,이미지 URL3,이미지 URL4,이미지 URL5,동영상 URL,음성파일 URL,평가 점수,평가자 인원,상세정보 이름 1,상세정보 값 1,상세정보 이름 2,상세정보 값 2,상세정보 이름 3,상세정보 값 3,상세정보 이름 4,상세정보 값 4,상세정보 이름 5,상세정보 값 5,상세정보 이름 6,상세정보 값 6,상세정보 이름 7,상세정보 값 7,상세정보 이름 8,상세정보 값 8,상세정보 이름 9,상세정보 값 9,상세정보 이름 10,상세정보 값 10
1,공덕전철역 2번출구, 자전거 일반거치대,사용,일반,126.9505199,37.54441324,[],Point,,서울특별시 마포구 마포대로 109,서울특별시 마포구 공덕동 467,4146,,(친환경)자전거 편의시설,3120.858685,2022.1.18 10:36,2022.1.18 10:36,,,,,,,,,,운영시간 ,24시간,설치지역,지하철역|,상세위치,공덕전철역 2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,20대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
2,동대문구_자전거보관대_120,_자전거보관대,사용,일반,127.0667023,37.58861921,[],Point,,서울특별시 동대문구 망우로 82,서울특별시 동대문구 휘경동 44-4,2500,,(친환경)자전거 편의시설,9520.550923,2022.1.11 10:58,2022.1.11 10:58,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,기타|병원|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
3,강동구_수리센터_001,강동구자전거종합서비스센터,사용,일반,127.1568981,37.55564547,"[127.156898059,37.555645472]",Point,,서울특별시 강동구 동남로 918,서울특별시 강동구 고덕동 302,5225,다사69695075,(친환경)자전거 편의시설,18240.14301,2023.4.3 15:14,2021.12.28 17:32,,,,,,,,,,운영시간_화요일~일요일(09:00~18:00) 월요일 휴무,,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",고덕역 3번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),상설|,"공임비 무상, 부품교체 실비","공임비 무상, 부품교체 실비","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",매월 이동수리 일정표(강동구 홈페이지 참조),"유의사항(예, O0학교 운영시간 외 이용불가 )","매주 월요일 휴무, 공휴일 휴무",관리부서(강동구청 교통행정과 자전거교통팀),관리부서(강동구청 교통행정과 자전거교통팀)
4,한강_수리센터_003,강서 자전거 대여소 수리센터,사용,일반,126.821933,37.58437953,[],Point,,,서울특별시 강서구 방화동 17-16,,다사40135410,(친환경)자전거 편의시설,15409.56719,2022.1.25 16:09,2022.1.25 11:23,,,,,,,,,,운영시간,11:00 ~ 20:00 동절기 휴무(‘22년 2월 10일까지),설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
5,구로구_자전거주차장_002,개봉역 자전거주차장,사용,일반,126.8593769,37.49540728,"[126.85937689820355,37.49540727677393]",Point,,서울특별시 구로구 경인로40길 25,서울특별시 구로구 개봉동 175-8,8276,다사43374420,(친환경)자전거 편의시설,13425.28458,2022.3.14 15:48,2022.3.14 15:48,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),상시,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",개봉역 2번 출구 앞,설치유형(*공기주입기와 주차장 만 선택하세요.),수동식|,"설치/이용가능대수(예, 00대)",125대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,구로구 교통행정과,구로구 교통행정과
6,강서구_주차장001,개화역 자전거 주차장,사용,일반,126.7979329,37.57746342,"[126.79793291841996,37.57746342264756]",Point,,서울특별시 강서구 개화동로8길 19,서울특별시 강서구 개화동 663,7505,다사38005335,(친환경)자전거 편의시설,17726.27453,2022.3.15 17:22,2022.3.15 17:22,,,,,,,,,,운영시간 (24시간),자주식2단(458대),설치지역,기타|개화역 환승센터 내|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
7,11103419_1679633022222,경춘선숲길(화랑대철도공원)_공기주입기,사용,일반,127.0908192,37.62339551,"[127.0908191945491,37.62339551199366]",Point,https://map.seoul.go.kr/smgis/ucimgs/conts/11103419/11103419_syk3383_20230324134426_1.png,,서울특별시 노원구 공릉동 103-2,,다사63895829,(친환경)자전거 편의시설,13036.43332,2023.3.24 13:44,2023.3.24 13:44,https://map.seoul.go.kr/smgis/ucimgs/conts/11103419/11103419_syk3383_20230324134426_1.png,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),상시,설치지역,기타|다중이용시설|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),기계식|,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,노원구청 교통지도과,노원구청 교통지도과
8,11103419_1679634009449,경춘선숲길공원 방문자센터_공기주입기,사용,일반,127.0704205,37.63144184,"[127.07042046474776,37.6314418378199]",Point,https://map.seoul.go.kr/smgis/ucimgs/conts/11103419/11103419_syk3383_20230324140119_1.png,서울특별시 노원구 동일로 1127,서울특별시 노원구 하계동 124-2,1851,다사62095919,(친환경)자전거 편의시설,11701.0923,2023.3.24 14:01,2023.3.24 14:01,https://map.seoul.go.kr/smgis/ucimgs/conts/11103419/11103419_syk3383_20230324140119_1.png,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),상시,설치지역,기타|공원|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),기계식|,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,노원구청 교통지도과,노원구청 교통지도과
9,11103419_1681359597379,경춘선숲길공원(공릉역 근처)_공기주입기,사용,일반,127.0766014,37.62719859,"[127.07660135410678,37.627198585515586]",Point,,서울특별시 노원구 동일로192길 77,서울특별시 노원구 공릉동 425-5,1833,다사62635872,(친환경)자전거 편의시설,11983.33392,2023.4.13 13:24,2023.4.13 13:24,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),상시,설치지역,,"상세위치(예, OO동 주민센터)",공릉역 근처 경춘선숲길공원 진입부,설치유형(*공기주입기와 주차장 만 선택하세요.),기계식|,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,노원구청 교통지도과,노원구청 교통지도과
10,용산구 거치대 관공서-05,고려에이트리움 앞 자전거보관소,사용,일반,126.9727305,37.54151526,"[126.972730457,37.541515259]",Point,,서울특별시 용산구 한강대로 259,서울특별시 용산구 갈월동 97-1,4322,다사53424926,(친환경)자전거 편의시설,2271.983559,2023.3.27 13:20,2021.12.24 14:54,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",16대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
