시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,도로명주소코드,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
510,1114000000,3,서울특별시,중구,남산초등학교,1.11401E+24,1114012900,1114055000,서울특별시 중구 퇴계로22길 17(남산동2가),245,126.986414,37.55986,198799.5833,551147.8935
511,1114000000,4,서울특별시,중구,덕수중학교,1.11401E+24,1114013400,1114059000,서울특별시 중구 마른내로9길 10(인현동2가),756,126.997407,37.56546,199770.8822,551769.3539
512,1114000000,57,서울특별시,중구,회현체육센터,1.11401E+24,1114012100,1114054000,서울특별시 중구 퇴계로12길 78(회현동1가),701,126.981631,37.556094,198376.9032,550730.0717
513,1114000000,52,서울특별시,중구,충무교회,1.11401E+24,1114012300,1114055000,서울특별시 중구 퇴계로16길 20(회현동3가),598,126.984422,37.560012,198623.5727,551164.882
520,1111000000,370,서울특별시,종로구,아름꿈도서관,1.11102E+24,1111017500,1111071000,서울특별시 종로구 종로58가길 19(숭인동),639,127.017131,37.572687,201513.3043,552571.5981
521,1114000000,17,서울특별시,중구,덕수초등학교,1.11402E+24,1114016700,1114052000,서울특별시 중구 덕수궁길 140(정동),897,126.974851,37.568986,197778.2775,552161.0405
522,1111000000,26,서울특별시,종로구,숭인1동주민센터,1.11102E+24,1111017500,1111070000,서울특별시 종로구 지봉로 86(숭인동),770,127.015633,37.577836,201380.9126,553143.1023
523,1111000000,343,서울특별시,종로구,숭인상록경로당,1.11102E+24,1111017500,1111070000,서울특별시 종로구 지봉로 86(숭인동),244,127.015593,37.577808,201377.4142,553139.9574
524,1111000000,340,서울특별시,종로구,숭인2동주민센터,1.11102E+24,1111017500,1111071000,서울특별시 종로구 종로65길 10(숭인동),256,127.019986,37.574886,201765.5142,552815.7936
1,1147000000,355,서울특별시,양천구,목3동주민센터,1.14701E+24,1147010200,1147053000,서울특별시 양천구 목동중앙남로16나길 55(목동),125,126.864403,37.544784,188016.9633,549483.2542
6,1147000000,316,서울특별시,양천구,양동중학교,1.14701E+24,1147010200,1147053000,서울특별시 양천구 목동중앙북로 49(목동),1028,126.869351,37.547894,188454.7215,549827.8244
7,1147000000,357,서울특별시,양천구,목동보건지소,1.14701E+24,1147010200,1147053000,서울특별시 양천구 목동중앙본로7가길 11(목동),650,126.866975,37.5401,188243.486,548963.0111
8,1147000000,391,서울특별시,양천구,갈산문화예술센터,1.14701E+24,1147010100,1147068000,서울특별시 양천구 목동남로 106(신정동),168,126.870713,37.510419,188569.3248,545668.3356
9,1147000000,354,서울특별시,양천구,목2동주민센터,1.14701E+24,1147010200,1147052000,서울특별시 양천구 목동중앙본로 120(목동),281,126.871644,37.546126,188657.0492,549631.2764
10,1147000000,327,서울특별시,양천구,갈산초등학교,1.14701E+24,1147010100,1147068000,서울특별시 양천구 목동로 31(신정동),660,126.869629,37.51145,188473.6196,545782.9257
11,1147000000,347,서울특별시,양천구,양천어르신종합복지관,1.14701E+24,1147010100,1147068000,서울특별시 양천구 목동로3길 106(신정동),160,126.858616,37.510433,187499.8092,545671.4176
12,1147000000,350,서울특별시,양천구,양천구민체육센터,1.14701E+24,1147010100,1147067000,서울특별시 양천구 목동동로 87(신정동),1995,126.864385,37.516544,188010.8453,546348.9906
13,1147000000,328,서울특별시,양천구,계남초등학교 체육관,1.14701E+24,1147010100,1147068000,서울특별시 양천구 목동동로2길 54(신정동),983,126.860935,37.509799,187704.7522,545600.7428
14,1147000000,348,서울특별시,양천구,양천구청 본관,1.14701E+24,1147010100,1147067000,서울특별시 양천구 목동동로 105(신정동),396,126.866631,37.516984,188209.4302,546397.4847
15,1147000000,349,서울특별시,양천구,해누리타운(양천구청 별관),1.14701E+24,1147010100,1147067000,서울특별시 양천구 목동동로 81(신정동),350,126.86382,37.516035,187960.8389,546292.5724
