공간정보관리번호,X좌표최소값,Y좌표최소값,X좌표최대값,Y좌표최대값,시설코드,년도,시설유형,쉼터명칭,상세주소,면적,이용가능인원,난방기보유(열풍기),난방기보유(히터),난방기보유(난로),난방기보유(라디에이터),점검사항(냉방기기구비),점검사항(휴식공간),점검사항(야간개방),점검사항(적정온도),점검사항(전기료지원),점검사항(간판부착),점검사항(홍보물비치),점검사항(숙박가능),점검사항(휴일개방),사용여부,한파쉼터운영시작일,한파쉼터운영종료일,한파쉼터평일시작시간,한파쉼터평일종료시간,한파쉼터주말시작시간,한파쉼터주말종료시간
5660,20118318,56025801,20118318,56025801,11305108,2023,1,가오 경로당,서울특별시 강북구 삼양로111길 56,94,40,2,1,0,0,Y,Y,Y,N,Y,Y,Y,N,N,Y,20221115,20230315,900,1800,0,0
5661,20111990,56028042,20111990,56028042,11305109,2023,1,극동 APT 경로당,서울특별시 강북구 인수봉로72길 4,171,50,0,3,0,0,Y,Y,Y,N,Y,Y,Y,N,N,Y,20221115,20230315,900,1800,,
5662,20127847,55478569,20127847,55478569,11320009,2023,1,대우그린A 경로당,서울특별시 도봉구 덕릉로 371,72,18,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,1300,1700,,
5663,20317544,56114010,20317544,56114010,11320005,2023,1,현대타운A 경로당,"서울특별시 도봉구  도봉로114길  22-8  (창동, 창동현대타운101동)",47,11,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,1300,1700,,
5664,20339420,56128094,20339420,56128094,11320002,2023,1,창일 경로당,서울특별시 도봉구  도봉로116길  41   (창동),246.42,61,0,0,0,0,N,Y,Y,Y,Y,Y,Y,N,Y,N,20221201,20230315,1300,1700,,
5665,20407740,56088426,20407740,56088426,11320003,2023,5,창동종합사회복지관,서울특별시 도봉구  덕릉로  329   (창동),355,88,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5666,20433094,56122286,20433094,56122286,11320006,2023,1,삼성A 제2경로당,서울특별시 도봉구  노해로66길  29   (창동),123,31,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,1300,1700,,
5667,20413551,56090824,20413551,56090824,11320001,2023,1,주공4단지A 경로당,"서울특별시 도봉구  덕릉로  349   (창동, 창동4단지주공아파트)",148,37,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5668,20388495,56145815,20388495,56145815,11320007,2023,1,주공3단지A 경로당,"서울특별시 도봉구  해등로  50   (창동, 창동주공아파트)",286,71,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,1300,1700,,
5669,20433094,56122286,20433094,56122286,11320004,2023,1,삼성A 제1경로당,서울특별시 도봉구  노해로66길  29   (창동),191,47,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20221201,20230315,1300,1700,,
5670,20150856,55947447,20150856,55947447,11305110,2023,1,제일 경로당,서울특별시 강북구 삼양로87길 3,135,50,3,2,0,0,Y,Y,Y,N,Y,Y,Y,N,N,Y,20221115,20230315,900,1800,,
5671,20393153,56127913,20393153,56127913,11320008,2023,3,창1동 주민센터,서울특별시 도봉구  해등로  46   (창동),231,57,0,0,0,0,N,Y,N,Y,N,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5672,20321100,56050489,20321100,56050489,11320010,2023,3,창2동 주민센터,서울특별시 도봉구  덕릉로59길  73-3  (창동),988,247,0,0,0,0,N,Y,N,Y,N,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5673,20313304,56054058,20313304,56054058,11320011,2023,1,창동건영캐스빌A 경로당,"서울특별시 도봉구  우이천로20길  7   (창동, 건영캐스빌아파트)",86.4,22,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,1300,1700,,
5674,20165365,55956107,20165365,55956107,11305111,2023,5,강북노인복지관(감로다실),서울특별시 강북구 삼양로92길 40,150,10,2,1,0,0,Y,Y,Y,N,Y,Y,Y,N,N,Y,20221115,20230315,900,1800,0,0
5675,20321527,56049002,20321527,56049002,11320013,2023,1,초안 경로당,서울특별시 도봉구  덕릉로59차길  14   (창동),147.38,30,0,0,0,0,N,Y,Y,Y,Y,Y,Y,N,Y,Y,20221201,20230315,1300,1700,,
5676,20337360,56079473,20337360,56079473,11320012,2023,1,장수 경로당,서울특별시 도봉구  도봉로104길  101   (창동),234,59,0,0,0,0,N,Y,Y,Y,Y,Y,Y,N,Y,Y,20221201,20230315,1300,1700,,
5677,20348657,56067277,20348657,56067277,11320014,2023,1,대우A 경로당,"서울특별시 도봉구  덕릉로63가길  43 , 대우A 경로당 (창동, 창동대우아파트)",143,50,0,0,0,0,N,Y,Y,Y,Y,Y,Y,N,Y,N,20221201,20230315,1300,1700,,
5678,20297159,56070391,20297159,56070391,11320018,2023,1,태영데시앙A 경로당,"서울특별시 도봉구  도봉로110다길  51   (창동, 태영 창동 데시앙)",142.08,50,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5679,20309012,56095538,20309012,56095538,11320017,2023,1,한신A 경로당,"서울특별시 도봉구  도봉로110다길  5   (창동, 창동 한신아파트)",80,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5680,20372700,56027206,20372700,56027206,11320022,2023,1,초헌약수 경로당,서울특별시 도봉구  덕릉로60바길  31   (창동),169,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5741,20433939,56561914,20433939,56561914,11320075,2023,1,도봉파크빌3단지A 경로당,"서울특별시 도봉구  마들로  891   (도봉동, 도봉파크빌3단지아파트)",57.9,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5742,20129857,56188162,20129857,56188162,11320087,2023,1,북한산 월드메르디앙A 경로당,"서울특별시 도봉구  삼양로  566   (쌍문동, 북한산월드메르디앙)",89,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5743,20238748,56128898,20238748,56128898,11320086,2023,1,염광A 경로당,"서울특별시 도봉구  우이천로30길  28   (쌍문동, 쌍문염광아파트)",19,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5744,20216602,56126538,20216602,56126538,11320080,2023,5,쌍문동 노인복지센터,서울특별시 도봉구  우이천로  363   (쌍문동),1145,100,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5745,20226965,56152826,20226965,56152826,11320082,2023,1,동익A 경로당,서울특별시 도봉구  우이천로32길  65   (쌍문동),90,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5746,20216445,56163138,20216445,56163138,11320081,2023,1,쌍신 경로당,서울특별시 도봉구  우이천로34길  66   (쌍문동),28.49,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5747,20207311,56145372,20207311,56145372,11320078,2023,1,쌍문1동 경로당,서울특별시 도봉구  우이천로34길  9-14  (쌍문동),82,30,0,0,0,0,N,Y,Y,Y,Y,Y,Y,N,Y,Y,20221201,20230315,1300,1700,,
5748,20175153,56218601,20175153,56218601,11320088,2023,1,우이그린빌라 경로당,서울특별시 도봉구  해등로  337-20,40,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5749,20243474,56155980,20243474,56155980,11320084,2023,1,극동A 경로당,"서울특별시 도봉구  노해로45길  26   (쌍문동, 쌍문극동아파트)",50,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5750,20195167,56170352,20195167,56170352,11320083,2023,1,현대3차A 경로당,"서울특별시 도봉구  우이천로38가길  32   (쌍문동, 현대아파트101,102,103,상가동)",58,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5751,20218846,56122318,20218846,56122318,11320089,2023,1,북한산코오롱하늘채A경로당,서울특별시 도봉구  우이천로  367   (쌍문동),107.01,26,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5752,20132314,56253982,20132314,56253982,11320085,2023,1,호수 경로당,서울특별시 도봉구  삼양로  632   (쌍문동),21,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5753,20236322,56124009,20236322,56124009,11320077,2023,3,쌍문1동 주민센터,서울특별시 도봉구  노해로  147   (쌍문동),1329,150,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5754,20138072,56195964,20138072,56195964,11320079,2023,1,쌍우 경로당,서울특별시 도봉구  우이천로45길  22-4  (쌍문동),145,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5755,20209165,56192186,20209165,56192186,11320090,2023,1,꽃동네경로당,서울특별시 도봉구  시루봉로1길  114-14  (쌍문동),86.02,21,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,2100,900,2100
5756,20349154,56233917,20349154,56233917,11320092,2023,3,쌍문2동 주민센터,서울특별시 도봉구  방학로3길  117   (쌍문동),594.45,150,0,0,0,0,N,Y,Y,Y,N,Y,Y,N,Y,N,20221201,20230315,900,1800,,
5757,20229317,56101408,20229317,56101408,11320091,2023,1,계성경로당,서울특별시 도봉구 우이천로30길 29,46,11,0,0,0,0,N,Y,N,Y,N,Y,Y,N,N,N,20211115,20220315,900,2100,900,2100
5758,20311306,56187737,20311306,56187737,11320096,2023,1,백운 경로당,서울특별시 도봉구  노해로57길  62   (쌍문동),191,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5759,20323961,56244907,20323961,56244907,11320094,2023,5,도봉노인종합복지관,서울특별시 도봉구  도당로2길  12-13  (쌍문동),2757,250,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20221201,20230315,900,2100,,
5760,20246304,56103733,20246304,56103733,11320100,2023,1,쌍문3동 경로당,서울특별시 도봉구 노해로44길 9,99,50,0,0,0,0,N,Y,Y,Y,Y,Y,Y,N,Y,Y,20221201,20230315,1300,1700,,
5761,20270199,56131202,20270199,56131202,11320101,2023,1,효문 경로당,서울특별시 도봉구  노해로42길  60-3  (쌍문동),165,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
