순번,시도본부,소방서,119안전센터명,주소,전화번호
1,서울,종로,세종로119안전센터,서울특별시 종로구 율곡로 78(운니동 114-2),02-6981-5740
2,서울,종로,신교119안전센터,서울특별시 종로구 자하문로 93 (신교동),02-737-8119
3,서울,종로,종로119안전센터,서울특별시 종로구 돈화문로 30 (묘동),02-747-7119
4,서울,종로,연건119안전센터,서울특별시 종로구 대학로 91 (연건동),02-747-8119
5,서울,종로,신영119안전센터,서울특별시 종로구 진흥로 477 (신영동),02-391-0119
6,서울,종로,숭인119안전센터,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921
7,서울,중부,을지로119안전센터,서울특별시 중구 을지로45길 43(신당동),02-2235-0119
8,서울,중부,무학119안전센터,서울특별시 중구 퇴계로 394 (무학동),02-2252-3311
9,서울,중부,충무로119안전센터,서울특별시 중구 충무로 11(충무로3가),02-2265-0119
10,서울,중부,회현119안전센터,서울특별시 중구 소공로 30(회현동2가),02-775-0119
11,서울,중부,신당119안전센터,서울특별시 중구 다산로8길 2(신당동),02-2238-0698
12,서울,광진,구의119안전센터,서울특별시 광진구 광나루로 480 (구의동),02-6981-6768
13,서울,광진,능동119안전센터,서울특별시 광진구 능동로 242 (능동),02-6981-6781
14,서울,광진,중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동),02-6981-6791
15,서울,용산,한강로119안전센터,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1520
16,서울,용산,이태원119안전센터,서울특별시 용산구 이태원로 196 (이태원동),02-6943-1540
17,서울,용산,후암119안전센터,서울특별시 용산구 후암로 34 (후암동),02-6943-1550
18,서울,용산,이촌119안전센터,서울특별시 용산구 이촌로2가길 1 (이촌동),02-6943-1560
19,서울,용산,서빙고119안전센터,서울특별시 용산구 서빙고로67길 7 (서빙고동),02-6943-1570
20,서울,동대문,장안119안전센터,서울특별시 동대문구 장한로 34 (장안동),02-6942-1350
21,서울,동대문,청량리119안전센터,서울특별시 동대문구 왕산로 299 (청량리동),02-6942-1360
22,서울,동대문,전농119안전센터,서울특별시 동대문구 황물로 3 (전농동),02-6942-1365
23,서울,동대문,용두119안전센터,서울특별시 동대문구 왕산로 76 (용두동),02-6942-1370
24,서울,동대문,휘경119안전센터,서울특별시 동대문구 망우로 106 (휘경동),02-6942-1375
25,서울,영등포,영등포119안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7150
26,서울,영등포,여의도119안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119
27,서울,영등포,당산119안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119
28,서울,영등포,대림119안전센터,서울특별시 영등포구 도림로 212 (신길동),02-846-0119
29,서울,영등포,신길119안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),02-841-0119
30,서울,성북,종암119안전센터,서울특별시 성북구 종암로27길 3 (종암동),02-6981-7351
31,서울,성북,돈암119안전센터,서울특별시 성북구 보문로 192 (삼선동4가),02-6981-7361
32,서울,성북,길음119안전센터,서울특별시 성북구 정릉로 321 (길음동),02-6981-7372
33,서울,성북,장위119안전센터,서울특별시 성북구 한천로 640 (장위동),02-6981-7383
34,서울,은평,진관119안전센터,서울특별시 은평구 통일로 962 (진관동),02-6981-6151
35,서울,은평,녹번119안전센터,서울특별시 은평구 은평로 245 (녹번동),02-6981-6171
36,서울,은평,역촌119안전센터,서울특별시 은평구 갈현로 80 (역촌동),02-6981-6181
37,서울,은평,수색119안전센터,서울특별시 은평구 수색로 320 (수색동),02-6981-6191
38,서울,강남,삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7556
39,서울,강남,영동119안전센터,서울특별시 강남구 도산대로 320 (논현동),02-517-5119
40,서울,강남,역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109
41,서울,강남,수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019
42,서울,강남,개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540
43,서울,강남,세곡119안전센터,서울특별시 강남구 밤고개로 268 (율현동),02-451-0882
44,서울,서초,반포119안전센터,서울특별시 서초구 사평대로 67 (반포동),02-534-0119
45,서울,서초,방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동),02-582-0119
