순서,위도,경도,구분,설명,포인트,상세정보,전체코스여부,추천코스여부,데이터기준일자 
1,33.49281899,126.900604,주차장,종달리 사무소 있음,27,,Y,Y,2021.12.22
2,33.49271002,126.900092,표지판,휠체어 올레길 표지가 있고 퐁낭 있음,28,,Y,Y,2021.12.22
3,33.48947997,126.905322,오르막,2~5도 기울기. 건널목 앞까지 이어짐,29,접근성정보(*계단. 길 상태. 경사) 있음,Y,Y,2021.12.22
4,33.48894102,126.905067,건널목,해안로 접해 있고 바다에 하얀새 있음 ,30,,Y,Y,2021.12.22
5,33.485689,126.902038,건조,한치 건조,31,,Y,Y,2021.12.22
6,33.484408,126.901778,카페,투썸플레이스(우측),32,,Y,Y,2021.12.22
7,33.48318399,126.901669,건조,한치 건조,33,,Y,Y,2021.12.22
8,33.48219199,126.901667,스탬프,올레길 스탬프,34,,Y,Y,2021.12.22
9,33.48188102,126.901726,휴게소,목화 휴게소. 횡단보도 있음,35,,Y,Y,2021.12.22
10,33.48046096,126.902983,반환점,접근가능한 정자 있음. 뷰(넙빌레. 우도. 성산일출봉. 지미봉),36,,Y,Y,2021.12.22
