자동차검사소명,자동차검사소유형,소재지도로명주소,소재지지번주소,위도,경도,검사소전화번호,운영시간,검사진로수,부지면적,건물면적,검사기술인력수,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부,관리기관전화번호,관리기관명,데이터기준일자
강남자동차검사소,공공,서울특별시 강남구  헌릉로745길  13 (율현동),서울특별시 강남구 율현동 123-1,37.46850851,127.1186807,02-459-2844,평일 9~18 토요일 9~13,5,4837,967,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2021-09-27
강릉자동차검사소,공공,강원도 강릉시  경강로  1952-10 (홍제동),강원도 강릉시 홍제동 365-6,37.74735582,128.8824207,033-646-5000,평일 9~18 토요일 9~13,1,2975,408,,Y,Y,Y,Y,Y,Y,Y,033-261-1580,강원본부,2021-09-27
거창자동차검사소,공공,경상남도 거창군 거창읍 밤티재로  1301 (거창읍),경상남도 거창군 거창읍 정장리 207-1,35.67152612,127.9306741,055-945-1444,평일 9~18 토요일 9~13,1,3323,472,,Y,Y,Y,Y,Y,N,Y,055-294-2501,경남본부,2021-09-27
경주자동차검사소,공공,경상북도 경주시  산업로  4391 (용강동),경상북도 경주시 용강동 859-3,35.87194126,129.2245804,054-773-0448,평일 9~18 토요일 9~13,1,4537,1253,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2021-09-27
고양자동차검사소,공공,경기도 고양시 일산동구  성석로  141 (성석동),경기도 고양시 일산동구 성석동 827-2,37.68990973,126.7979117,031-977-3939,평일 9~18 토요일 9~13,3,4714,1022,,Y,Y,Y,Y,Y,Y,Y,031-837-7603,경기북부본부,2021-09-27
광주자동차검사소,공공,광주광역시 남구  송암로  96 (송하동),광주광역시 남구 송하동 251-4,35.1136346,126.8750002,062-606-7650,평일 9~18 토요일 9~13,4,8504,2276,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2021-09-27
구로자동차검사소,공공,서울특별시 구로구  경인로  113 (오류동),서울특별시 구로구 오류동 91-1,37.49264817,126.8334218,02-2037-6000,평일 9~18 토요일 9~13,5,4114,1510,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2021-09-27
구미자동차검사소,공공,경상북도 구미시  야은로  722 (원평동),경상북도 구미시 원평동 941,36.1247009,128.3582939,054-456-7514,평일 9~18 토요일 9~13,2,3293,620,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2021-09-27
군산자동차검사소,공공,전라북도 군산시 외항로 292  (소룡동),전라북도 군산시 소룡동 60-2,35.96984844,126.6369344,063-467-3508,평일 9~18 토요일 9~13,1,3306,404,,Y,Y,Y,Y,Y,Y,Y,063-212-4740,전북본부,2021-09-27
김해자동차검사소,공공,경상남도 김해시 주촌면 골든루트로 65-6,경상남도 김해시 주촌면 농소리 633-1,35.21229328,128.8281836,055-333-5205,평일 9~18 토요일 9~13,2,3449,973,,Y,Y,Y,Y,Y,Y,Y,055-294-2501,경남본부,2021-09-27
남양주자동차검사소,공공,경기도 남양주시 진건읍 독정로273번길 31-19,경기도 남양주시 진건읍 송능리 60-7,37.6769141,127.1962784,031-575-1472,평일 9~18 토요일 9~13,3,2625,861,,Y,Y,Y,Y,Y,Y,Y,031-837-7603,경기북부본부,2021-09-27
남원자동차검사소,공공,전라북도 남원시  충정로  265-15 (월락동),전라북도 남원시 월락동 530,35.42581768,127.3964368,063-625-2803,평일 9~18 토요일 9~13,1,3208,458,,Y,Y,Y,Y,Y,N,Y,063-212-4740,전북본부,2021-09-27
노원자동차검사소,공공,서울특별시 노원구  공릉로62길  41 (하계동),서울특별시 노원구 하계동 252,37.6374723,127.071625,02-972-4121,평일 9~18 토요일 9~13,6,9456,1847,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2021-09-27
달서자동차검사소,공공,대구광역시 달서구  월배로5길  10 (유천동),대구광역시 달서구 유천동 360-6,35.81281691,128.5170497,053-587-8181,평일 9~18 토요일 9~13,2,2790,419,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2021-09-27
대전자동차검사소,공공,대전광역시 서구 변동로 44  (변동),대전광역시 서구 변동 51-1,36.32484117,127.3779096,042-523-5095,평일 9~18 토요일 9~13,3,5671,1097,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2021-09-27
동탄자동차검사소,공공,경기도 화성시 동탄기흥로 642-4 (영천동),경기도 화성시 영천동 120-5,37.217278,127.095392,031-378-8731,평일 9~18 토요일 9~13,2,5612,1619,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2021-09-27
동해자동차검사소,공공,강원도 동해시  강원남부로  4772 (단봉동),강원도 동해시 단봉동 271-7,37.47503636,129.1195303,033-521-6303,평일 9~18 토요일 9~13,1,4704,459,,Y,Y,Y,Y,Y,N,Y,033-261-1580,강원본부,2021-09-27
목포자동차검사소,공공,전라남도 목포시 옥암로 153  (상동),전라남도 목포시 상동 713-22,34.8119407,126.422788,061-283-5004,평일 9~18 토요일 9~13,2,3596,774,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2021-09-27
문경자동차검사소,공공,경상북도 문경시  영신로  81 (점촌동),경상북도 문경시 점촌동 17-1,36.5933976,128.2086838,054-552-2820,평일 9~18 토요일 9~13,1,2259,322,,Y,Y,Y,Y,Y,N,Y,053-794-3812,대구경북본부,2021-09-27
부천자동차검사소,공공,경기도 부천시 오정구  오정로  42 (삼정동),경기도 부천시 삼정동 29-4,37.52459327,126.765054,032-674-5000,평일 9~18 토요일 9~13,4,6817,1555,,Y,Y,Y,Y,Y,Y,Y,032-833-5000,인천본부,2021-09-27
