연도,사업분류,지원액_원화,지원액_달러
1991,최빈국(LDCs),"4,030,339,952","5,297,503"
1991,기타저소득국(LICs),"2,666,903,752","3,505,394"
1991,중저소득국(LMICs),"3,529,095,145","4,638,664"
1991,고중소득국(UMICs),"1,207,466,140","1,587,101"
1991,미분류,"5,544,585,229","7,287,836"
1991,수원국리스트외 지역,"398,058,782","523,211"
1992,최빈국(LDCs),"4,671,429,294","5,925,202"
1992,기타저소득국(LICs),"2,315,660,509","2,937,165"
1992,중저소득국(LMICs),"5,030,125,257","6,380,169"
1992,고중소득국(UMICs),"1,240,191,499","1,573,049"
1992,미분류,"9,324,991,000","11,827,741"
1992,수원국리스트외 지역,"585,910,441","743,164"
1993,최빈국(LDCs),"5,016,571,751","6,207,860"
1993,기타저소득국(LICs),"3,070,514,988","3,799,672"
1993,중저소득국(LMICs),"6,725,899,378","8,323,103"
1993,고중소득국(UMICs),"841,252,863","1,041,026"
1993,미분류,"8,304,801,687","10,276,948"
1993,수원국리스트외 지역,"646,141,333","799,581"
1994,최빈국(LDCs),"5,873,740,509","7,309,102"
1994,기타저소득국(LICs),"4,605,622,764","5,731,096"
1994,중저소득국(LMICs),"8,798,674,247","10,948,799"
1994,고중소득국(UMICs),"992,682,089","1,235,263"
1994,미분류,"9,485,417,168","11,803,361"
1994,수원국리스트외 지역,"1,018,247,148","1,267,075"
1995,최빈국(LDCs),"6,961,826,994","9,028,553"
1995,기타저소득국(LICs),"5,378,625,340","6,975,354"
1995,중저소득국(LMICs),"11,560,514,975","14,992,433"
1995,고중소득국(UMICs),"987,752,380","1,280,982"
1995,미분류,"11,587,532,735","15,027,471"
1995,수원국리스트외 지역,"1,482,866,847","1,923,079"
1996,최빈국(LDCs),"7,491,141,714","9,308,310"
1996,기타저소득국(LICs),"6,629,632,097","8,237,819"
1996,중저소득국(LMICs),"14,575,577,653","18,111,257"
1996,고중소득국(UMICs),"1,430,916,838","1,778,022"
1996,미분류,"12,142,529,412","15,088,011"
1996,수원국리스트외 지역,"980,107,882","1,217,858"
1997,최빈국(LDCs),"8,684,705,384","9,131,126"
1997,기타저소득국(LICs),"7,731,646,675","8,129,077"
1997,중저소득국(LMICs),"20,346,401,989","21,392,270"
1997,고중소득국(UMICs),"2,175,605,323","2,287,438"
1997,미분류,"12,719,089,310","13,372,890"
1997,수원국리스트외 지역,"1,103,354,570","1,160,070"
1998,최빈국(LDCs),"7,110,223,780","5,082,798"
1998,기타저소득국(LICs),"9,043,651,709","6,464,923"
1998,중저소득국(LMICs),"21,006,221,748","15,016,458"
1998,고중소득국(UMICs),"2,049,382,554","1,465,017"
1998,미분류,"13,186,386,278","9,426,388"
1998,수원국리스트외 지역,"1,379,659,569","986,260"
1999,최빈국(LDCs),"4,926,281,610","4,141,542"
1999,기타저소득국(LICs),"10,752,312,860","9,039,507"
1999,중저소득국(LMICs),"16,918,552,048","14,223,487"
1999,고중소득국(UMICs),"1,529,286,583","1,285,677"
1999,미분류,"10,313,982,558","8,671,001"
1999,수원국리스트외 지역,"676,006,458","568,321"
2000,최빈국(LDCs),"6,486,784,143","5,737,471"
2000,기타저소득국(LICs),"9,755,723,555","8,628,803"
2000,중저소득국(LMICs),"20,729,460,620","18,334,921"
2000,고중소득국(UMICs),"3,628,224,670","3,209,115"
2000,미분류,"9,979,692,763","8,826,900"
2000,수원국리스트외 지역,"695,821,823","615,445"
2001,최빈국(LDCs),"9,226,128,244","7,147,439"
2001,기타저소득국(LICs),"19,700,737,308","15,262,070"
2001,중저소득국(LMICs),"18,208,687,888","14,106,186"
2001,고중소득국(UMICs),"2,493,139,146","1,931,423"
2001,미분류,"19,372,763,058","15,007,989"
2001,수원국리스트외 지역,"716,834,300","555,328"
2002,최빈국(LDCs),"22,204,125,747","17,745,697"
2002,기타저소득국(LICs),"11,520,673,424","9,207,405"
2002,중저소득국(LMICs),"23,566,769,170","18,834,730"
2002,고중소득국(UMICs),"6,346,388,598","5,072,079"
2002,미분류,"11,985,606,144","9,578,983"
