보고연도,보고국가,원조기관,사업구분,수원국코드,사업실시기관,채널코드,양자_다자,자금구분코드,자금형태코드,원조유형,사업명,사업분야,지역명,사업설명,지속가능개발목표(SDGs),성평등,환경지원,참여형개발_지배구조개선_민주화_인권,무역개발,재난위험경감,장애인권리,영양,모자보건,생물다양성,기후변화완화,기후변화적응,사막화,기술협력,프로그램원조,프로젝트원조코드,혼합신용,통화,약정액,지출액,증여등가액,회수액,비구속성금액,부분구속성금액,구속성금액,투자관련기술협력금액,프로젝트원조 전문가 파견 비용(약정액),프로젝트원조 전문가 파견 비용(지출액),수출신용금액,레버리징 메카니즘,민간재원 동원금액,동원된 자금출처,상환방식,연간상환횟수,이자율,제2이자율,최초상환일,최종상환일,이자수취액,차관잔액,연체원금,연체이자,차년도상환원금,차년도지불이자,자료제출기관
2019,742,4,1,272,World Trade Organisation - International Trade Centre,45001,1,10,110,C01,SheTrades West Africa : Improving Women`s Livelihoods through Inclusive Value Chains,31193:100,SOUTH OF SAHARA,"1. Awareness and capacity of policy makers to support women`s economic empowerment developed 2.Capacity of service providers and business support institutions to serve women farmers and SMEs developed 3.Competitiveness of SME value chain intermediaries developed 4.Market linkages between traders and processors and domestic, regional and international buyers created 5. Capacity of women farmers in production, quality and business management increased",10.0; 8.0,2,0,0,2,0,,,0,0,0,0,0,,,1,,302,1385,448,0,0,1385,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
2019,742,4,1,854,United Nations Development Programme,41114,1,10,110,C01,PACIFIC RISK RESILIENCE PROGRAMME (PRRP) II,41010:100,MELANESIA,Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,10.0; 13.0,2,2,0,0,0,,,0,0,0,2,0,,,1,,302,1500,193,0,0,1500,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
2019,742,4,1,872,United Nations Development Programme,41114,1,10,110,C01,PACIFIC RISK RESILIENCE PROGRAMME (PRRP) II,41010:100,POLYNESIA,Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,10.0; 13.0,2,2,0,0,0,,,0,0,0,2,0,,,1,,302,1500,193,0,0,1500,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
2019,742,4,1,866,United Nations Development Programme,41114,1,10,110,C01,PACIFIC RISK RESILIENCE PROGRAMME (PRRP) II,41010:100,MELANESIA,Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,10.0; 13.0,2,2,0,0,0,,,0,0,0,2,0,,,1,,302,1500,193,0,0,1500,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
2019,742,4,1,859,United Nations Development Programme,41114,1,10,110,C01,PACIFIC RISK RESILIENCE PROGRAMME (PRRP) II,41010:100,MICRONESIA,Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,10.0; 13.0,2,2,0,0,0,,,0,0,0,2,0,,,1,,302,1500,193,0,0,1500,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
2019,742,4,1,836,United Nations Development Programme,41114,1,10,110,C01,PACIFIC RISK RESILIENCE PROGRAMME (PRRP) II,41010:100,MICRONESIA,Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,10.0; 13.0,2,2,0,0,0,,,0,0,0,2,0,,,1,,302,1500,193,0,0,1500,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
2019,742,4,1,139,United Nations Development Programme,41114,1,10,110,C01,Anti-Corruption and Integrity in Arab Countries (ACIAC),15113:100,NORTH OF SAHARA,Enhancement of region-wide compliance with the UN Convention against Corruption. Reinforcement of the effectiveness of the public administration. Development of region-wide collective action capacity to achieve Sustainable Development Goal 16.,11.0; 9.0,0,0,2,0,0,,,2,0,0,0,0,,,1,,302,1334,287,0,0,1334,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
2019,742,4,1,550,United Nations Development Programme,41114,1,10,110,C01,Anti-Corruption and Integrity in Arab Countries (ACIAC),15113:100,MIDDLE EAST ASIA,Enhancement of region-wide compliance with the UN Convention against Corruption. Reinforcement of the effectiveness of the public administration. Development of region-wide collective action capacity to achieve Sustainable Development Goal 16.,11.0; 9.0,0,0,2,0,0,,,2,0,0,0,0,,,1,,302,1334,287,0,0,1334,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
2019,742,4,1,136,United Nations Development Programme,41114,1,10,110,C01,Anti-Corruption and Integrity in Arab Countries (ACIAC),15113:100,NORTH OF SAHARA,Enhancement of region-wide compliance with the UN Convention against Corruption. Reinforcement of the effectiveness of the public administration. Development of region-wide collective action capacity to achieve Sustainable Development Goal 16.,11.0; 9.0,0,0,2,0,0,,,2,0,0,0,0,,,1,,302,1334,287,0,0,1334,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
2019,742,4,1,555,United Nations Development Programme,41114,1,10,110,C01,Anti-Corruption and Integrity in Arab Countries (ACIAC),15113:100,MIDDLE EAST ASIA,Enhancement of region-wide compliance with the UN Convention against Corruption. Reinforcement of the effectiveness of the public administration. Development of region-wide collective action capacity to achieve Sustainable Development Goal 16.,11.0; 9.0,0,0,2,0,0,,,2,0,0,0,0,,,1,,302,1334,287,0,0,1334,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
2019,742,4,1,549,United Nations Development Programme,41114,1,10,110,C01,Anti-Corruption and Integrity in Arab Countries (ACIAC),15113:100,MIDDLE EAST ASIA,Enhancement of region-wide compliance with the UN Convention against Corruption. Reinforcement of the effectiveness of the public administration. Development of region-wide collective action capacity to achieve Sustainable Development Goal 16.,11.0; 9.0,0,0,2,0,0,,,2,0,0,0,0,,,1,,302,1334,287,0,0,1334,0,0,0,,,0,0,0,0,,,0,,,,0,0,0,0,0,0,한국국제협력단(KOICA)
