국가명,지역,사무소,구분,분야,제목,본문1,본문2,본문3,제목_현지공용어,본문1_현지공용어,본문2_현지공용어,본문3_현지공용어,출처,링크,날짜
가나,서아프리카,가나,수원국,거버넌스평화,"정보부 장관, 언론자유지수에 대한 국경없는기자회 보고서 환영 및 관련 조치 이행 예정","가나 정부는 가나의 언론자유지수에 관한 국경없는기자회(the Reporters Without Borders, RSF)의 정정 조치를 환영한다고 코조 오퐁 은크루마 정보부 장관이 발표함. 은크루마 정보부 장관에 따르면, 국경없는기자회의 보고서는 기준치 참고 문서로 향후 가나의 언론자유지수를 측정하는 데 사용할 수 있을 것으로 보임. 지난 수요일에 열린 성명에서 은크루마 장관은 보고서 출간 담당자가 2021년과 2022년 보고서를 방법론의 차이를 고려하여 신중한 비교를 통해 각 보고서를 해석할 것을 요청했다고 알리며, 가나 정부는 해당 지수를 향상하기 위한 여러 조치를 고려하고 있다고 강조함.","은크루마 정보부 장관은 보고서 내 가나 언론자유의 긍정적인 부분을 가리키며, “가나는 새로운 방법론의 5개 측정변수 중 3개 분야인 정치적 맥락, 법적 제도 및 사회적 맥락에서 각 66%, 81%, 79%라는 높은 수치를 보이고 있다”며, “전반적으로 언론자유지수가 하락했음에도 이러한 성과를 이룩할 수 있었던 것은 정보공개법, 언론인 안전에 관한 조정 메커니즘, 언론 역량 강화 프로그램 통과 이니셔티브 영향이 크다”고 언급함.",보고서가 지적한 부정적인 부분에 대해서 오포아네 아이레비 국회의원은 “가나 내 언론인 자유 지수는 향상될 필요성이 있다”고 인정함. 추가로 “가나의 경제적 맥락은 매우 열악하다”고 언급함. 프랑스 기반의 NGO 단체인 국경없는기자회는 지난 수요일 가나의 언론자유지수를 자세히 기술한 보고서를 발간함. 해당 보고서에 따르면 가나의 언론자유지수는 작년에 비해 30위 하락함.,Government welcomes RSF report on press freedom; measures to be taken – Kojo Oppong Nkrumah,"Minister for Information, Kojo Oppong Nkrumah has stated that, government has welcomed the report by the Reporters Without Borders (RSF), on Ghana’s press freedom, with measures to rectify the anomalies. According to him, the report by RSF is a baseline reference document, which may be used to gauge Ghana’s press freedom in the future. In a statement on Wednesday, the sector Minister stressed that even though the publishers called for circumspection in comparing the 2022 report to that of 2021, due to the differences in methodology, government will still consider a raft of measures to improve the country’s rating.","Touching on the positive highlights of the report, Kojo Oppong Nkrumah, noted Ghana’s areas of strides, stating that, “Ghana performed creditably well in three (3) of the five (5) parameters under the new methodology, namely, Political Context, Legal Framework and Social Context. Ghana scored 66%, 81% and 79% in that order. It is worthy of note that this rather significant performance amidst a general downgrade is largely due to initiatives such as the passage of the Right to Information Act, the Coordinated Mechanism on Safety of Journalists and the Media Capacity Enhancement Programme”.","On the lows of the report, the Ofoase Ayirebi MP acknowledged that, “Ghana’s performance on the safety of journalists leaves room for improvement”. Adding that, “Ghana’s performance on Economic Context is very poor and must equally reserved”. The Reporters Without Borders (RSF), a France-base NGO on Wednesday, published a report, detailing Ghana’s performance in terms of press freedom. According to them, Ghana has dropped 30 places in the latest press freedom index put together by Reporters Without Borders for 2022.",myjoyonline,https://www.myjoyonline.com/government-welcomes-rsf-report-on-press-freedom-measures-to-be-taken-kojo-oppong-nkrumah/,2022-05-05
가나,서아프리카,가나,수원국,기타,국영기업 실적 순위 알리는 실적일람표(리그테이블) 출시,"공공기업부가 국영기업 간의 선의의 경쟁을 부추기기 위하여 각 공기업의 실적을 순위로 매겨 실적일람표로 발표함. 실적일람표는 일종의 실적 관리 도구로, 국영기업의 효율성, 생산성 및 이익을 강화할 예정임. 국영기업 분야에서 최초로 실행된 이니셔티브를 통해 최상의 실적을 낼 수 있도록 실적이 좋은 국영기업은 칭찬하고, 그렇지 않은 기업은 이익을 창출할 수 있도록 격려하는 것이 목적임.","국영기업 실적일람표(Public Enterprises League Table, PELT)는 공공기업부, 재무부 및 국익행정청(State Interest and Governance Authority, SIGA) 간의 협업으로 개발됨. 순위는 국영기업이 국익행정청과 체결한 계약을 얼마나 잘 수행했는지에 따라 결정됨.","해당 실적 일람표는 공공기업의 계약 관련 실적 향상뿐만 아니라 혁신 및 고정성 자산에 대한 투자를 통해 지속적으로 국가 수입을 생성하고, 이익을 달성할 수 있는지 등 재정 및 경제적 효과 내 4가지 분야 목표 달성을 목적으로 함.",League table to rank SOEs performance launched ,"The Ministry of Public Enterprises has launched a league table to rank the performance of state-owned enterprises (SOEs) to engender competition among them. The performance management tool is to enhance efficiency, productivity and the profitability of these public entities. The initiative, the first of its kind in the public enterprises' space, is meant to honour state companies that are doing well for them to become the best and encourage non-performing ones to be better and return to profitability. ","Dubbed the Public Enterprises League Table (PELT), it is a collaboration between the Ministries of Public Enterprises and Finance and the State Interest and Governance Authority (SIGA). The ranking will be based on how the public enterprises have performed in relation to the contract they signed with SIGA. ","It will be on the attainment of the targets as contained in the performance contract and the four areas outlined, as the basis for the ranking are financial and economic considerations to dynamic effects that have to do with innovations and investing in fix assets or maintaining them so that in the future the same assets will generate revenue and record profit for the state.",Daily Graphic ,https://www.graphic.com.gh/news/general-news/league-table-to-rank-soes-performance-launched.html,2022-05-05
가나,서아프리카,가나,수원국,보건,"란셋 온콜로지 보고서, 사하라 이남 아프리카 지역 암질환 위협 직면","사하라 이남 아프리카 지역 내 국가에서 암과 관련된 필요조치가 취해지지 않는다면 2030년까지 매년 암으로 사망하는 사람이 2배로 늘어날 것으로 예상됨. 란셋 온콜로지 보고서에 의하면 암으로 인한 사망자의 수는 2020년 520,348명부터 2030년 1백만 명까지 증가할 예정임.","추가로 신규 암 환자수는 같은 기간동안 매해 800,000명에서 1,500,000명으로 늘어날 가능성이 다분함. 레베카 아쿠포-아도 영부인이 발표한 보고서는 각국이 국가차원의 암질환 관리를 위한 대책을 강구하고, 암질환 치료 예산을 지속적으로 제공할 것을 강권함. 각 국가가 수립할 관련 정책은 아동기 암질환 계획을 수립하고, HIV 및 영양부족과 같은 동반질환을 관리하며, 의약품을 안정적으로 예측가능하게 공급하고자 할 뿐만 아니라, 심리사회적으로 도움이 되는 임시방편식 치료를 제공하는 등의 내용으로 구성됨.","“사하라 이남 아프리카 지역의 암질환: 란셋 온콜로지 위원회” 표제의 보고서는 암등록체계를 개발하고 주요 암질환 검사를 위한 암질환 진단에 더 많이 투자할 것을 요구함. 해당보고서는 54명의 위원이 한 팀으로 구성하여 지난 3년 간 작성했으며, 그중 50%는 지역 기반 위원임. 보고서 발표회에서 콰쿠 아게만-마누 보건부 장관은 보고서가 권고한 조치를 이행한다면 2030년까지 비전염성 질병으로 인한 사망률을 1/3로 줄이는 것을 목표로 하는 지속가능개발목표의 달성에 기여할 수 있다고 말함.",Sub-Saharan Africa faces cancer threat - Lancet Oncology report,"The annual number of cancer deaths could double by 2030 in sub-Saharan Africa if the necessary interventions are not activated by the various countries on the continent. According to a Lancet Oncology (clinical oncology journal) report, cancer deaths could increase from 520,348 in 2020 to a million in 2030.","Moreover, it said, the annual number of new cancer cases could increase from 800,000 to 1.5 million over the same period. The report, launched by the First Lady, Rebecca Akufo-Addo, in Accra yesterday, called for the development of national cancer control plans in each country and the provision of sustainable financing to deal with the disease.The plans for each country, it said, should include childhood cancer plans, managing co-morbidities such as HIV and malnutrition, a reliable and predictable supply of medication, and the provision of psychosocial, supportive and palliative care.","The report, dubbed: “Cancer in sub-Saharan Africa: a Lancet Oncology Commission”, called for more substantial investment in developing cancer registries and cancer diagnostics for core cancer tests. The report, done in a three-year period, was developed by a team of 54 commissioners, 50 per cent of whom were locally based. At the event, the Minister of Health, Kwaku Agyeman-Manu, expressed the belief that the implementation of the recommended actions in the report was crucial to achieving political commitments in the Sustainable Development Goals (SDGs) of the United Nations to reduce premature mortality for non-communicable (NCDs) diseases by a third by 2030",Graphic Online ,https://www.graphic.com.gh/news/general-news/sub-saharan-africa-faces-cancer-threat-lancet-oncology-report.html,2022-05-11
가나,서아프리카,가나,수원국,교통,"가나 대통령, 중부 주 및 서부 주 사이에 신공항 유치","나나 아도 단콰 아쿠포-아도 가나 대통령은 전략적으로 위치를 고려하여 중부 주와 서부 주 사이에 신공항을 유치할 계획이라고 밝힘. 아쿠포-아도 대통령은 아직 위원회가 두 주 내 공항 부지를 선정하기 위한 평가 보고서를 제출하지는 않았으나, 전략적으로 두 지역의 중간 지점에 공항이 신설될 것으로 안내 받았음을 말함. 또한 오구아 전통 의회의 족장 및 지역사회 지도자들이 지난 5월 11일 대통령궁에서 대통령과 대담을 가졌다는 사실을 언급함.","오구아 지역의 오마헤네(전통 지역사회의 최고 지도자)인 오사바림바 케시 아타 2세는 전통 지역사회의 족장 및 주민들을 대표하여 정부가 오구아 지역에서 개발 사업을 진행하고, 독립기념일 및 농민의 날을 경축하는 행사를 주최했다는 점에서 감사한 마음을 표함. “가나 정부의 수고로움에 대한 감사를 전하기 위해 직접 이 자리에 와야만 했으며, 앞으로도 지역사회를 위해 더 많이 노력해줄 것을 요청한다”고 덧붙임. 또한, 신공항 건설 및 필립 콰케 남자 중.고등학교 재건에 관해 다시 한 번 강조함.","오사바림바 케시 아타는 이번을 계기로 올해 9월 3일에 진행될 페투 아파헤 경축식에 대통령을 초대함. 오구아 오마헤네를 대신하여 유스티나 마리골드 아싼 중부 주 주지사는 오구아 지역사회는 해당 지역 주민에게 큰 이익이 되었던 다양한 개발 사업 및 사회적 개입에 감사하고 있다고 말함. 또한 아싼 주지사는 정부의 주요 개입 활동이 중부 주 내 더 많은 마을로 전력 및 수도를 연장한 것과 코멘다 설탕공장 재건 및 재개를 꼽으며, 중부 주 주민의 사회경제에 영향을 끼쳤다고 말함.","Airport for Central, Western regions - Akufo-Addo drops hint","President Nana Addo Dankwa Akufo-Addo has hinted that a single airport will be constructed at a strategic location to serve both the Central and Western regions. He said although the committee assigned to assess the siting of the airport for the two regions had not officially submitted its work, he had been informed that it would be situated strategically in the middle of the two regions. President Akufo-Addo gave the hint when the chiefs and elders of the Oguaa Traditional Council paid a courtesy call on him at the Jubilee House in Accra on May 11, 2022.","The Omanhen of Oguaa, Osabarimba Kwesi Atta II, expressed the gratitude of the chiefs and people of the traditional area to the government for the developmental projects and the celebration of national ceremonies such as the Independence Day and Farmers Day in the area. “We can’t sit at home without coming here to express our gratitude to your government for the honour done us, and with this, we are asking for more of such honours,” he added. He reiterated the request of the people for the construction of an airport for the region and the rehabilitation of the Philip Quaque Boys School.","Osabarimba Kwesi Atta also used the opportunity to invite the President to this year’s Fetu Afahye which will be celebrated on Saturday, September 3, 2022. The Central Regional Minister, Justina Marigold Assan, speaking on behalf of the Oguaamanhen, said they were very appreciative of the numerous developmental projects and social interventions that had benefited the people of the region. She mentioned the extension of electricity and water to many communities in the region and the resumption of rehabilitation works on the Komenda Sugar Factory as important government interventions that would impact the social and economic lives of the people of the region.",Graphic Online ,Airport for central  Western regions Akufo-Addo drops,2022-05-12
가나,서아프리카,가나,수원국,에너지,"전력업계, 전력요금 인상 희망","전력회사 4곳은 지난 3년간의 물가 상승 및 외환가치 하락에 따른 채무 제약을 빌미로 전력요금 인상을 강하게 요구함. 볼타강 관리청(Volta River Authority, VRA), 가나 전력회사(Ghana Grid Compnay, GRIDCo), 가나 전력공사(Electricity Company of Ghana, ECG) 및 가나북부 전력공사(Northern Electricity Company, NEDCo)은 지난 3년동안의 경제침체로 인해 전력 요금을 올리지 못했던 것을 고려하여 금번에는 인상해야 함을 강력하게 요청함.","ECG는 148% 인상을, GRIDCo는 48%, VRA는 37% 인상을 제안함. 반면, 가나 정부가 10억 세디상당의 채무가 있다는 입장을 지닌 NEDCo는 113% 인상을 요청하며, 가나 수자원공사(Ghana Water Company) 또한 지출액을 충당하고, 가나 전역에 위치한 변속기 펌프의 재건 및 시설 개선이 필요하다는 점을 근거로 334% 인상을 주장함.","가나 석유공사(Ghana National Petroleum Corporation, GNPC) 및 가나 가스공사(Ghana Gas Company)는 전력 생산자의 가스 수송비에 있어서 조정이 필요하다고 말함. 어제자 공공시설규제위원회가 마련한 이해관계자 대담에서 각 참가자들은 각 요금 인상분은 사업의 개선 및 확장을 위한 투자로 이어질 것이라며 동일한 입장을 고수함. 그러나 대담에 참석한 시민사회, 학계 및 언론계 종사자는 제공된 전력이 효율성 벤치마크 백분율 기준치를 충족하지 못한다는 사실을 강조하며 회의적인 입장을 드러냄.",Utility companies want increased tariffs,"Four power utility companies are demanding huge increases in power tariffs due to what they say are debt constraints occasioned by micro economic indicators such as rising inflation and declining foreign exchange rates over a three-year period which has significantly affected their operations.   The operators, namely the Volta River Authority (VRA), Ghana Grid Company (GRIDCo), Electricity Company of Ghana (ECG) and the Northern Electricity Company (NEDCo) believe the demand increases being made followed the three years of accumulation of failed increases which has seen tariffs approved over the period eroding considerably.","While the ECG is proposing a 148 per cent increase, GRIDCo wishes to have a 48 per cent increase, with VRA also proposing 37 per cent. NEDCo on the other hand, which claimed government owed it in excess of GH¢1billion, is also making a demand of 113 per cent, with Ghana Water Company also making justifications for some 334 per cent increase as a result of what the Managing Director said was some $4.7 billion needed for rehabilitation and capacity enhancement of transmission pumps across several communities in the country as well as recurring expenditure.","The Ghana National Petroleum Corporation (GNPC) and the Ghana Gas Company also made strong arguments on the need for an adjustment in tariffs for the transportation of gas to the power producers.The players at a stakeholder consultative meeting, organised by the Public Utilities Regulatory Commission (PURC) in Accra yesterday, maintained that the percentages being demanded would allow for investments to be made into the improvement and expansion of projects.Members of Civil Society Organisations (CSOs), academia and the media who attended the forum, however, expressed reservations about the demands, stressing that the utilities were not meeting the efficiency benchmark to warrant the percentages being demanded.",Ghanaian Times ,https://www.graphic.com.gh/news/general-news/ghana-news-utility-companies-want-increased-tariffs.html,2022-05-12
가나,서아프리카,가나,공여국,보건,"일본, 보건 분야에 2천만 달러 상당 무상원조 제공","일본 정부는 가나 북부 주 내 의료 서비스 전달 향상을 위해 2천만 달러의 무상원조를 제공함. “북부 주 내 의료 서비스 전달 향상을 위한 사업”을 통해 타말레 중앙 병원의 시설을 개선하고, 의료장비를 조달하며, 북부 주 주보건청 의료기기전담과 내 의료장비를 제공할 예정임. 또한, 해당 사업은 북부 주 내 사벨루구, 빔빌라, 크판다이 총 3곳의 군립병원 역량 강화에 힘쓸 계획임.","지난 5월 11일, 가나 및 일본 정부는 동 사업의 약정서에 서명을 완료함. 콰쿠 암프라툼 사르퐁 외교부 차관이 가나 정부를 대표하여, 히사노부 모치즈키 주가나일본대사가 일본 정부를 대표하여 약정 체결을 진행함. 금번 약정식에 마하마 아세이 세이니 보건부 차관, 외교부 공직자, 카츠무라 아키히사 주가나일본대사관 일등서기관, 아라키 야스미치 일본국제협력기구(JICA) 가나 사무소장이 참석함.","사르퐁 외교부 차관은 일본 정부에 가나의 사회경제적 개발에 대한 지속적인 지원에 감사한 마음을 표했으며, 금번 사업이 수혜 지역의 보건 시스템 향상에 기여할 것이라고 말함. 또한, “널리 알려져있듯, 북부 주는 보건 분야 내 막대한 문제점을 지니고 있고, 특히 코로나19 위기 때 문제점이 부각되었다”며, “일본 정부에 이번 기금이 본래 목적에 부합하여 사용될 것이라고 확언드리고 싶다”고 덧붙임.",Japan supports health sector with $20m grant,"Japan has offered a grant of $20 million to Ghana for the improvement of healthcare delivery in the Northern Region. Dubbed “Project for the improvement of healthcare system in Northern Region”, it will involve facility development and procurement of equipment for the Tamale Central Hospital and the provision of equipment for the biomedical engineering department of the Northern Regional Health Directorate. It will also improve the capacity of three district hospitals in the region. They are the Savelugu Municipal Hospital and the Bimbilla and Kpandai District hospitals.","The agreement to that effect was signed between Ghana and Japan in Accra on May 11, 2022. The Deputy Minister of Foreign Affairs and Regional Integration (MOFARI), Kwaku Ampratwum Sarpong, signed for the country, while the Japanese Ambassador to Ghana, Hisanobu Mochizuki, initialled for the Government of Japan. Present at the ceremony were Deputy Minister of Health, Mahama Asei Seini, officials of MOFARI, the First Secretary for Development Cooperation at the Japan Embassy, Katsumura Akihisa, and the JICA Country Representative, Araki Yasumichi.","Mr Sarpong expressed appreciation to the government and people of Japan for the intervention and their continuous support to the country’s socio-economic development and said the project would help improve the health system in the beneficiary region. “The region, as we are aware, faces enormous challenges in the health sector, especially during the COVID-19 crisis. I wish to assure the government and people of Japan that this grant will be used for the intended purpose,” he added.",Graphic Online ,https://www.graphic.com.gh/news/general-news/japan-supports-health-sector-with-20m-grant.html,2022-05-12
가나,서아프리카,가나,수원국,기타,"가나, 제13차 세계무역진흥기구회의 개최","가나는 5월 17일부터 18일, 아크라에서 양일간 진행되는 제13차 세계무역진흥기구회의를 주최함. “회복탄력성 및 회복을 위한 대담한 방안”을 주제로 한 이번 회의는 가나수출진흥청(Ghana Export Promotion Authority, GEPA)과 국제무역센터(International Trade Centre, ITC)가 공동주최했으며, 무역진흥기구 57개 회원국이 참석할 예정임.","UN의 지속가능개발목표를 바탕으로, 이번 회의에서는 무역 및 투자 관련 기구가 지역사회와 환경을 보호함과 동시에 어떤 방식으로 사업 생존 및 경쟁력을 다루고, 무역 주도의 성장을 지원할 수 있을지 다룰 예정임. 파멜라 코크 해밀턴 국제무역센터 사무국장은 무역진흥기구가 코로나19 팬데믹의 악영향에서 회복했으므로 경제 상황에 대한 지원을 늘릴 시기가 왔다고 언급함.","해밀턴 사무국장은 “현재 대부분 지역이 물가 상승, 높은 유류비라는 상황에 처해있다”며, “공급사슬에 부패가 존재하며, 이는 정신적으로도 큰 장애물이 된다”고 말함. “기후위기, 이주로 인한 잠재적인 문제점과 전세계적인 여타 위기를 일상생활에서 체감”하고 있으나, “국가의 경제적 성공에 있어서 무역진흥기구들이 큰 역할을 했다”고 덧붙임.",Ghana to host 13th World Trade Promotion Organisation Conference,"Ghana will from May 17 to 18 host the 13th edition of the World Trade Promotion Organisation Conference (WTPO) in Accra. The conference will be held on the theme: “Bold Solutions for Resilience and Recovery.” The event, to be jointly organised by the Ghana Export Promotion Authority (GEPA) and the International Trade Centre (ITC), will be attended by all 57 Trade Promotion Organisations (TPOs) member countries.","With the United Nations Sustainable Development Goals as a guide, the event will outline and celebrate how trade and investment organisations address business survival and competitiveness, and support trade-led growth, while serving their communities and protecting the planet. Mrs. Pamela Coke Hamilton, Executive Director of the International Trade Centre (ITC), noted that the time had come for TPOs to increase their efforts in supporting businesses as they recovered from the negative impact of the COVID-19 pandemic.","She said: “We are in a situation with rise in inflation, fuel cost is high. There are disruptions in the supply chain, and there is a huge mental block in terms of what constitutes themselves and where to go.”She added that: “Every day, we see the impact of climate change and what that it’s going to be for migration and other crises around the world,” noting that “TPOs played important role in the economic success of nations.”",myjoyonline,https://www.myjoyonline.com/ghana-to-host-13th-world-trade-promotion-organisation-conference/,2022-05-15
가나,서아프리카,가나,수원국,거버넌스평화,"국가안보부, 종교행사 시 보안 강화 필요 경고","국가안보부는 서아프리카 내 테러의 위협이 고조됨에 따라 가나 내 종교단체에 공공장소에서 종교행사 진행 시 보안을 강화할 것을 경고함. 국가안보부는 우선적으로 CCTV를 설치하고, 승인 받은 사설 보안 경비원을 고용할 것을 권고함. 종교 단체에게 전달된 이번 경고는 지난 5월 12일자에 공식 문서를 통해 발효됐으며, 국가안보조정관인 프란시스 아두-아맘포 소장이 문서에 서명함.","수신대상자는 가나 무슬림 수장, 가나 기독교연합회 회장, 가나 천주교중앙협의회 회장임. 해당 문서에 따르면 “지방에서 테러 위협이 고조되고 있을 뿐만 아니라, 테러리스트 집단은 종교행사를 포함한 공공장소 내 모임을 새로운 테러 대상으로 삼아 그 영역을 서아프리카 해안 국가로 팽창하고 있다는 점을 고려하면, 모든 이해관계자가 위험을 자각하여 적절한 조치를 취해야 하는 것이 긴요”함.","국가안보부 장관은 여러 국가 안보기관과 협력하여 가나 내 테러리스트 공격을 방지하고자 여러 조치를 도입하고자 하나, 여전히 대중이 모이는 장소의 안전은 각별한 주의가 필요하다고 강조함. “앞선 지시사항이 필시 이행되어야 하더라도, 국가안보부 장관은 가나의 평화와 안보를 지키기 위해 적절한 조치를 취하여 지속적으로 문제를 해결할 것임을 약속”함. 테러리스트가 공공장소를 공격하는 방법을 다시 한 번 강조하고자, 해당 문서는 2013년에 샤밥 무력단체가 나이로비의 웨스트게이트 몰을 공격하여 가나의 존경받는 시인이자 작가인 코피 아우노를 포함하여 60명의 사망자를 낸 테러를 상기함.",Security alert! Religious bodies tasked to enhance security at places of worship,"The Ministry of National Security has cautioned religious bodies in the country to enhance security at their public places of worship, following the growing threat of terrorism in West Africa. It has recommended, among other things, the installation of Closed-Circuit Television (CCTV) cameras and engagement of the services of approved private security guards. The caution was issued through a letter dated May 12, 2022 which was signed by the National Security Coordinator, Major-General Francis Adu-Amanfoh (Rtd) and addressed to the religious groups.","The distribution list in the letter included the National Chief Imam, Chairman of the Christian Council and the President of the Ghana Catholic Bishops Conference. “ In view of growing threats of terrorism from the sub-region, and the expansionist drive of terrorist groups towards coastal West-African States, with a renewed modus operandi of targeting public gatherings, including places of worship, it is imperative that perceptional measures are taken by all stakeholders”, the latter said.","It said the Ministry was collaborating with the relevant State Security and Intelligence Agencies to institute measures to avert terrorist attacks in the country, but there was the need to enhance security, particularly in areas where mass gatherings are conducted. “Although the above directive has become necessary, the Ministry of National Security assures you of our continuous resolve to institute measures aimed at safeguarding the peace and security of the country .Treat as urgent,” the letter said.To highlight how terrorists attack public places, the letter recalled that in 2013 -Shabab militants attacked the Westgate mall in Nairobi, leading to the death of about 60 people, including the late Prof. Kofi Awoonor, a revered Ghanaian poet and author. ",Ghanaian Times ,https://www.ghanaiantimes.com.gh/security-alert-religious-bodies-tasked-to-enhance-security-at-places-of-worship/,2022-05-16
가나,서아프리카,가나,수원국,교육,"아쿠포-아도 대통령, STEM 과정 이수할 것을 독려","나나 아도 단콰 아쿠포-아도 대통령은 전세계적으로 성공하는 국가들은 과학과 기술에 주안점을 두고 있다며, 가나 청년들에게 해당 분야를 공부할 것을 독려함. 가나 발전의 선봉에 서있는 현재 세대는 과학과 기술이 중요하다는 것을 이해하고 있어야 한다고 말함. 아쿠포-아도 대통령은 지난 금요일 대통령궁에서 2021년 주니어 그래픽 에세이 전국 대회의 수상자에게 시상하면서 이와 같은 발언을 함.","주니어 그래픽 에세이 전국 대회는 매년 지속가능개발목표 사무국과 협력하여 대통령 비서실이 주최하며, BiC, ICT 회사인 IMPC, UNICEF, 가나도서관관리청의 지원으로 개최됨. 이번 대회는 초등학교 및 중학교 학생의 읽기 및 쓰기 실력 향상 및 창의성 증진을 목적으로 하며, 2,970명의 지원자 중 총 11명의 학생이 수상함.","동부 주 코포리두아에 위치한 프리한스 교육 콤플렉스 학교의 에반겔린 우코마 아와가 전국 대회 우승을 차지함. 아쿠포-아도 대통령은 시상식에 참석한 학생들에게 더 높은 학년으로 진급할 때 과학과 기술 과목 이수를 고려해볼 것을 권했으며, 가나 정부는 2029년까지 인문학과 자연과학을 배우는 학생 비율을 60:40으로 맞추는 것을 목표로 하고 있다고 말함. 추가로 “가나 정부는 가나 전국 고등학교에 수학, 일반과학, 항공학, 로봇공학, 인공지능, 엔지니어링 등 STEM 과목을 고등학교에서 가르치기 시작했다”고 덧붙임.",Choose STEM courses - President Akufo-Addo encourages school children,"President Nana Addo Dankwa Akufo-Addo has encouraged young Ghanaians to venture into the study of science and technology because societies that are succeeding in the world are those that have placed emphasis on the teaching and learning of those disciplines.  He said to break the barrier and become the vanguard of development, the emerging population should have a strong grasp of science and technology for the country to advance. President Akufo-Addo made the call when he presented awards to the winners of the Junior Graphic 2021 National Essay Competition at the Jubilee House in Accra last Friday.     ","The Junior Graphic National Essay Competition is organized annually in partnership with the Sustainable Development Goals (SDGs) Secretariat at the Office of the President and sponsored by BiC, a total information and communications technology (ICT) company, IPMC, the United Nations Children's Fund (UNICEF) and the Ghana Library Authority. This competition is to improve the reading and writing skills of children in both basic and junior high schools. It is also to improve their creativity. Ultimately, 11 contestants won awards, out of the over 2,970 participants.","Evangelyn Ukoma Awa of the Frihans Educational Complex in Koforidua in the Eastern Region emerged as the national champion. President Akufo-Addo asked the young people to consider opting for science and technology courses as they mounted the educational ladder because the government had set a target to ensure that by the end of the decade, the ratio of students studying the humanities and the sciences should be 60/40 in favor of the sciences. “The government has commenced the construction of Science, Technology, Engineering, and Mathematics (STEM) schools across the country, offering mathematics, general science, aeronautics, robotics, artificial intelligence, and engineering, in addition to the existing senior high schools that teach the sciences,” he said.",Graphic  Online ,https://www.graphic.com.gh/news/politics/choose-stem-courses-president-akufo-addo-encourages-school-children.html,2022-05-23
가나,서아프리카,가나,수원국,기타,"가나 정부, 3년 만기 채권 이자 25% 금리로 지급","가나 정부는 부채 상환 연장 일자가 2022년 5월 20일이었던 3년 만기 채권에 대해 25% 상당의 높은 금리로 이자를 지급할 예정임. 가나 은행 발표에 따르면, 채무증서를 위해 4억 7천 4십만 세대를 확보했으며, 이는 목표 금액보다 76% 정도 낮음. 미리 안내된 표면이자율이 있음에도 불구하고, 금융 시장 내 자금부족 및 인플레이션 불확실성 때문에 금리가 매우 상승하고 있음. 이는 정부가 목표 상환 금액을 채우지 못했다는 사실에서 확인할 수 있음.","증권거래소 내 더 많은 수의 투자자들이 점점 더 금융상품을 사는 대신 채권이나 채무증서를 매각하는 것을 고려하고 있음. 이는 새로운 채권, 즉 정부의 재정에 영향을 미칠 수 있는 고수익 채권을 발행하는데 장애물로 작용하고 있음. 정부는 채권이 연장되지 않을 경우에 원금을 갚을 때까지 정기적으로 반년마다 채권 이자를 지급해야 함. 채권은 5만 세디의 최소입찰가부터 시작하여 이후 1,000세디 배수 가격으로 구입할 수 있음.",가나 정부는 5월 초에 발행된 5년 만기 채권 및 3년 만기 채권에 대한 추가 이자를 각 채권에 대해 22.3% 및 21.5%만큼의 금리로 지급함. 금리에 따라 증가하는 가나 정부의 이자지불금액은 각 2027년 및 2024년 원금 상환까지 6개월마다 지급될 예정임.,Government to pay 25% interest for 3-year bond,"Government will pay a high 25% yield or cost for the 3-year bond which was rollover on Friday, May 20th, 2022. According to the result made available by the Bank of Ghana, it secured ¢470.4 million for the debt instrument, about 76% less than the targeted amount. Despite the coupon rate within the pricing guidance, the financial market has become really expensive due to the liquidity squeeze and prevailing inflation uncertainty. This is manifested in the amount of money raised by the government, which significantly fell short of the target.","On the secondary market, it appears more investors are considering selling their bonds or debt instruments rather than buying the financial instruments. This has made it costly to issue new bonds, hence the high yield-to-maturity, which could impact government financing. Per the terms, the government is expected to pay interest on the bonds semi-annually till maturity where it will pay off the principal if it does not roll over. The bond had a minimum bid of ¢50,000 and multiples of ¢1,000 thereafter.","Government paid extra interest rate for the 5-year and 2-year bonds issued earlier in the month. It paid an interest of 22.30% and 21.50% for the 5-year and 2-year bonds issued on Friday, 6th May, 2022. The interest rate, which will probably increase the country’s interest payment will be paid semi-annually, until maturity in 2027 and 2024 respectively.",Joy News,https://www.myjoyonline.com/government-to-pay-25-interest-for-3-year-bond/,2022-05-23
