UNDP_국가명,WB_국가명,ISO3_국가코드,DAC_국가코드,WB_지역,KOICA_국가명_국문,KOICA_지역명_국문,KOICA_지역명_영문,KOICA_지역명_부서,국가협력전략 대상국가,KOICA 사무소 주재 여부,겸임국 관할 사무소명,OECD_국가명,OECD소득 기준,인구수_기준연도,인구수,GDP_기준연도,1인당 국내총생산,국민총생산 기준연도,1인당 국민총생산,빈곤율 기준연도,빈곤율,지니계수 기준연도,지니계수,문해율 기준연도,문해율,중등학교 등록율(여학생) 기준연도,중등학교 등록율(여학생),중등학교 등록률(남학생) 기준연도,중등학교 등록율(남학생),중등학교 등록율 젠더 패리티 인덱스 기준연도,중등학교 등록율 젠더 패리티 인덱스,세금 기준연도,세금,ODA 순 수원액 기준연도,ODA 순 수원액,기업여건 기준연도,기업여건,해외직접투자 기준연도,해외직접투자,100명당 이동통신 사용률 기준연도,100명당 이동통신 사용률,1인당 전기 소비량 기준연도,1인당 전기 소비량,인터넷 사용률 기준연도,인터넷 사용률,취약국가 지수 기준연도,취약국가 지수,취약국가 순위,부패인식지수 기준연도,부패인식점수,부패인식순위,전자정부 지수 기준연도,전자정부 지수 순위,전자정부지수,인간개발지수 기준연도,인간개발지수순위,인간개발지수,젠더개발지수 기준연도,젠더개발지수,젠더 불평등 지수 기준연도,젠더 불평등 지수,여성국회의원 비율 기준연도,여성국회의원 비율,여성실업률 기준연도,여성실업률,ODA 규모 기준연도,수원국 ODA 규모,양자 지원 규모,GNI 대비 ODA 비율,한국 ODA 규모 기준연도,한국 ODA 규모,KOICA 지원 규모_공공행정,KOICA 지원 규모_교육,KOICA 지원 규모_기술환경에너지,KOICA 지원 규모_기타,KOICA 지원 규모_긴급구호,KOICA 지원 규모_농림수산,KOICA 지원 규모_보건,KOICA 지원 규모_전체
Turkey,Turkey,TUR,55,Europe & Central Asia,터키,중동중앙아,Middle East and Central Asia,중동중앙아,no,no,본부,Turkey,UMIC,2020,84300000 ,2020,8538.169,2020,9050,2019,0.4,2019,41.9,2017,96.15053,2018,103.1787,2018,105.7255,2018,0.97591,2019,16.47994,2019,0.1101959,2019,33,2019,9270000000 ,2019,96.83717,2014,2847.224,2019,73.9767,2020,79.14739,59,2019,39,91,2020,53,0.7718,2019,54,0.82,2019,0.924,2019,0.306,2020,17.31749,2019,16.38,2019,140,38,0,2019,2,23268,17612,45377,,1586542,65423,,1738223
,Kosovo,XKX,57,Europe & Central Asia,코소보,,,중동중앙아,no,no,본부,Kosovo,LMIC,2020,1775378 ,2020,4287.201,2020,4440,2017,0.4,2017,29,,,,,,,,,,,2019,4.245187,2019,57,2019,285000000 ,2010,32.3021,2014,2818.337,2018,89.44303,1960,,,,,,,,,,,,,,,,,,,,2019,485,46,4,2019,0,,,,,,,,
Serbia,Serbia,SRB,63,Europe & Central Asia,세르비아,기타,Others,중동중앙아,no,no,본부,Serbia,UMIC,2020,6908224 ,2020,7666.244,2020,7400,2017,5.4,2017,36.2,2016,98.84151,2019,94.99258,2019,93.97943,2019,1.01078,2019,24.06805,2019,1.171888,2019,44,2019,4270000000 ,2019,96.37096,2014,4271.745,2019,77.41677,2020,66.11626,100,2019,39,91,2020,58,0.7474,2019,64,0.806,2019,0.977,2019,0.132,2020,38.8,2019,11.08,2019,1990,57,1,2019,1,3090170,68228,362657,72176,6127,,290262,3889621
Bosnia and Herzegovi,Bosnia and Herzegovi,BIH,64,Europe & Central Asia,보스니아-헤르체고비나,기타,Others,중동중앙아,no,no,본부,Bosnia and Herzegovi,UMIC,2020,3280815 ,2020,6031.557,2020,6090,2011,0.1,2011,33,2013,96.99177,,,,,,,2019,20.10135,2019,2.300667,2019,90,2019,390000000 ,2019,113.7692,2014,3446.765,2019,69.94635,2020,70.22041,84,2019,36,101,2020,94,0.6372,2019,73,0.78,2019,0.937,2019,0.149,2020,26.19048,2019,18.73,2019,707,44,2,2019,0,1932437,201253,3600,8935,903062,,531533,3580819
Montenegro,Montenegro,MNE,65,Europe & Central Asia,몬테네그로,기타,Others,중동중앙아,no,no,본부,Montenegro,UMIC,2020,621718 ,2020,7686.093,2020,7900,2016,2.5,2016,38.5,2018,98.84718,2019,90.9647,2019,89.29068,2019,1.01875,,,2019,1.743048,2019,50,2019,418000000 ,2019,183.2837,2014,4612.341,2019,73.47667,2020,55.46679,124,2019,45,66,2020,75,0.7006,2019,48,0.829,2019,0.966,2019,0.109,2020,22.22222,2019,15.69,2019,218,20,2,2019,0,293560,,902894,,,,6273,1202727
North Macedonia,North Macedonia,MKD,66,Europe & Central Asia,북마케도니아,중동중앙아,Middle East and Central Asia,중동중앙아,no,no,본부,North Macedonia,UMIC,2020,2083380 ,2020,5888.004,2020,5720,2018,3.4,2018,33,2014,97.8,2018,79.1019,2018,80.82787,2018,0.97865,2019,17.16402,2019,1.185082,2019,17,2019,550000000 ,2019,92.20306,2014,3496.52,2018,79.16776,2020,62.13086,113,2019,35,106,2020,72,0.7083,2019,82,0.774,2019,0.952,2019,0.143,2020,39.16667,2019,18.39,2019,476,44,1,2019,0,86993,,5613,,,,6273,98879
Albania,Albania,ALB,71,Europe & Central Asia,알바니아,기타,Others,중동중앙아,no,no,본부,Albania,UMIC,2020,2837743 ,2020,5215.277,2020,5210,2017,1.3,2017,33.2,2018,98.14115,2019,95.65993,2019,94.58517,2019,1.01136,2019,18.28113,2019,0.1883343,2019,82,2019,1200000000 ,2019,91.29302,2014,2309.367,2019,69.64285,2020,58.75381,119,2019,35,106,2020,59,0.7399,2019,69,0.795,2019,0.967,2019,0.181,2020,29.5082,2019,11.31,2019,329,69,0,2019,0,933721,63317,44217,15022,,51486,67602,1175365
Ukraine,Ukraine,UKR,85,Europe & Central Asia,우크라이나,중동중앙아,Middle East and Central Asia,중동중앙아,yes,no,본부,Ukraine,LMIC,2020,44100000 ,2020,3726.927,2020,3540,2019,,2019,26.6,2012,99.97435,2014,95.03153,2014,96.91805,2014,0.98053,2019,19.19034,2019,0.7242453,2019,64,2019,5830000000 ,2019,130.6294,2014,3418.569,2018,62.55316,2020,69.00704,92,2019,30,126,2020,69,0.7119,2019,74,0.779,2019,1,2019,0.234,2020,20.80378,2019,7.85,2019,3358,60,1,2019,1,3011122,7781335,1320518,509912,379729,482158,1554457,15000000
Belarus,Belarus,BLR,86,Europe & Central Asia,벨로루시,중동중앙아,Middle East and Central Asia,중동중앙아,no,no,본부,Belarus,UMIC,2020,9398861 ,2020,6411.228,2020,6330,2019,,2019,25.3,2018,99.75656,2018,101.6907,2018,103.1489,2018,0.98586,2019,13.30151,2019,0.3425493,2019,49,2019,1270000000 ,2019,123.0083,2014,3679.979,2019,82.78915,2020,65.75186,103,2019,45,66,2020,40,0.8084,2019,53,0.823,2019,1.007,2019,0.118,2020,40,2019,3.5,2019,522,44,0,2019,0,1217895,90466,175675,19361,130603,97585,321347,2052932
Moldova (Republic of),Moldova,MDA,93,Europe & Central Asia,몰도바,중동중앙아,Middle East and Central Asia,중동중앙아,no,no,본부,Moldova (Republic of),LMIC,2020,2617820 ,2020,4551.131,2020,4570,2018,,2018,25.7,2014,99.35989,2019,85.69239,2019,86.99657,2019,0.98501,2019,17.31258,2019,2.721055,2019,48,2019,502000000 ,2019,89.37944,2014,1725.616,2017,76.12452,2020,65.97954,101,2019,32,120,2020,79,0.6881,2019,90,0.75,2019,1.014,2019,0.204,2020,24.75248,2019,4.35,2019,463,42,,2019,0,880773,865138,851432,8981,35132,7744,42884,2692084
