"대학명","학제별","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타","총계(원)"
"ICT폴리텍대학","전문대학","사립","경기","313957500","207297500","","106660000","74100000","28500000","44460000","","","","1140000","388057500"
"가야대학교","대학","사립","경남","4770453020","4728137340","7315680","35000000","2597409989","728834350","495775000","111420040","204740000","35323000","1021317599","7367863009"
"가천대학교","대학","사립","경기","31069946981","30613536101","71328770","385082110","28981493280","5235788800","7773391520","1153833140","3663381300","153002400","11002096120","60051440261"
"가톨릭관동대학교","대학","사립","강원","17301336859","16442228959","608278300","250829600","9115744536","2730948600","757615500","140986400","2588442035","132937000","2764815001","26417081395"
"가톨릭꽃동네대학교","대학","사립","충북","1464057980","1401381900","796080","61880000","705840100","159720000","185767700","103595800","","","256756600","2169898080"
"가톨릭대학교","대학","사립","경기","14795928201","13533957091","80352520","1181618590","11162727740","3946564650","4023520250","392962500","586689900","67368000","2145622440","25958655941"
"가톨릭상지대학교","전문대학","사립","경북","5148914374","5075310504","4117000","69486870","1779310083","417209600","122359000","16106000","141533703","33269100","1048832680","6928224457"
"감리교신학대학교","대학","사립","서울","2534794570","2337182590","14420000","183191980","549202700","258439600","94356000","32484600","","9491400","154431100","3083997270"
"강남대학교","대학","사립","경기","13938162800","13689491800","24429000","224242000","7809039230","2349482200","2515468920","332376850","990660660","51876800","1569173800","21747202030"
"강동대학교","전문대학","사립","충북","9016926041","8795196051","30064700","191665290","2846454610","132243700","1059575310","55420600","270659650","86302850","1242252500","11863380651"
"강릉영동대학교","전문대학","사립","강원","7288235727","6855166047","384619680","48450000","1524544100","511408300","39222200","30809900","203582670","26276600","713244430","8812779827"
"강릉원주대학교","대학","국공립","강원","16464521740","15765395180","245853020","453273540","6311945070","2439333070","1524933380","361818480","","","1985860140","22776466810"
"강원관광대학교","전문대학","사립","강원","2963183008","2765283283","190889725","7010000","623010070","132036770","157780500","","","","333192800","3586193078"
"강원대학교","대학","국공립","강원","38777850770","34909107910","1984567200","1884175660","14709069250","5378563590","2448626340","1928929000","1972445920","","2980504400","53486920020"
"강원도립대학교","전문대학","국공립","강원","847135790","822342230","4126560","20667000","444605630","160024300","32887830","48443400","","","203250100","1291741420"
"거제대학교","전문대학","사립","경남","3008653960","2936659400","2438560","69556000","1036539350","224468000","314183300","49962300","74154800","16768100","357002850","4045193310"
"건국대학교","대학","사립","서울","26286326781","23393414222","378547188","2514365371","22244366786","4134727536","9334433476","678577300","4313225327","123874600","3659528547","48530693567"
"건국대학교(글로컬)","대학","사립","충북","15628061803","15119787233","133115470","375159100","10129982470","1970655410","2756835340","402866800","1919058100","174623800","2905943020","25758044273"
"건양대학교","대학","사립","충남","15812446300","15290694450","10793360","510958490","9925559985","4601680480","2136538990","140113015","","49466000","2997761500","25738006285"
"건양사이버대학교","대학","사립","대전","6277010700","6277010700","","","1268672200","215186000","3554000","34306200","","7064000","1008562000","7545682900"
"경기과학기술대학교","전문대학","사립","경기","10904977470","10809101870","7270600","88605000","4276304835","722837040","439395600","428076850","265100000","18760000","2402135345","15181282305"
"경기대학교","대학","사립","경기","27201613634","26669800440","84248240","447564954","20808828620","6694406700","4962756000","634181400","3305575000","71343000","5140566520","48010442254"
"경남과학기술대학교","대학","국공립","경남","10162854590","9805364040","10179000","347311550","3293806410","1913645490","180051880","159629400","399690800","","640788840","13456661000"
"경남대학교","대학","사립","경남","22398917086","21840637626","125169945","433109515","13013292025","3974706400","1565052240","730125395","2726536360","207951200","3808920430","35412209111"
"경남도립거창대학","전문대학","국공립","경남","1284356920","1231979360","2438560","49939000","727571560","160634000","146686560","66378000","116756000","","237117000","2011928480"
"경남도립남해대학","전문대학","국공립","경남","1434948680","1353446620","1438560","80063500","640927000","112333000","34911700","76874000","73100000","","343708300","2075875680"
"경남정보대학교","전문대학","사립","부산","19583116262","19400457142","23607120","159052000","5790971070","1875367320","795693420","312614200","435713380","36619000","2334963750","25374087332"
"경동대학교","대학","사립","강원","15373897990","14602728550","607325440","163844000","8254727573","992673140","2559977768","12022000","633080000","77463600","3979511065","23628625563"
"경민대학교","전문대학","사립","경기","12867827480","12618759130","72827200","176241150","4660121470","540321000","510983000","448219150","491465420","6120000","2663012900","17527948950"
"경복대학교","전문대학","사립","경기","19231303603","19093590683","38946920","98766000","6811022000","762610500","1794310700","258091617","1876201000","9170000","2110638183","26042325603"
"경북과학대학교","전문대학","사립","경북","3613562760","3605462760","500000","7600000","2467845960","145737000","89466820","4270000","129900000","227317580","1871154560","6081408720"
"경북대학교","대학","국공립","대구","41074533869","38058002799","54702170","2961828900","17900567840","7493712940","4352263390","1685581950","","","4369009560","58975101709"
"경북도립대학교","전문대학","국공립","경북","1091413740","983597680","9930560","97885500","553150260","290858600","78828290","49601000","120000","","133742370","1644564000"
"경북보건대학교","전문대학","사립","경북","3040938020","3000392100","3145920","37400000","1241943494","435395010","239798070","35760600","","","530989814","4282881514"
"경북전문대학교","전문대학","사립","경북","8399127048","8267611300","28105748","103410000","2722114590","436782300","28792560","82172820","655214840","25702000","1493450070","11121241638"
"경상국립대학교","대학","국공립","경남","27013774780","25632480590","100830330","1280463860","9961344680","4011909040","1859465000","1589779700","1060341440","","1439849500","36975119460"
"경성대학교","대학","사립","부산","26379585805","25713146037","90441468","575998300","16177048277","4405501250","3970374590","421707200","2006648460","71917000","5300899777","42556634082"
"경운대학교","대학","사립","경북","11222834730","11152883010","7126720","62825000","7005804680","821824000","935605620","128752200","889259333","22542000","4207821527","18228639410"
"경인교육대학교","대학","국공립","인천","3730737985","3330638385","131948620","268150980","2176663550","609992000","433632200","327477690","265900000","","539661660","5907401535"
"경인여자대학교","전문대학","사립","인천","12862371770","12821820650","","40551120","4758603870","911478800","234997080","919697650","889733340","11442100","1791254900","17620975640"
"경일대학교","대학","사립","경북","16043542310","15915752250","3938560","123851500","8962347569","2752796080","2082769410","188150000","1923394520","60935500","1954302059","25005889879"
"경주대학교","대학","사립","경북","1075139350","1059714350","","15425000","2121968400","149727000","385133500","40682400","","22332000","1524093500","3197107750"
"경희대학교","대학","사립","서울","43300961868","39934496358","450020255","2916445255","34370747954","8219163370","13587655572","506897990","4336832500","333434000","7386764522","77671709822"
"경희사이버대학교","대학","사립","서울","9748898449","9691190449","3948000","53760000","5422220467","346977500","113705334","9892800","","66382000","4885262833","15171118916"
"계명대학교","대학","사립","대구","52179229451","47267797837","99147180","4812284434","28583108668","9329923300","4195391700","2173746782","2997803000","340327800","9545916086","80762338119"
"계명문화대학교","전문대학","사립","대구","16438247600","16307868180","11097420","119282000","5610724040","862048910","864754420","287522830","958600000","19967340","2617830540","22048971640"
"계원예술대학교","전문대학","사립","경기","6823844160","6691057740","46890120","85896300","3416708730","682804600","1287406160","477282690","499833860","7806360","461575060","10240552890"
"고구려대학교","전문대학","사립","전남","5033732800","5027732800","","6000000","678147100","112817500","37777300","2752200","","","524800100","5711879900"
"고려대학교","대학","사립","서울","35723365813","26273434650","622197330","8827733833","29962664714","1976125100","14724877259","3878670788","234809000","549108000","8599074567","65686030527"
"고려대학교(세종)","대학","사립","세종","11922082060","11492663600","61812060","367606400","9995947272","401888200","4429678040","987023150","445217400","141379000","3590761482","21918029332"
"고려사이버대학교","대학","사립","서울","6396012700","6347093400","","48919300","2405840150","394060000","104977500","3286400","38850000","42166500","1822499750","8801852850"
"고신대학교","대학","사립","부산","10445717633","9973298035","20486608","451932990","4013723579","1324689500","508794350","355404345","309700000","151886000","1363249384","14459441212"
"공주교육대학교","대학","국공립","충남","2029551560","1994565400","17350160","17636000","1064684600","420205000","69989000","194509200","140742400","","239239000","3094236160"
"공주대학교","대학","국공립","충남","24067011262","23424642537","143638110","498730615","8245791600","3109669000","2228206220","765178310","784012080","","1358725990","32312802862"
"광신대학교","대학","사립","광주","1651821750","1632621750","","19200000","493259100","16170000","30618400","26821200","","","419649500","2145080850"
"광양보건대학교","전문대학","사립","전남","71205400","63830400","2375000","5000000","1236742500","55800000","1119407500","","","","61535000","1307947900"
"광운대학교","대학","사립","서울","13380599080","12916836150","80556680","383206250","10556814394","3020313500","2981187060","1258373384","629604200","46128200","2621208050","23937413474"
"광주가톨릭대학교","대학","사립","전남","","","","","12250000","","","","","","12250000","12250000"
"광주과학기술원","대학","국공립","광주","488121100","452898600","","35222500","4538255300","220616500","115772000","10936800","","","4190930000","5026376400"
"광주교육대학교","대학","국공립","광주","3204543650","2645777450","492870200","65896000","989391545","227054000","142545000","361707545","","","258085000","4193935195"
"광주대학교","대학","사립","광주","18260566303","17868178103","60682700","331705500","8220022830","2433974710","955823680","158306400","1395300840","80333500","3196283700","26480589133"
"광주보건대학교","전문대학","사립","광주","9623923090","9549756880","","74166210","2070084100","828597580","814536370","38719800","198639040","5717880","183873430","11694007190"
"광주여자대학교","대학","사립","광주","11085259308","10859266106","27878120","198115082","4697305558","1044788040","944775861","256004817","581830900","6830000","1863075940","15782564866"
"구미대학교","전문대학","사립","경북","15947517190","15823611550","73150640","50755000","7778156720","320733440","113625640","442618200","449800000","6161160","6445218280","23725673910"
"국민대학교","대학","사립","서울","30444199720","27850678020","155126680","2438395020","20217348495","4055272080","4153987100","1422448960","2547902000","86276400","7951461955","50661548215"
"국제대학교","전문대학","사립","경기","9098610434","9006711834","8100600","83798000","3645204651","403785400","815711025","334968776","194261800","63945600","1832532050","12743815085"
"국제사이버대학교","대학","사립","경기","5025471000","5025471000","","","1675139500","195804000","601827000","","","173235000","704273500","6700610500"
"군산간호대학교","전문대학","사립","전북","2686916950","2662927950","","23989000","950000000","244113733","348410200","28475650","100000000","3200000","225800417","3636916950"
"군산대학교","대학","국공립","전북","14618513780","14044465380","275102080","298946320","4779489590","2299153450","680403450","160158740","727346900","","912427050","19398003370"
"군장대학교","전문대학","사립","전북","4933295316","4894995816","10799500","27500000","1724851266","112584800","24207800","17811600","","42201000","1528046066","6658146582"
"극동대학교","대학","사립","충북","8478775125","8344033785","28081740","106659600","4946627230","1086801600","1502671440","198916900","","41081800","2117155490","13425402355"
"글로벌사이버대학교","대학","사립","충남","3313136750","3298062250","","15074500","1252040500","9450000","11760000","3069000","","8715000","1219046500","4565177250"
"금강대학교","대학","사립","충남","678409833","663195833","","15214000","1762551100","1439966800","","13042800","","","309541500","2440960933"
"금오공과대학교","대학","국공립","경북","11432562340","11062106610","58216010","312239720","3590913040","1361487810","1022608320","353268590","409401960","","444146360","15023475380"
"기독간호대학교","전문대학","사립","광주","1324832500","1307282500","","17550000","485360140","179663900","90476750","12170400","87506750","5318000","110224340","1810192640"
"김천대학교","대학","사립","경북","5956538968","5830905768","3961200","121672000","3983954798","1101944333","852626332","101826000","","64686600","1862871533","9940493766"
"김포대학교","전문대학","사립","경기","8189744114","7796391114","2000000","391353000","2898626720","646558500","1074426720","38746800","","28896200","1109998500","11088370834"
"김해대학교","전문대학","사립","경남","4499569200","4473058400","4750000","21760800","1260955700","275708200","41352400","114076300","78115700","2500000","749203100","5760524900"
"나사렛대학교","대학","사립","충남","13954810080","13689092360","28698720","237019000","6828463980","1776434500","1559901950","638323700","1663014150","57566000","1133223680","20783274060"
"남부대학교","대학","사립","광주","7513593290","7353930070","6253120","153410100","3863489740","514456580","597163300","33996600","457041840","9832000","2250999420","11377083030"
"남서울대학교","대학","사립","충남","20194760570","19997240580","13951620","183568370","13837135420","2637652400","4955584620","153664200","2661364580","150804700","3278064920","34031895990"
"농협대학교","전문대학","사립","경기","904607320","852266640","1564680","50776000","305671050","129206000","57470500","84284550","16600000","","18110000","1210278370"
"단국대학교","대학","사립","경기","41015181357","39694695290","87257775","1233228292","29570500830","7062600180","6604832490","361532800","7413648550","281257000","7846629810","70585682187"
"대경대학교","전문대학","사립","경북","10525369899","10451173239","13768000","60428660","3699510120","341976080","9605600","118782000","","53270500","3175875940","14224880019"
"대구가톨릭대학교","대학","사립","경북","29384839585","28881416785","62174575","441248225","16156085176","4207005826","1059474010","1805013640","4396388800","154032600","4534170300","45540924761"
"대구경북과학기술원","대학","국공립","대구","71269600","68769600","","2500000","1888832400","2080000","49200000","18536400","","","1819016000","1960102000"
"대구공업대학교","전문대학","사립","대구","4101419430","4073986730","5032700","22400000","2483914775","244653140","3015000","128842755","90269280","9981440","2007153160","6585334205"
"대구과학대학교","전문대학","사립","대구","13244774111","13197274111","1000000","46500000","4978431333","744518950","88470840","251767800","546863910","40009920","3306799913","18223205444"
"대구교육대학교","대학","국공립","대구","2329634900","2132738300","31292300","165604300","1147859850","350282000","313138100","170486200","161677550","","152276000","3477494750"
"대구대학교","대학","사립","경북","45413872550","43353495590","450888800","1609488160","17955545915","7051653920","1146034140","1110809895","4887604670","235730800","3523712490","63369418465"
"대구보건대학교","전문대학","사립","대구","19984352334","19805255004","28228830","150868500","6476209230","2188115120","735020575","958677170","666500000","48722840","1879173525","26460561564"
"대구사이버대학교","대학","사립","경북","4530858750","4519508750","","11350000","1067494698","133597500","2583000","11985400","","34756200","884572598","5598353448"
"대구예술대학교","대학","사립","경북","2240982210","2206924370","2157840","31900000","1342681240","572162000","385068540","97884000","","11849000","275717700","3583663450"
"대구한의대학교","대학","사립","경북","15234427670","14692503890","36408130","505515650","9097793511","1334680570","732663680","688195650","1932576550","110056500","4299620561","24332221181"
"대덕대학교","전문대학","사립","대전","9764179780","9708560390","3969390","51650000","3358636340","407182820","775041400","137552490","687879770","38839750","1312140110","13122816120"
"대동대학교","전문대학","사립","부산","3742968350","3707130550","345000","35492800","1168785650","525715400","187944600","43047100","2000000","16324200","393754350","4911754000"
"대림대학교","전문대학","사립","경기","17421920320","17111714020","10500000","299706300","7649428990","2188469840","2188610200","757819570","964207740","230504340","1319817300","25071349310"
"대신대학교","대학","사립","경북","1588476950","1559453950","","29023000","432951700","40031000","117323000","32262200","7600000","3703000","232032500","2021428650"
"대원대학교","전문대학","사립","충북","7047638852","6840913412","153315680","53409760","2494605640","430020460","419953600","26485600","598200000","48592000","971353980","9542244492"
