"학제별","설립별","대학명","지역별","입학정원 합(명)","평균입학금(원)","평균등록금(원)"
"대학","국공립","강릉원주대학교","강원","7412","0","4261939"
"대학","국공립","강원대학교","강원","18268","0","4126501"
"대학","국공립","경남과학기술대학교","경남","3506","0","3800174"
"대학","국공립","경북대학교","대구","19055","0","4499592"
"대학","국공립","경상국립대학교","경남","13807","0","4083198"
"대학","국공립","경인교육대학교","인천","2392","0","3189000"
"대학","국공립","공주교육대학교","충남","1416","0","3424000"
"대학","국공립","공주대학교","충남","11030","0","3826015"
"대학","국공립","광주과학기술원","광주","799","0","2060000"
"대학","국공립","광주교육대학교","광주","1304","0","3476500"
"대학","국공립","군산대학교","전북","6940","0","3934276"
"대학","국공립","금오공과대학교","경북","4861","0","3767385"
"대학","국공립","대구경북과학기술원","대구","880","0","7000000"
"대학","국공립","대구교육대학교","대구","1532","0","3604000"
"대학","국공립","목포대학교","전남","6437","0","3887076"
"대학","국공립","목포해양대학교","전남","2764","0","3409233"
"대학","국공립","부경대학교","부산","13121","0","4034793"
"대학","국공립","부산교육대학교","부산","1424","0","3024000"
"대학","국공립","부산대학교","부산","17296","0","4461885"
"대학","국공립","서울과학기술대학교","서울","8471","0","5458040"
"대학","국공립","서울교육대학교","서울","1420","0","3088000"
"대학","국공립","서울대학교","서울","13182","0","6011785"
"대학","국공립","서울시립대학교","서울","6906","0","2394440"
"대학","국공립","순천대학교","전남","6579","0","3949937"
"대학","국공립","안동대학교","경북","5779","0","3751169"
"대학","국공립","울산과학기술원","울산","1520","0","6200250"
"대학","국공립","인천대학교","인천","9968","0","4632119"
"대학","국공립","전남대학교","광주","16808","0","4153106"
"대학","국공립","전북대학교","전북","15732","0","4415150"
"대학","국공립","전주교육대학교","전북","1140","0","3324000"
"대학","국공립","제주대학교","제주","8605","0","3927230"
"대학","국공립","진주교육대학교","경남","1276","0","3445600"
"대학","국공립","창원대학교","경남","7037","0","3894143"
"대학","국공립","청주교육대학교","충북","1144","0","3282000"
