번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수
1,가축분뇨 수집운반업,09_30_01_P,4730000,4.73E+17,2019.6.20,,2,휴업,1,휴업,,2021.8.30,,,,,,전라북도 진안군 진안읍 군상리 1074-1,전라북도 진안군 진안읍 어영골길 69,55424,하우스키퍼,2021.8.30 18:01,U,2021.9.1 2:40,지정외 폐기물 수집운반업,237979.8054,256086.0787,분뇨등관련영업관리,지정외 폐기물 수집운반업,,,,0,,0
2,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,2010.6.9,,2,휴업,1,휴업,,2016.5.18,,,555-7742,,330-953,충청남도 천안시 동남구 원성동 480-5,충청남도 천안시 동남구 원성4길 21 (원성동),,대전충남양계축산업협동조합,2016.5.18 16:07,I,2018.8.31 23:59,,214327.8198,367439.3284,분뇨등관련영업관리,,,,,0,,0
3,가축분뇨 수집운반업,09_30_01_P,4710000,4.71E+17,2013.3.20,,2,휴업,1,휴업,,2014.6.5,,,,,576-881,전라북도 김제시 백산면 하서리 16,전라북도 김제시 백산면 백산로 173-227,576-881,금구환경,2014.6.5 17:48,I,2018.8.31 23:59,,189002.5236,259276.5758,분뇨등관련영업관리,,,,,,,
4,가축분뇨 수집운반업,09_30_01_P,4710000,4.71E+17,2013.4.16,,2,휴업,1,휴업,,2014.10.24,,,063-542-3325,,576-973,전라북도 김제시 용지면 용암리 18-122,,,(이중등재)신암영농조합법인,2014.10.24 14:18,I,2018.8.31 23:59,,198563.7551,259633.4076,분뇨등관련영업관리,,,,,,,
5,가축분뇨 수집운반업,09_30_01_P,4050000,4.05E+17,2016.5.3,,2,휴업,1,휴업,,2025.5.20,,,031-339-4611,,,경기도 용인시 처인구 포곡읍 삼계리 305-3,경기도 용인시 처인구 포곡읍 백옥대로 1836 (S-Oil주유소),17028,(주)태성환경,2022.6.9 16:33,U,2022.6.11 2:40,,220792.8789,420939.0759,분뇨등관련영업관리,,,,,0,,0
6,가축분뇨 수집운반업,09_30_01_P,3550000,3.55E+17,2013.6.26,,2,휴업,1,휴업,,2021.5.4,,,546-0097,,407-808,인천광역시 계양구 계산동 990-14,인천광역시 계양구 주부토로 479 (계산동),407-808,인천축산업협동조합,2021.5.4 13:35,U,2021.5.6 2:40,,175869.0671,448339.2139,분뇨등관련영업관리,,,,,,,
7,가축분뇨 수집운반업,09_30_01_P,5340000,5.34E+17,2009.3.18,,2,휴업,1,휴업,,2017.11.6,,,852-8550,,,경상남도 사천시 사천읍 수석리 313-3,경상남도 사천시 사천읍 청심길 46-4,52520,사천그린위생,2017.11.6 16:54,I,2018.8.31 23:59,,298766.7535,176169.413,분뇨등관련영업관리,,,,,,,
8,가축분뇨 수집운반업,09_30_01_P,4170000,4.17E+17,1997.11.28,,2,휴업,1,휴업,,2009.3.3,,,031771 2990,,476-804,경기도 양평군 양평읍 회현리 549,,,양평정화사,2009.3.3 14:38,I,2018.8.31 23:59,,244388.2856,440511.0567,분뇨등관련영업관리,,,,,,,
9,가축분뇨 수집운반업,09_30_01_P,4860000,4.86E+17,2016.2.2,,2,휴업,1,휴업,,2018.4.23,,,,,,,전라남도 곡성군 오산면 오산로 895,57517,곡성위생,2018.4.24 19:30,I,2018.8.31 23:59,,210586.4422,195582.1485,분뇨등관련영업관리,,,,,,,
10,가축분뇨 수집운반업,09_30_01_P,5570000,5.57E+17,1994.2.14,,2,휴업,1,휴업,,2022.11.16,,,043-838-0866,,,충청북도 증평군 증평읍 연탄리 154-1,충청북도 증평군 증평읍 영천길 6,27913,보강위생사,2022.11.21 10:07,U,2022.11.23 2:40,분뇨 및 축산분뇨 처리업,250431.3715,366346.8531,분뇨등관련영업관리,분뇨 및 축산분뇨 처리업,,,,0,,0
11,가축분뇨 수집운반업,09_30_01_P,4640000,4.65E+17,2019.3.13,,3,폐업,2,폐업,2020.1.30,,,,632771792,,,전라북도 전주시 완산구 평화동2가 861-4 평화우체국 202호,"전라북도 전주시 완산구 평화로 164, 평화우체국 2층 202호 (평화동2가)",55124,해온환경,2020.1.30 17:13,U,2020.2.1 2:40,축산관련 서비스업,212250.6644,254576.5716,분뇨등관련영업관리,축산관련 서비스업,,,,,,
12,가축분뇨 수집운반업,09_30_01_P,5141000,5.141E+17,2011.5.16,,3,폐업,2,폐업,2022.7.6,,,,054-383-3381,,716-873,대구광역시 군위군 삼국유사면 화수리 939-5,,,군위액비,2022.7.6 17:23,I,2023.7.1 16:42,축산분뇨 처리업,357780.5015,293270.3321,분뇨등관련영업관리,축산분뇨 처리업,,,,0,,0
13,가축분뇨 수집운반업,09_30_01_P,4181000,4.181E+17,1999.11.13,,3,폐업,2,폐업,2017.1.20,2014.10.1,2013.10.1,2013.10.1,033 264 6277,,200-112,강원특별자치도 춘천시 소양로2가 176-1,강원특별자치도 춘천시 소양로163번길 36  (소양로2가),,대성환경산업,2017.1.23 9:49,I,2023.6.13 0:00,,263638.31,487720.1944,분뇨등관련영업관리,,,,,0,,0
14,가축분뇨 수집운반업,09_30_01_P,4181000,4.181E+17,1998.12.23,,3,폐업,2,폐업,2016.3.14,,,,033 256 3500,,200-112,강원특별자치도 춘천시 소양로2가 176-1,강원특별자치도 춘천시 소양로163번길 36  (소양로2가),,새마을 분뇨,2017.5.1 17:10,I,2023.6.13 0:00,,263638.31,487720.1944,분뇨등관련영업관리,,,,,0,,0
15,가축분뇨 수집운반업,09_30_01_P,4181000,4.181E+17,2021.5.21,,3,폐업,2,폐업,2022.10.19,,,,,,,경기도 가평군 상면 행현리 50-2 201호,"경기도 가평군 상면 축령로 48, 2층 201호",12448,더 베스트,2022.10.19 15:56,I,2023.6.13 0:00,"폐기물 수집운반, 처리 및 원료재생업",232139.1914,474480.176,분뇨등관련영업관리,"폐기물 수집운반, 처리 및 원료재생업",,,,0,,0
16,가축분뇨 수집운반업,09_30_01_P,4191000,4.191E+17,2010.2.4,,3,폐업,2,폐업,2020.11.25,,,,033-747-0965,,,강원특별자치도 원주시 호저면 만종리 593-29,"강원특별자치도 원주시 호저면 원문로 537-3, 다동 6호",26375,대성위생,2020.11.25 12:08,I,2023.6.13 0:00,축산분뇨 처리업,280003.3499,428880.6085,분뇨등관련영업관리,축산분뇨 처리업,,,,0,,0
17,가축분뇨 수집운반업,09_30_01_P,4251000,4.251E+17,2002.1.15,,3,폐업,2,폐업,2019.10.30,,,,,,250-801,강원특별자치도 홍천군 홍천읍 갈마곡리 441-6,,,한영정화사,2019.10.31 15:32,I,2023.6.13 0:00,,,,분뇨등관련영업관리,,,,,0,,0
18,가축분뇨 수집운반업,09_30_01_P,4301000,4.301E+17,1998.12.12,,3,폐업,2,폐업,2004.11.2,,,,033 4523995,,269-802,강원특별자치도 철원군 갈말읍 군탄리 520,,,철원축산업협동조합,2019.12.19 17:19,I,2023.6.13 0:00,축산관련 서비스업,,,분뇨등관련영업관리,축산관련 서비스업,,,,0,,0
19,가축분뇨 수집운반업,09_30_01_P,4301000,4.301E+17,2009.11.27,,3,폐업,2,폐업,2010.6.17,,,,,,269-802,강원특별자치도 철원군 갈말읍 지포리 47-3,강원특별자치도 철원군 갈말읍 명성로 151,,철원청정양돈영농조합법인,2012.1.16 15:50,I,2023.6.13 0:00,,226902.8434,515855.5651,분뇨등관련영업관리,,,,,0,,0
20,가축분뇨 수집운반업,09_30_01_P,4301000,4.301E+17,2009.11.25,,3,폐업,2,폐업,2013.8.5,2013.6.5,,,,,269-811,강원특별자치도 철원군 동송읍 장흥리 25-114,,,(주)신환경,2013.8.8 13:32,I,2023.6.13 0:00,,225013.488,520734.768,분뇨등관련영업관리,,,,,0,,0
21,가축분뇨 수집운반업,09_30_01_P,4301000,4.301E+17,2011.3.11,,3,폐업,2,폐업,2021.5.24,,,,452-8666,,269-804,강원특별자치도 철원군 갈말읍 문혜리 441-6,강원특별자치도 철원군 갈말읍 호국로 5260,269-804,동우위생사,2021.5.24 14:40,I,2023.6.13 0:00,,229145.7397,520293.6313,분뇨등관련영업관리,,,,,0,,0
22,가축분뇨 수집운반업,09_30_01_P,4301000,4.301E+17,2012.2.16,,3,폐업,2,폐업,2015.9.1,,,,452-2991,,,,강원특별자치도 철원군 갈말읍 호국로 4371,269-801,푸른환경,2015.9.1 14:21,I,2023.6.13 0:00,,225467.8023,512560.1901,분뇨등관련영업관리,,,,,0,,0
23,가축분뇨 수집운반업,09_30_01_P,4301000,4.301E+17,2013.1.3,,3,폐업,2,폐업,2018.1.5,,,,,,269-804,강원특별자치도 철원군 갈말읍 문혜리 681-11,강원특별자치도 철원군 갈말읍 호국로 5176,269-804,대명환경,2018.11.30 16:52,I,2023.6.13 0:00,,228703.7578,519540.0628,분뇨등관련영업관리,,,,,0,,0
24,가축분뇨 수집운반업,09_30_01_P,4301000,4.301E+17,2014.12.2,,3,폐업,2,폐업,2019.5.9,,,,,,,강원특별자치도 철원군 동송읍 이평리 261-15,강원특별자치도 철원군 동송읍 금학로 56,24021,농업회사법인친환경두엄바이오(주),2019.5.9 17:26,I,2023.6.13 0:00,,219755.8287,521372.3495,분뇨등관련영업관리,,,,,0,,0
25,가축분뇨 수집운반업,09_30_01_P,4890000,4.89E+17,2004.4.24,,3,폐업,2,폐업,2021.12.6,,,,618522935,,546-802,전라남도 보성군 보성읍 보성리 857-12,,,활성축분유통,2021.12.21 14:19,U,2021.12.23 2:40,,207428.1835,141148.7238,분뇨등관련영업관리,,,,,0,,0
26,가축분뇨 수집운반업,09_30_01_P,4830000,4.83E+17,2008.3.24,,3,폐업,2,폐업,2018.4.5,,,,613340400,,520-130,전라남도 나주시 송월동 1091-3,,,금성미화,2018.4.5 19:25,I,2018.8.31 23:59,분뇨 처리업,,,분뇨등관련영업관리,분뇨 처리업,,,,,,
27,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,2002.1.22,,3,폐업,2,폐업,2009.12.22,,,,041 5833718,,330-816,충청남도 천안시 서북구 직산읍 삼은리 263-68,,,푸른환경,2009.12.22 10:15,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
