번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,관광숙박업상세명
1,관광숙박업,03_11_01_P,3590000,CDFI2260031986000001,1986.7.25,2012.5.8,4,취소/말소/만료/정지/중지,31,등록취소,,,,,224-6111,,501-130,광주광역시 동구 불로동 121번지,광주광역시 동구 서석로 24 (불로동),,(주)그랜드호텔,2012.5.15 10:30,I,2018.8.31 23:59,,192324.3176,182930.4102,관광숙박업,관광사업,,,,,,,,,,,GRAND HOTEL,hotel,,,,,,,,,,,,,,,,,,,,,,
2,관광숙박업,03_11_01_P,3420000,CDFI2260032002000002,2002.5.28,2020.6.23,4,취소/말소/만료/정지/중지,31,등록취소,,,,,260-0001,,701-850,대구광역시 동구 지저동 400-1,대구광역시 동구 공항로 221 (지저동),41052,호텔에어포트,2020.6.29 9:57,U,2020.7.1 2:40,,347946.2476,267876.7184,관광숙박업,관광사업,,2,,,,,2,,51,35905,,,,,,,,,,35904.7,,,,,,,,,,,,,35905,관광호텔업
3,관광숙박업,03_11_01_P,5050000,CDFI2260032002000002,2002.9.11,2016.12.29,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,780-400,경상북도 경주시 진현동 850-1번지,경상북도 경주시 영불로 223 (진현동),38127,사조리조트 경주휴양콘도미니엄,2016.12.29 16:40,I,2018.8.31 23:59,,410221.4016,256134.6507,관광숙박업,,일반상업지역,5,기타,,,콘도미니엄,4,1,,,,,,,,,,,,14327.67,,,,,,,,,,,,,14328,
4,관광숙박업,03_11_01_P,4540000,CDFI2260032005000001,2005.8.24,2019.5.20,4,취소/말소/만료/정지/중지,31,등록취소,,,,,041-742-3344,,320-836,충청남도 논산시 연무읍 황화정리 976번지,충청남도 논산시 연무읍 황화로 369,,에버그린관광호텔,2019.6.4 15:01,U,2019.6.6 2:40,,208677.9623,289355.8409,관광숙박업,관광사업,,,,,,호텔,4,1,,,Evergreen Hotel,General Tourist Hotel,,,,,,,,,,,,,,,,,,,,,,관광호텔업
5,관광숙박업,03_11_01_P,3590000,CDFI2260032003000001,2003.7.4,2007.6.8,4,취소/말소/만료/정지/중지,31,등록취소,,,,,225-7222,,501-848,광주광역시 동구 학동 868-4번지,광주광역시 동구 남문로 689 (학동),,그랑프리관광호텔,2012.7.25 14:28,I,2018.8.31 23:59,,193391.4775,181453.9156,관광숙박업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,관광숙박업,03_11_01_P,3590000,CDFI2260032003000002,2003.1.24,2006.11.29,4,취소/말소/만료/정지/중지,31,등록취소,,,,,236-1900,,501-812,광주광역시 동구 대인동 315-1번지,광주광역시 동구 동계천로 22 (대인동),,(주)송선관광호텔,2012.7.25 14:28,I,2018.8.31 23:59,,192154.1525,184070.1257,관광숙박업,관광사업,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,관광숙박업,03_11_01_P,4670000,CDFI2260031993000001,1993.5.22,2009.7.13,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,573-420,전라북도 군산시 경장동 462-1번지,,,군산관광호텔,2014.9.4 9:11,I,2018.8.31 23:59,,175102.6965,275130.4117,관광숙박업,관광사업,일반상업지역,,유흥업소밀집지역,,,근린생활시설,,,,,,,,,,,,,,3778.82,,,,,,,,,,,,,3779,
8,관광숙박업,03_11_01_P,3380000,CDFI2260032015000004,2015.6.30,2018.8.27,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,613-828,부산광역시 수영구 민락동 178-13번지,"부산광역시 수영구 광안해변로 249, 7층 (민락동, 홍윤빌딩)",48284,지니게스트하우스2,2018.8.27 10:23,I,2018.8.31 23:59,,393213.3366,186059.2358,관광숙박업,,일반상업지역,10,기타,,,숙박시설,10,1,7,,,,,,,,,,,208.14,,,,,,,,,150000000,,,,208,호스텔업
9,관광숙박업,03_11_01_P,4930000,CDFI2260032003000001,2003.2.27,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,534-9312,,536-924,전라남도 해남군 송지면 송호리 1061-4번지,전라남도 해남군 송지면 땅끝해안로 1869,,엔터코리아 땅끝콘도,2012.6.11 16:13,I,2018.8.31 23:59,,155933.0864,90641.0961,관광숙박업,관광사업,,9,,,,콘도미니엄,8,1,,,,,,,,,,,,8631.5,,,,,,,,,,,,,8632,
10,관광숙박업,03_11_01_P,6510000,CDFI2260032004001003,2004.8.3,2020.8.18,4,취소/말소/만료/정지/중지,31,등록취소,,,,,064-796-2400,,,제주특별자치도 제주시 한림읍 협재리 598-1,제주특별자치도 제주시 한림읍 명월성로 394,63015,(주)제주힐리조트,2022.7.21 17:03,U,2022.7.23 2:40,,131210.8961,-13346.02463,관광숙박업,,자연녹지지역,4,,,,숙박시설,3,1,51,3042,,,0,0,,0,0,,0,3042.38,,0,,,,,,,0,,,,3042,휴양콘도미니엄업
