번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총직원수
1,부화업,02_04_04_P,4610000,4.61E+17,1994.4.22,,1,영업/정상,0,정상,,,,,,0,340-863,충청남도 예산군 신암면 신택리 ***-**번지 외*필지,충청남도 예산군 신암면 추사고택로 ***-** (외*필지),,신흥,2015.3.29 17:08,I,2018.8.31 23:59,,182891.2371,362224.588,부화업,,576,0,
2,부화업,02_04_04_P,4610000,4.61E+17,2010.12.26,,1,영업/정상,0,정상,,,,,,0,340-823,충청남도 예산군 신양면 차동리 ** 외 *필지,,,농업회사법인 한흥부화장 주식회사,2022.7.6 10:45,U,2022.7.8 2:40,,193157.1741,343358.3266,부화업,,1748,L00,0
3,부화업,02_04_04_P,4610000,4.61E+17,2014.1.10,,1,영업/정상,0,정상,,,,,,,340-864,충청남도 예산군 신암면 용궁리 *** *통,충청남도 예산군 신암면 추사고택로 ***-*,32417,신흥부화장,2023.6.22 17:30,U,2023.6.24 2:40,,182076.8541,361666.9548,부화업,,2168,0,0
4,부화업,02_04_04_P,4610000,4.61E+17,2014.9.15,,1,영업/정상,0,정상,,,,,,,340-811,충청남도 예산군 대술면 장복리 산 **,충청남도 예산군 대술면 대술동로 ** (장복리 산 **),32443,농업회사법인 (주)한국원종 예산부화장,2021.7.21 11:16,U,2021.7.23 2:40,,,,부화업,,2284,L00,0
5,부화업,02_04_04_P,4610000,4.61E+17,2015.1.27,,1,영업/정상,0,정상,,,,,,,340-935,충청남도 예산군 고덕면 상궁리 ***-*,충청남도 예산군 고덕면 상궁*길 ***,32401,(주)마니커 예산지점,2021.4.19 16:53,U,2021.4.21 2:40,,177648.2391,362531.0038,부화업,,2315,L00,
6,부화업,02_04_04_P,4580000,4.58E+17,2005.1.4,,1,영업/정상,0,정상,,,,,041-951-1073,0,325-832,충청남도 서천군 기산면 신산리 **-*번지,충청남도 서천군 기산면 신막로 *-*,33628,기산부화장,2013.12.26 10:07,I,2018.8.31 23:59,,178476.4415,286131.8909,부화업,,67,0,
7,부화업,02_04_04_P,4600000,4.6E+17,2002.9.24,,1,영업/정상,0,정상,,,,,041-641-1048,49587,350-901,충청남도 홍성군 광천읍 담산리 ***-*번지,,,농업회사법인한국양계주식회사,2019.5.13 9:05,U,2019.5.15 2:40,,167556.2232,330562.7915,부화업,,62,L00,
8,부화업,02_04_04_P,4600000,4.6E+17,2004.11.25,,1,영업/정상,0,정상,,,,,041-633-2907,0,350-834,충청남도 홍성군 홍북읍 봉신리 산 **-**,,,광천부화장,2021.8.30 8:14,U,2021.9.1 2:40,,,,부화업,,235,0,0
9,부화업,02_04_04_P,4600000,4.6E+17,2013.11.28,,1,영업/정상,0,정상,,,,,,,350-842,경기도 용인시 기흥구 신갈동 ***,충청남도 홍성군 구항면 구성북로 ***-**,32213,농업회사법인(주)에버그린,2022.9.27 10:52,U,2022.9.29 2:40,,164573.5491,344507.5524,부화업,,3400,L00,0
10,부화업,02_04_04_P,5060000,5.06E+17,2012.11.26,,1,영업/정상,0,정상,,,,,,,740-841,경상북도 김천시 개령면 남전리 ***번지,경상북도 김천시 개령면 개령로 ***-**,39514,해오름부화장,2019.10.8 11:45,U,2019.10.10 2:40,,307059.6414,299445.1739,부화업,,1344,0,
11,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,1,영업/정상,0,정상,,,,,041-741-5557,0,320-838,충청남도 논산시 연무읍 안심리 ***-**번지,충청남도 논산시 연무읍 연무로 ***-**,33008,하림 연무부화장,2018.8.22 15:29,I,2018.8.31 23:59,,208150.6834,292472.3123,부화업,,9,L00,
12,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,1,영업/정상,0,정상,,,,,,0,320-833,충청남도 논산시 연무읍 동산리 ***-*번지 외*필지,충청남도 논산시 연무읍 행정*길 ** (외*필지),,상일부화장,2017.1.12 15:58,I,2018.8.31 23:59,,211411.365,292636.8172,부화업,,10,L00,
13,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,1,영업/정상,0,정상,,,,,,0,320-836,충청남도 논산시 연무읍 소룡리 ***-*번지,충청남도 논산시 연무읍 소룡길 ** (논산부화장),33016,다원부화장,2020.6.10 8:48,U,2020.6.12 2:40,,211966.0951,289365.9367,부화업,,11,0,
14,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,1,영업/정상,0,정상,,,,,741-2600,0,320-812,충청남도 논산시 채운면 화정리 ***-*번지,충청남도 논산시 채운면 화정길 **,,강경부화장,2013.11.30 20:06,I,2018.8.31 23:59,,205957.0661,293705.4321,부화업,,15,L00,
15,부화업,02_04_04_P,4540000,4.54E+17,2011.9.20,,1,영업/정상,0,정상,,,,,,,320-833,충청남도 논산시 연무읍 동산리 ***-*번지,충청남도 논산시 연무읍 동안로 ****,,신기부화장,2016.12.13 15:11,I,2018.8.31 23:59,,211200.1767,292013.7771,부화업,,958,0,
16,부화업,02_04_04_P,4540000,4.54E+17,2013.12.24,,1,영업/정상,0,정상,,,,,,,320-812,충청남도 논산시 채운면 심암리 **번지,,,계룡부화장,2016.11.23 13:20,I,2018.8.31 23:59,,207440.3017,293832.6147,부화업,,1128,0,
17,부화업,02_04_04_P,4520000,4.52E+17,2014.2.12,,1,영업/정상,0,정상,,,,,,,336-873,충청남도 아산시 둔포면 산전리 ***-*번지,충청남도 아산시 둔포면 관대길**번길 **,31411,요한부화장,2014.2.12 21:54,I,2018.8.31 23:59,,203453.5856,377688.5331,부화업,,1289,0,
18,부화업,02_04_04_P,4520000,4.52E+17,2008.5.26,,1,영업/정상,0,정상,,,,,,,336-871,충청남도 아산시 둔포면 운교리 *-*번지,,,성호부화장,2015.1.12 17:38,I,2018.8.31 23:59,,204768.189,379625.6215,부화업,,1336,0,
19,부화업,02_04_04_P,4520000,4.52E+17,2008.5.26,,1,영업/정상,0,정상,,,,,,,336-871,충청남도 아산시 둔포면 운교리 *-*번지,,,성호부화장,2015.1.12 18:05,I,2018.8.31 23:59,,204768.189,379625.6215,부화업,,1337,0,
20,부화업,02_04_04_P,4520000,4.52E+17,2010.2.9,,1,영업/정상,0,정상,,,,,,0,336-875,충청남도 아산시 둔포면 염작리 ***-*번지,,,두경부화장,2017.8.14 11:42,I,2018.8.31 23:59,,206420.7548,380048.7756,부화업,,1074,0,
21,부화업,02_04_04_P,4500000,4.5E+17,1990.5.7,,1,영업/정상,0,정상,,,,,,0,,충청남도 공주시 우성면 신웅리 **번지,,,신웅부화장,2003.4.10 10:20,I,2018.8.31 23:59,,,,부화업,,,0,
22,부화업,02_04_04_P,4500000,4.5E+17,1990.5.7,,1,영업/정상,0,정상,,,,,,1320,,충청남도 공주시 우성면 귀산리 **번지,,,귀산부화장,2003.4.10 10:37,I,2018.8.31 23:59,,,,부화업,,,0,
23,부화업,02_04_04_P,4500000,4.5E+17,1992.5.7,,1,영업/정상,0,정상,,,,,,1320,,충청남도 공주시 장기면 은용리 **번지,,,백제부화장,2003.4.10 9:22,I,2018.8.31 23:59,,,,부화업,,,0,
24,부화업,02_04_04_P,4500000,4.5E+17,2004.6.23,,1,영업/정상,0,정상,,,,,,0,314-913,충청남도 공주시 장기면 은용리 **번지,,,백제,2011.4.4 16:27,I,2018.8.31 23:59,,,,부화업,,3,0,
25,부화업,02_04_04_P,4550000,4.55E+17,2003.6.3,,1,영업/정상,0,정상,,,,,754-5890,1510,312-932,충청북도 단양군 적성면 파랑리 ***-*,충청남도 금산군 진산면 살구정길 ***,32700,농업회사법인(주)한협원종,2023.4.4 15:50,U,2023.5.26 8:48,,229318.2713,295280.6453,부화업,,7,L00,0
