번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),임산부정원수,영유아정원수,임산부실면적,영유아실면적,모유수유실면적,급식시설면적,세탁실면적,목욕실면적,조리원화장실면적,사무실면적,간호사수,간호조무사수,영양사수,취사부수,미화원수,기타인원수,건물층수,지상층수,지하층수
1,산후조리업,01_01_04_P,3230000,PHMB120133230034042100001,2013.1.28,,2,휴업,2,휴업,,2021.5.21,2021.10.14,,02-420-5560,,138-849,서울특별시 송파구 송파1동 31번지 2호 현대레이크빌 2층,서울특별시 석촌호수로 284 (현대레이크빌 2층),5623,뉴더퀸산후조리원,2021.5.21 14:53,U,2021.5.23 2:40,,209389.6962,445393.7116,19,19,373.58,40.32,9.46,29.77,6.43,,14.59,8.69,4,10,,2,,,0,2,
2,산후조리업,01_01_04_P,4050000,PHMB120134050148042100001,2013.2.14,,2,휴업,2,휴업,,2015.8.24,2016.2.29,,031)889-9591,,446-913,경기도 용인시 기흥구 보정동 1261번지,경기도 용인시 기흥구 죽전로 2 (보정동),446-858,아이앤젤산후조리원,2015.8.24 14:00,I,2018.8.31 23:59,,209590.7162,424244.8252,16,16,322.59,40.5,14,72,19.5,2.8,2.1,18.5,3,14,,1,1,1,11,9,2
3,산후조리업,01_01_04_P,4050000,PHMB120154050149042100001,2015.5.1,,2,휴업,2,휴업,,2023.6.1,2023.9.30,,031-225-0011,,,경기도 용인시 수지구 상현동 1129번지,"경기도 용인시 수지구 법조로 242, 3층~5층 (상현동)",16942,(주)디아망산후조리원,2023.7.27 11:30,U,2023.7.29 2:40,,206547.7251,422057.1633,21,21,465.83,54.27,14.98,72.07,12.53,23.52,41.37,6.6,3,8,0,1,1,1,3,3,0
4,산후조리업,01_01_04_P,4050000,PHMB120164050148042100001,2016.1.15,,2,휴업,2,휴업,,2023.4.15,2024.4.14,,,,,,"경기도 용인시 기흥구 죽전로 2, 현타워 9층 (보정동)",16897,(주)강남퀸즈산후조리원,2023.4.14 15:22,U,2023.5.26 8:48,,209590.7162,424244.8252,19,21,401.18,49.5,16,33,13.8,0,0,0,3,2,0,0,1,0,11,9,2
5,산후조리업,01_01_04_P,3340000,PHMB120073340025042100001,2007.10.25,,2,휴업,2,휴업,,2020.12.8,2020.12.20,,051-910-7180,,,부산광역시 사하구 괴정동 932번지 25호,"부산광역시 사하구 낙동대로 234 (괴정동, 조일빌딩)",49340,뉴본산후조리원,2020.12.3 17:25,U,2020.12.5 2:40,,381506.452,179678.5549,14,9,224.5,19.82,494.67,,,,37.8,12.06,3,10,,,,,8,8,0
6,산후조리업,01_01_04_P,3370000,PHMB120213370022042100001,2021.8.23,,2,휴업,2,휴업,,2023.3.1,2023.12.31,,051-717-0312,,,부산광역시 연제구 연산동 603-48,"부산광역시 연제구 반송로 28-1, 태영관광호텔 6-9층 (연산동)",47549,마미사랑산후조리원,2023.2.27 17:31,U,2023.3.1 2:40,,389757.3028,189582.8778,25,25,613.36,42.8,37.7,0,8.4,8.84,164.64,27.67,3,5,0,1,0,1,12,10,2
7,산후조리업,01_01_04_P,3900000,PHMB120083900028042100001,2008.7.30,,2,휴업,2,휴업,,2023.7.26,2023.8.24,,2686-5800,,423-807,"경기도 광명시 광명3동 158번지 81호 , 현대아이타워 9층.","경기도 광명시 광명로 906 (광명동, 현대아이타워 9층)",14220,광명제일산후조리원 본관,2023.7.26 14:30,U,2023.7.29 2:40,,187095.7469,441959.8219,13,13,120,22.7,8.3,33.4,8.1,48.68,43.7,6,3,6,0,2,1,0,0,0,0
8,산후조리업,01_01_04_P,3240000,PHMB120073240033042100002,2007.8.30,,2,휴업,2,휴업,,2015.2.17,2015.11.5,,02) 477-7707,,134-846,"서울특별시 강동구 성내3동 440번지 4호 만선재빌딩 3,4층",서울특별시 강동구 양재대로85길 17 (성내동),134-846,사랑의소리산후조리원,2015.6.3 16:29,I,2018.8.31 23:59,,211740.679,446914.4161,15,15,138.6,26,7.1,32,4,,31.66,16.5,3,6,,2,2,,9,7,2
9,산후조리업,01_01_04_P,4390000,PHMB120094390029042100001,2009.4.17,,2,휴업,2,휴업,,2017.11.20,2018.11.20,,043-854-9401,,380-100,충청북도 충주시 연수동 1515번지 유성빌딩 5층,,,세란산후조리원,2017.11.21 9:40,I,2018.8.31 23:59,,,,9,9,9.2,22.2,3.3,,,,,,2,2,,1,,,0,,
10,산후조리업,01_01_04_P,3220000,PHMB120073220033042100004,2007.3.6,,2,휴업,2,휴업,,2023.5.31,2023.12.31,,,,,서울특별시 강남구 역삼동 650번지 9호 강남차병원 3층,"서울특별시 강남구 논현로 566, 강남차병원 3층 (역삼동)",6135,차병원 산후조리원,2023.5.19 14:57,U,2023.5.21 2:40,,202979.3088,444965.7886,19,20,275.5,160.5,0,0,0,0,0,0,9,4,2,1,0,0,6,4,2
11,산후조리업,01_01_04_P,3140000,PHMB120083140033042100001,2014.5.22,,2,휴업,2,휴업,,2021.5.3,2022.1.4,,,,,서울특별시 양천구 신월동 54번지 7호,"서울특별시 양천구 화곡로 64, 동화빌딩 2층 (신월동)",7904,동그라미산후조리원(강서점),2022.11.25 17:03,U,2022.11.27 2:40,,184806.9115,448551.4892,18,18,0,0,0,0,0,0,0,0,4,10,0,0,0,4,0,0,0
12,산후조리업,01_01_04_P,3620000,PHMB120063620020042100002,2006.9.8,,3,폐업,3,폐업,2013.5.31,,,,062-575-0839,,500-895,광주광역시 북구 양산동 784번지 동광빌딩 3층,광주광역시 북구 양산로 2 (양산동),500-895,(주)보람산후조리원,2013.5.31 11:26,I,2018.8.31 23:59,,188529.4407,190197.3259,22,22,386.81,41.3,11.24,49.92,11.36,6.39,18,8,3,6,,2,2,,5,3,
13,산후조리업,01_01_04_P,3620000,PHMB120163620020042100001,2016.11.22,,3,폐업,3,폐업,2021.3.31,,,,062-602-9400,,,,"광주광역시 북구 하서로 395 (양산동, 빛고을 여성병원)",61074,(주)신빛고을산후조리원,2021.10.13 10:15,U,2021.10.15 2:40,,188418.6898,190137.4521,28,30,849.8,102.55,49.95,0,0,0,0,0,6,14,0,0,0,1,0,8,0
14,산후조리업,01_01_04_P,3450000,PHMB120063450022042100002,2006.12.4,,3,폐업,3,폐업,2016.11.24,,,,325-2900,,702-250,대구광역시 북구 동천동 951번지 2호,대구광역시 북구 팔거천동로 223 (동천동),41422,류정선산후조리원,2016.12.6 9:06,I,2018.8.31 23:59,,340500.6914,272641.868,20,20,266.54,25.52,9.61,31.58,6.48,,9.24,,2,7,,,,2,1,1,
15,산후조리업,01_01_04_P,5370000,PHMB120075370025042100001,2007.1.2,,3,폐업,3,폐업,2011.5.30,,,,,,656-934,경상남도 거제시 고현동 731번지,,,큐티산후조리원,2011.5.30 11:43,I,2018.8.31 23:59,,348263.4654,154785.4282,7,7,,,,,,,,,,,,,,,,,
16,산후조리업,01_01_04_P,5370000,PHMB120075370025042100002,2007.4.12,,3,폐업,3,폐업,2021.6.1,,,,055-688-9125,,656-300,경상남도 거제시 상동동 519번지 12호,"경상남도 거제시 거제중앙로 1729, 4층 (상동동)",53290,미즈맘산후조리원,2021.6.1 9:23,U,2021.6.3 2:40,,349114.0337,154027.2543,15,15,273.56,39.6,14.5,32,,,12.7,7.5,3,6,,,1,7,0,,
