번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
1,식용얼음판매업,07_22_21_P,3250000,3250000-111-1973-00001,1973.6.12,,1,영업/정상,1,영업,,,,,,10.58,600-806,"부산광역시 중구 부평동2가 77 (나69호, 70호)","부산광역시 중구 흑교로 34, 나69.70호 (부평동2가)",48977,시장얼음집,2013.9.25 10:38,I,2018.8.31 23:59,식용얼음판매업,384621.8209,180029.3958,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
2,식용얼음판매업,07_22_21_P,3250000,3250000-111-1979-00002,1979.8.22,,1,영업/정상,1,영업,,,,,,,600-044,부산광역시 중구 남포동4가 371,,,사)부산어패류처리조합,2001.12.6 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
3,식용얼음판매업,07_22_21_P,3280000,3280000-111-2003-00001,2003.4.16,,1,영업/정상,1,영업,,,,,051 4185394,,606-042,부산광역시 영도구 영선동2가 18-5,부산광역시 영도구 남항로41번길 2 (영선동2가),49053,영도얼음집,2006.5.30 0:00,I,2018.8.31 23:59,식용얼음판매업,386068.8433,178533.3629,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
4,식용얼음판매업,07_22_21_P,3280000,3280000-111-2005-00001,2005.7.26,,1,영업/정상,1,영업,,,,,0514151 861,4.9,606-062,부산광역시 영도구 봉래동2가 12,부산광역시 영도구 절영로13번길 25 (봉래동2가),49034,봉래얼음,2013.11.20 10:27,I,2018.8.31 23:59,식용얼음판매업,386105.3539,178989.6355,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
5,식용얼음판매업,07_22_21_P,3280000,3280000-111-2007-00001,2007.5.10,,1,영업/정상,1,영업,,,,,051 4123648,,606-759,부산광역시 영도구 영선동4가 245-1 대원아파트 11동 2호,"부산광역시 영도구 남항새싹길 79 (영선동4가, 대원아파트 상가 11동 2호)",49078,칠성얼음,2013.9.26 9:50,I,2018.8.31 23:59,식용얼음판매업,386284.3157,177801.6865,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
6,식용얼음판매업,07_22_21_P,3280000,3280000-111-2015-00001,2015.8.19,,1,영업/정상,1,영업,,,,,051 416 1998,17.1,606-041,부산광역시 영도구 영선동1가 43-0,"부산광역시 영도구 남항로49번길 52, 1층 (영선동1가)",49052,영선얼음,2015.8.20 10:54,I,2018.8.31 23:59,식용얼음판매업,386229.2853,178733.1006,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
7,식용얼음판매업,07_22_21_P,5050000,5050000-111-1978-00001,1978.7.15,,1,영업/정상,1,영업,,,,,,,780-802,경상북도 경주시 안강읍 양월리 1351,,,북극어름집,2001.8.17 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
8,식용얼음판매업,07_22_21_P,5050000,5050000-111-2003-00002,2003.7.18,,1,영업/정상,1,영업,,,,,054 7424890,,780-943,경상북도 경주시 성건동 350-8,경상북도 경주시 화랑로38번길 7 (성건동),38156,합동수산,2019.12.3 11:53,U,2019.12.5 2:40,식용얼음판매업,399137.091,262693.0104,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
9,식용얼음판매업,07_22_21_P,5370000,5370000-111-2000-00001,2000.10.9,,1,영업/정상,1,영업,,,,,055 6320992,,656-930,경상남도 거제시 고현동 100-17,경상남도 거제시 고현로 98 (고현동),53254,북극상회,2015.8.26 12:12,I,2018.8.31 23:59,식용얼음판매업,348337.8677,155401.0764,식용얼음판매업,,,,,전용상수도(특정시설의 자가용 수도),,0,0,0,0,,,,N,0,,,
10,식용얼음판매업,07_22_21_P,5370000,5370000-111-2002-00001,2002.1.23,,1,영업/정상,1,영업,,,,,055 6872021,15.99,656-906,경상남도 거제시 옥포동 510-8,경상남도 거제시 옥포중앙로 84-1 (옥포동),53222,가나얼음,2009.2.4 9:27,I,2018.8.31 23:59,식용얼음판매업,354881.4624,156583.0099,식용얼음판매업,,,,,상수도전용,,0,0,0,0,,,,N,0,,,
