번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),법인구분명,구분명
1,무료직업소개소,11_50_01_P,4640000,2.00116E+14,2001.10.12,,1,영업/정상,10,,,,,,,,,전라북도 전주시완산구 평화동1가 445번지 1호 20통 1반 평화주공아파트 104 103,,,전북장애인무료직업소개소,2004.4.26 16:49,I,2018.8.31 23:59,,212556.7818,255227.5993,법인,무료
2,무료직업소개소,11_50_01_P,4640000,2.00146E+18,2001.10.12,,1,영업/정상,10,,,,,,,,,전라북도 장수군 장수읍 장수리 648번지 6호,전라북도 장수군 장수읍 장천로 135,,전북지체장애인협회,2004.4.21 16:51,I,2018.8.31 23:59,,246777.5536,238414.2217,법인,무료
3,무료직업소개소,11_50_01_P,5230000,1.11152E+18,2010.10.27,,1,영업/정상,20,영업중,,,,,,,757-807,경상북도 예천군 예천읍 상동리 11호,,,테스트,2010.10.27 14:02,I,2018.8.31 23:59,,,,개인,무료
4,무료직업소개소,11_50_01_P,5230000,2.01752E+18,2017.5.4,,1,영업/정상,20,영업중,,,,,,,,,경상북도 예천군 예천읍 충효로 209-22 (예천군노인회관),36827,대한노인회예천군지회,2022.11.30 17:14,U,2023.5.26 8:48,,329286.4613,350948.1064,법인,무료
5,무료직업소개소,11_50_01_P,5230000,2.22252E+18,2010.10.27,,1,영업/정상,20,영업중,,,,,54111111111,,757-803,경상북도 예천군 예천읍 남본리 1222번지,,,테스트2,2013.8.29 18:44,I,2018.8.31 23:59,,,,법인,무료
6,무료직업소개소,11_50_01_P,5050000,2.01751E+18,2017.4.26,,1,영업/정상,20,영업중,,,,,054 7728706,,,경상북도 경주시 노서동 129-1,경상북도 경주시 태종로711번길 36(노서동),38157,(사)대한노인회 경주시지회 취업지원센터,2022.6.20 16:27,U,2022.6.22 2:40,,399263.9398,262463.7274,법인,무료
7,무료직업소개소,11_50_01_P,5120000,2.01051E+18,2010.6.1,,1,영업/정상,20,영업중,,,,,,,745-888,경상북도 문경시 점촌동 224번지,경상북도 문경시 점촌5길 20 (점촌동),,(사)대한노인회 문경시지회,2021.10.22 10:29,U,2021.10.24 2:40,,307166.9356,344691.2386,법인,무료
8,무료직업소개소,11_50_01_P,5120000,2.01751E+18,2017.5.11,,1,영업/정상,20,영업중,,,,,054 553 3616,,,경상북도 문경시 동로면 적성리 446-6,경상북도 문경시 동로면 금천로 2456,36903,백두대간영농조합법인,2020.12.15 9:52,U,2020.12.17 2:40,,317610.9557,363630.7055,법인,무료
9,무료직업소개소,11_50_01_P,5120000,2.00351E+18,2003.4.25,,1,영업/정상,20,영업중,,,,,,,,경상북도 문경시 마성면 외어리 963번지 10호 16통,경상북도 문경시 마성면 마성길 104-4,745-861,문경시장애인종합복지관무료직업소개소,2023.5.26 13:07,U,2023.5.28 2:40,,300531.5115,355644.6659,법인,무료
10,무료직업소개소,11_50_01_P,5160000,2.01752E+18,2017.5.12,,1,영업/정상,20,영업중,,,,,054 873 2206,,,,경상북도 청송군 청송읍 의료원길 28,37433,대한노인회 청송군지회,2022.8.5 9:20,U,2022.8.7 2:40,,384107.2906,327519.3869,법인,무료
11,무료직업소개소,11_50_01_P,5410000,2.00854E+18,2008.9.10,,1,영업/정상,20,영업중,,,,,055 533 1840,,635-806,경상남도 창녕군 창녕읍 탐하리 37번지,경상남도 창녕군 창녕읍 탐하로 244,,창녕군 장애인종합복지관무료직업소개사업소,2019.1.4 14:52,U,2019.1.6 2:40,,335521.1691,226894.3713,법인,무료
